energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,7.42362263,0.42987942,1.06387308,0.01502702,1.92205794,0.04146729,1.96952284,4.22111730,1.92240790
-5.99399700,7.59753991,0.44667864,1.10152577,0.01520924,1.94821558,0.04302147,2.02968147,4.28560198,1.96305237
-5.98799400,7.77609845,0.46425742,1.14140377,0.01539724,1.97361251,0.04473772,2.09223761,4.34652968,2.00429469
-5.98199100,7.95876776,0.48232457,1.18339827,0.01558064,1.99865053,0.04659420,2.15643764,4.40388914,2.04657722
-5.97598799,8.14491763,0.50058724,1.22734764,0.01574952,2.02370461,0.04856865,2.22152344,4.45768269,2.09029486
-5.96998499,8.33376283,0.51875655,1.27302931,0.01589476,2.04909130,0.05063853,2.28673849,4.50789236,2.13576027
-5.96398199,8.52430866,0.53655272,1.32015274,0.01600816,2.07503886,0.05278105,2.35133192,4.55444692,2.18317088
-5.95797899,8.71530160,0.55370937,1.36835419,0.01608265,2.10166112,0.05497317,2.41456086,4.59719196,2.23257960
-5.95197599,8.90518931,0.56997716,1.41719382,0.01611242,2.12893649,0.05719157,2.47569150,4.63586492,2.28387109
-5.94597299,9.09209376,0.58512668,1.46615543,0.01609294,2.15669372,0.05941256,2.53399939,4.67007706,2.33674528
-5.93996998,9.27380090,0.59895057,1.51464962,0.01602102,2.18460534,0.06161205,2.58876955,4.69930361,2.39070941
-5.93396698,9.44776928,0.61126505,1.56202017,0.01589479,2.21218957,0.06376545,2.63929706,4.72288321,2.44507954
-5.92796398,9.61115929,0.62191081,1.60755414,0.01571364,2.23882091,0.06584772,2.68488871,4.74002713,2.49899202
-5.92196098,9.76088340,0.63075354,1.65049538,0.01547813,2.26374913,0.06783343,2.72486622,4.74983818,2.55142477
-5.91595798,9.89367680,0.63768405,1.69006125,0.01518989,2.28612614,0.06969684,2.75857149,4.75133878,2.60122792
-5.90995498,10.00618630,0.64261825,1.72546217,0.01485148,2.30503937,0.07141220,2.78537415,4.74350712,2.64716251
-5.90395198,10.09507459,0.64549693,1.75592329,0.01446626,2.31955035,0.07295401,2.80468152,4.72531973,2.68794593
-5.89794897,10.15713572,0.64628560,1.78070761,0.01403825,2.32873655,0.07429746,2.81595084,4.69579863,2.72230177
-5.89194597,10.18941672,0.64497435,1.79913962,0.01357197,2.33173440,0.07541896,2.81870356,4.65406062,2.74901214
-5.88594297,10.18933981,0.64157774,1.81062842,0.01307231,2.32778141,0.07629670,2.81254105,4.59936632,2.76696967
-5.87993997,10.15481937,0.63613474,1.81468949,0.01254441,2.31625518,0.07691132,2.79716107,4.53116649,2.77522681
-5.87393697,10.08436763,0.62870872,1.81096398,0.01199352,2.29670732,0.07724663,2.77237420,4.44914310,2.77304000
-5.86793397,9.97718358,0.61938724,1.79923459,0.01142493,2.26889047,0.07729030,2.73811919,4.35324297,2.75990633
-5.86193097,9.83322003,0.60828177,1.77943745,0.01084383,2.23277708,0.07703458,2.69447618,4.24370218,2.73559096
-5.85592796,9.65322510,0.59552694,1.75166910,0.01025532,2.18856884,0.07647697,2.64167700,4.12105976,2.70014370
-5.84992496,9.43875500,0.58127946,1.71618831,0.00966424,2.13669643,0.07562074,2.58011146,3.98615997,2.65390411
-5.84392196,9.19215710,0.56571639,1.67341256,0.00907522,2.07780943,0.07447547,2.51032898,3.84014266,2.59749454
-5.83791896,8.91652311,0.54903275,1.62390914,0.00849258,2.01275705,0.07305734,2.43303509,3.68442240,2.53180168
-5.83191596,8.61561426,0.53143844,1.56838129,0.00792035,1.94256071,0.07138929,2.34908251,3.52065706,2.45794736
-5.82591296,8.29376129,0.51315445,1.50764978,0.00736219,1.86837973,0.06950104,2.25945686,3.35070758,2.37725018
-5.81990995,7.95574398,0.49440833,1.44263090,0.00682142,1.79147211,0.06742887,2.16525743,3.17659065,2.29117978
-5.81390695,7.60665525,0.47542918,1.37431155,0.00630099,1.71315231,0.06521526,2.06767347,3.00042681,2.20130605
-5.80790395,7.25175626,0.45644219,1.30372263,0.00580348,1.63474799,0.06290831,1.96795713,2.82438637,2.10924576
-5.80190095,6.89632890,0.43766302,1.23191178,0.00533106,1.55755814,0.06056102,1.86739395,2.65063555,2.01660908
-5.79589795,6.54553222,0.41929223,1.15991664,0.00488557,1.48281415,0.05823040,1.76727219,2.48128554,1.92494857
