energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,7.17090837,0.50174346,4.80778808,0.05212746,0.35455043,1.22640259,0.00000000,0.91128636,0.49403916
-5.99399700,7.22048273,0.51036529,4.83663229,0.05325291,0.36075731,1.23373516,0.00000000,0.91658009,0.50163625
-5.98799400,7.27642799,0.52068794,4.86802189,0.05443588,0.36764648,1.24282271,0.00000000,0.92361382,0.51007560
-5.98199100,7.33882687,0.53262563,4.90214577,0.05566449,0.37512004,1.25372411,0.00000000,0.93240240,0.51925485
-5.97598799,7.40777406,0.54607970,4.93926238,0.05692509,0.38306620,1.26647718,0.00000000,0.94293591,0.52905126
-5.96998499,7.48336971,0.56093995,4.97969560,0.05820225,0.39136150,1.28109385,0.00000000,0.95517581,0.53932339
-5.96398199,7.56571321,0.57708603,5.02382875,0.05947896,0.39987351,1.29755622,0.00000000,0.96905182,0.54991336
-5.95797899,7.65489715,0.59438909,5.07209659,0.06073678,0.40846383,1.31581355,0.00000000,0.98446017,0.56064985
-5.95197599,7.75100175,0.61271349,5.12497541,0.06195619,0.41699143,1.33578066,0.00000000,1.00126295,0.57135164
-5.94597299,7.85408978,0.63191873,5.18297127,0.06311697,0.42531613,1.35733754,0.00000000,1.01928908,0.58183170
-5.93996998,7.96420185,0.65186160,5.24660660,0.06419869,0.43330214,1.38033053,0.00000000,1.03833664,0.59190164
-5.93396698,8.08135215,0.67239838,5.31640511,0.06518122,0.44082161,1.40457484,0.00000000,1.05817681,0.60137645
-5.92796398,8.20552445,0.69338725,5.39287561,0.06604528,0.44775798,1.42985849,0.00000000,1.07855907,0.61007931
-5.92196098,8.33666818,0.71469068,5.47649465,0.06677308,0.45400905,1.45594744,0.00000000,1.09921771,0.61784641
-5.91595798,8.47469444,0.73617787,5.56768859,0.06734880,0.45948974,1.48259174,0.00000000,1.11987920,0.62453150
-5.90995498,8.61947171,0.75772703,5.66681527,0.06775923,0.46413425,1.50953236,0.00000000,1.14027029,0.63001012
