energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,5.06066068,0.83281545,0.65051974,0.01952297,0.30654028,0.11219660,2.75727782,1.81452862,0.65031982
-5.99399700,4.94216414,0.82037361,0.63956506,0.01898649,0.29921901,0.10858783,2.69435174,1.79261092,0.63189600
-5.98799400,4.82858956,0.80836306,0.62914726,0.01844664,0.29220755,0.10508632,2.63413672,1.77130968,0.61495575
-5.98199100,4.72238751,0.79709780,0.61949644,0.01791629,0.28563081,0.10175261,2.57798147,1.75118288,0.59995495
-5.97598799,4.62578975,0.78686451,0.61081727,0.01740756,0.27959532,0.09864016,2.52711990,1.73276331,0.58729769
-5.96998499,4.54076274,0.77791559,0.60328541,0.01693149,0.27418748,0.09579453,2.48264427,1.71654912,0.57732527
-5.96398199,4.46896861,0.77046332,0.59704474,0.01649773,0.26947270,0.09325275,2.44548193,1.70299523,0.57030695
-5.95797899,4.41173377,0.76467507,0.59220546,0.01611424,0.26549514,0.09104293,2.41637605,1.69250537,0.56643257
-5.95197599,4.37002570,0.76066966,0.58884289,0.01578714,0.26227811,0.08918416,2.39587065,1.68542486,0.56580736
-5.94597299,4.34443805,0.75851510,0.58699715,0.01552055,0.25982507,0.08768651,2.38430009,1.68203408,0.56844905
-5.93996998,4.33518418,0.75822751,0.58667343,0.01531653,0.25812115,0.08655131,2.38178334,1.68254256,0.57428752
-5.93396698,4.34209910,0.75977144,0.58784302,0.01517514,0.25713506,0.08577158,2.38822305,1.68708386,0.58316688
-5.92796398,4.36464981,0.76306150,0.59044494,0.01509446,0.25682140,0.08533252,2.40330952,1.69571131,0.59485009
-5.92196098,4.40195360,0.76796531,0.59438820,0.01507080,0.25712315,0.08521227,2.42652960,1.70839470,0.60902591
-5.91595798,4.45280419,0.77430772,0.59955460,0.01509885,0.25797439,0.08538262,2.45718034,1.72501817,0.62531812
-5.90995498,4.51570495,0.78187623,0.60580202,0.01517195,0.25930303,0.08580989,2.49438723,1.74537948,0.64329658
-5.90395198,4.58890851,0.79042737,0.61296828,0.01528239,0.26103353,0.08645591,2.53712648,1.76919074,0.66248992
-5.89794897,4.67046182,0.79969399,0.62087523,0.01542167,0.26308942,0.08727895,2.58425115,1.79608083,0.68239936
-5.89194597,4.75825549,0.80939321,0.62933322,0.01558089,0.26539575,0.08823481,2.63452006,1.82559964,0.70251328
-5.88594297,4.85007604,0.81923463,0.63814568,0.01575097,0.26788112,0.08927782,2.68662901,1.85722405,0.72232188
-5.87993997,4.94365961,0.82892870,0.64711375,0.01592305,0.27047939,0.09036194,2.73924326,1.89036587,0.74133158
-5.87393697,5.03674552,0.83819479,0.65604082,0.01608871,0.27313098,0.09144175,2.79103025,1.92438138,0.75907856
-5.86793397,5.12712810,0.84676871,0.66473673,0.01624021,0.27578378,0.09247345,2.84069166,1.95858257,0.77514092
-5.86193097,5.21270529,0.85440942,0.67302169,0.01637074,0.27839345,0.09341581,2.88699364,1.99224978,0.78914911
-5.85592796,5.29152241,0.86090462,0.68072956,0.01647453,0.28092343,0.09423096,2.92879449,2.02464543,0.80079427
-5.84992496,5.36181016,0.86607504,0.68771061,0.01654695,0.28334442,0.09488514,2.96506867,2.05502867,0.80983421
-5.84392196,5.42201563,0.86977734,0.69383352,0.01658461,0.28563353,0.09534931,2.99492671,2.08267043,0.81609688
-5.83791896,5.47082593,0.87190551,0.69898675,0.01658530,0.28777313,0.09559955,3.01763041,2.10686867,0.81948132
-5.83191596,5.50718395,0.87239082,0.70307914,0.01654800,0.28974955,0.09561740,3.03260306,2.12696342,0.81995622
-5.82591296,5.53029649,0.87120053,0.70603993,0.01647274,0.29155163,0.09539001,3.03943463,2.14235110,0.81755621
-5.81990995,5.53963500,0.86833532,0.70781820,0.01636053,0.29316936,0.09491009,3.03788216,2.15249796,0.81237622
-5.81390695,5.53492976,0.86382591,0.70838193,0.01621321,0.29459267,0.09417577,3.02786550,2.15695219,0.80456427
-5.80790395,5.51615823,0.85772908,0.70771664,0.01603324,0.29581043,0.09319028,3.00945921,2.15535426,0.79431308
-5.80190095,5.48352877,0.85012330,0.70582405,0.01582363,0.29680984,0.09196157,2.98288099,2.14744551,0.78185095
-5.79589795,5.43746081,0.84110444,0.70272058,0.01558769,0.29757619,0.09050175,2.94847750,2.13307438,0.76743237
-5.78989495,5.37856257,0.83078167,0.69843603,0.01532893,0.29809302,0.08882653,2.90670834,2.11220035,0.75132871
-5.78389195,5.30760740,0.81927397,0.69301241,0.01505092,0.29834281,0.08695458,2.85812886,2.08489529,0.73381940
-5.77788894,5.22550970,0.80670726,0.68650301,0.01475718,0.29830793,0.08490688,2.80337252,2.05134224,0.71518393
-5.77188594,5.13330115,0.79321233,0.67897177,0.01445106,0.29797199,0.08270603,2.74313344,2.01183153,0.69569482
-5.76588294,5.03210774,0.77892371,0.67049290,0.01413571,0.29732138,0.08037564,2.67814964,1.96675433,0.67561179
-5.75987994,4.92312808,0.76397920,0.66115060,0.01381405,0.29634692,0.07793972,2.60918729,1.91659378,0.65517715
-5.75387694,4.80761307,0.74852023,0.65103903,0.01348869,0.29504546,0.07542217,2.53702636,1.86191391,0.63461247
-5.74787394,4.68684697,0.73269264,0.64026216,0.01316200,0.29342134,0.07284623,2.46244778,1.80334665,0.61411642
-5.74187094,4.56212981,0.71664787,0.62893361,0.01283606,0.29148751,0.07023414,2.38622204,1.74157730,0.59386372
-5.73586793,4.43476098,0.70054420,0.61717624,0.01251275,0.28926634,0.06760677,2.30909954,1.67732889,0.57400505
-5.72986493,4.30602375,0.68454786,0.60512142,0.01219369,0.28678984,0.06498338,2.23180220,1.61134585,0.55466772
-5.72386193,4.17717073,0.66883376,0.59290804,0.01188036,0.28409944,0.06238145,2.15501658,1.54437761,0.53595700
-5.71785893,4.04940992,0.65358570,0.58068097,0.01157405,0.28124520,0.05981655,2.07938817,1.47716248,0.51795790
-5.71185593,3.92389164,0.63899572,0.56858927,0.01127591,0.27828448,0.05730229,2.00551674,1.41041245,0.50073728
-5.70585293,3.80169606,0.62526281,0.55678391,0.01098699,0.27528022,0.05485035,1.93395270,1.34479922,0.48434609
-5.69984992,3.68382181,0.61259052,0.54541527,0.01070822,0.27229880,0.05247055,1.86519433,1.28094199,0.46882173
-5.69384692,3.57117553,0.60118384,0.53463040,0.01044039,0.26940766,0.05017094,1.79968571,1.21939722,0.45419034
