energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Li_s_up,Li_s_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.35324240,-1.35323975,0.02571480,-0.02571473,0.28008315,-0.28008269,0.03156039,-0.03156026,0.20957387,-0.20957342,0.38233880,-0.38233781,0.03209931,-0.03209925,0.32186457,-0.32186389
-5.99399700,1.42596771,-1.42596448,0.02757167,-0.02757159,0.29455154,-0.29455097,0.03530896,-0.03530880,0.22117377,-0.22117323,0.40746413,-0.40746299,0.03391106,-0.03391099,0.33984690,-0.33984607
-5.98799400,1.51383499,-1.51383122,0.02956791,-0.02956783,0.31191470,-0.31191403,0.03969166,-0.03969148,0.23472608,-0.23472548,0.43649651,-0.43649522,0.03611852,-0.03611844,0.36182121,-0.36182024
-5.98199100,1.61573193,-1.61572768,0.03168099,-0.03168090,0.33192190,-0.33192114,0.04473308,-0.04473288,0.25004276,-0.25004209,0.46916212,-0.46916070,0.03869719,-0.03869710,0.38755379,-0.38755269
-5.97598799,1.73049264,-1.73048794,0.03388717,-0.03388708,0.35431187,-0.35431104,0.05045413,-0.05045390,0.26692788,-0.26692716,0.50516626,-0.50516472,0.04162035,-0.04162024,0.41679742,-0.41679619
-5.96998499,1.85689616,-1.85689107,0.03616172,-0.03616163,0.37881350,-0.37881261,0.05687029,-0.05687004,0.28517858,-0.28517782,0.54419252,-0.54419088,0.04485890,-0.04485878,0.44928944,-0.44928810
-5.96398199,1.99366184,-1.99365642,0.03847914,-0.03847905,0.40514603,-0.40514508,0.06398966,-0.06398939,0.30458568,-0.30458488,0.58590119,-0.58589945,0.04838119,-0.04838106,0.48474906,-0.48474762
-5.95797899,2.13944224,-2.13943654,0.04081337,-0.04081328,0.43301872,-0.43301773,0.07181090,-0.07181060,0.32493401,-0.32493318,0.62992720,-0.62992539,0.05215277,-0.05215264,0.52287386,-0.52287233
-5.95197599,2.29281471,-2.29280879,0.04313799,-0.04313790,0.46213036,-0.46212935,0.08032107,-0.08032075,0.34600269,-0.34600184,0.67587790,-0.67587603,0.05613615,-0.05613601,0.56333608,-0.56333448
-5.94597299,2.45227311,-2.45226702,0.04542637,-0.04542629,0.49216868,-0.49216765,0.08949364,-0.08949330,0.36756534,-0.36756448,0.72333090,-0.72332898,0.06029059,-0.06029044,0.60577894,-0.60577727
-5.93996998,2.61622083,-2.61621464,0.04765190,-0.04765182,0.52280999,-0.52280896,0.09928664,-0.09928627,0.38939054,-0.38938968,0.77183244,-0.77183049,0.06457193,-0.06457178,0.64981338,-0.64981166
-5.93396698,2.78296684,-2.78296061,0.04978811,-0.04978804,0.55371931,-0.55371829,0.10964108,-0.10964069,0.41124257,-0.41124171,0.82089675,-0.82089479,0.06893259,-0.06893244,0.69501585,-0.69501410
-5.92796398,2.95072602,-2.95071983,0.05180893,-0.05180887,0.58455118,-0.58455019,0.12047994,-0.12047954,0.43288260,-0.43288176,0.87000656,-0.87000462,0.07332163,-0.07332149,0.74092732,-0.74092557
-5.92196098,3.11762534,-3.11761925,0.05368886,-0.05368880,0.61495142,-0.61495047,0.13170763,-0.13170722,0.45407059,-0.45406978,0.91861538,-0.91861347,0.07768504,-0.07768489,0.78705414,-0.78705239
-5.91595798,3.28171666,-3.28171075,0.05540323,-0.05540318,0.64456003,-0.64455913,0.14321016,-0.14320974,0.47456782,-0.47456705,0.96615165,-0.96614979,0.08196616,-0.08196603,0.83287089,-0.83286916
-5.90995498,3.44099724,-3.44099158,0.05692847,-0.05692843,0.67301524,-0.67301441,0.15485604,-0.15485562,0.49414022,-0.49413949,1.01202506,-1.01202328,0.08610640,-0.08610627,0.87782559,-0.87782390
-5.90395198,3.59343799,-3.59343265,0.05824245,-0.05824241,0.69995894,-0.69995818,0.16649806,-0.16649764,0.51256246,-0.51256179,1.05563509,-1.05563341,0.09004605,-0.09004593,0.92134729,-0.92134567
-5.89794897,3.73701944,-3.73701449,0.05932479,-0.05932477,0.72504319,-0.72504253,0.17797576,-0.17797535,0.52962280,-0.52962218,1.09638171,-1.09638015,0.09372539,-0.09372528,0.96285607,-0.96285454
-5.89194597,3.86977462,-3.86977014,0.06015731,-0.06015729,0.74793795,-0.74793739,0.18911882,-0.18911842,0.54512841,-0.54512786,1.13367802,-1.13367660,0.09708588,-0.09708579,1.00177521,-1.00177379
-5.88594297,3.98983750,-3.98983354,0.06072434,-0.06072434,0.76833947,-0.76833901,0.19975101,-0.19975064,0.55891119,-0.55891071,1.16696452,-1.16696326,0.10007160,-0.10007152,1.03754514,-1.03754384
-5.87993997,4.09549516,-4.09549177,0.06101323,-0.06101324,0.78597918,-0.78597884,0.20969488,-0.20969454,0.57083356,-0.57083316,1.19572440,-1.19572331,0.10263062,-0.10263056,1.06963878,-1.06963762
-5.87393697,4.18524130,-4.18523853,0.06101469,-0.06101471,0.80063270,-0.80063248,0.21877673,-0.21877642,0.58079413,-0.58079381,1.21949928,-1.21949839,0.10471654,-0.10471651,1.09757745,-1.09757645
-5.86793397,4.25782850,-4.25782639,0.06072317,-0.06072320,0.81212824,-0.81212815,0.22683187,-0.22683159,0.58873273,-0.58873249,1.23790464,-1.23790395,0.10628992,-0.10628990,1.12094678,-1.12094595
-5.86193097,4.31231620,-4.31231476,0.06013717,-0.06013722,0.82035411,-0.82035414,0.23370985,-0.23370962,0.59463453,-0.59463437,1.25064409,-1.25064362,0.10731956,-0.10731957,1.13941160,-1.13941095
-5.85592796,4.34811146,-4.34811071,0.05925952,-0.05925958,0.82526471,-0.82526487,0.23927948,-0.23927930,0.59853282,-0.59853273,1.25752172,-1.25752147,0.10778371,-0.10778374,1.15272909,-1.15272863
-5.84992496,4.36499991,-4.36499985,0.05809745,-0.05809752,0.82688456,-0.82688483,0.24343333,-0.24343319,0.60051018,-0.60051016,1.25845176,-1.25845172,0.10767090,-0.10767095,1.16075937,-1.16075909
-5.84392196,4.36316420,-4.36316480,0.05666268,-0.05666276,0.82530985,-0.82531024,0.24609155,-0.24609146,0.60069774,-0.60069778,1.25346477,-1.25346494,0.10698057,-0.10698064,1.16347273,-1.16347264
-5.83791896,4.34318829,-4.34318952,0.05497128,-0.05497137,0.82070747,-0.82070796,0.24720480,-0.24720477,0.59927240,-0.59927249,1.24271004,-1.24271042,0.10572333,-0.10572342,1.16095304,-1.16095313
-5.83191596,4.30604625,-4.30604806,0.05304347,-0.05304356,0.81331099,-0.81331158,0.24675613,-0.24675615,0.59645185,-0.59645199,1.22645365,-1.22645422,0.10392079,-0.10392090,1.15339685,-1.15339711
-5.82591296,4.25307538,-4.25307770,0.05090322,-0.05090332,0.80341397,-0.80341464,0.24476169,-0.24476177,0.59248764,-0.59248781,1.20507218,-1.20507293,0.10160511,-0.10160524,1.14110807,-1.14110848
-5.81990995,4.18593401,-4.18593678,0.04857784,-0.04857795,0.79136040,-0.79136113,0.24127029,-0.24127042,0.58765621,-0.58765641,1.17904216,-1.17904306,0.09881813,-0.09881828,1.12448828,-1.12448883
