energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,3.33625603,-1.93151006,1.69998433,-1.13521631,0.70302159,-0.26646561,0.00725882,-0.00360009,0.32922457,-0.17479262,0.03057385,-0.01762369,1.69717299,-1.06570251,0.77833211,-0.48629964,0.30226206,-0.16784006
-5.99399700,3.36652458,-2.02525067,1.72042378,-1.19007864,0.69359773,-0.28052457,0.00745142,-0.00384393,0.31595310,-0.18604098,0.03171623,-0.01880708,1.73450014,-1.11463425,0.79301698,-0.50964861,0.31241765,-0.17749511
-5.98799400,3.39290704,-2.11870513,1.73985062,-1.24428529,0.68470972,-0.29444275,0.00763218,-0.00410283,0.30382570,-0.19714206,0.03271148,-0.02002198,1.76800271,-1.16356161,0.80607726,-0.53303199,0.32187413,-0.18730794
-5.98199100,3.41511453,-2.21106827,1.75831784,-1.29750665,0.67645542,-0.30812043,0.00779709,-0.00437216,0.29303442,-0.20801503,0.03354394,-0.02124739,1.79725795,-1.21206492,0.81738347,-0.55624134,0.33049974,-0.19721073
-5.97598799,3.43279904,-2.30158822,1.77583676,-1.34945661,0.66888665,-0.32147213,0.00794242,-0.00464717,0.28373446,-0.21859447,0.03420089,-0.02246216,1.82185084,-1.25974187,0.82680064,-0.57907446,0.33816447,-0.20713742
-5.96998499,3.44556491,-2.38958590,1.79237542,-1.39989899,0.66201241,-0.33443095,0.00806477,-0.00492310,0.27604431,-0.22883443,0.03467289,-0.02364549,1.84138095,-1.30621536,0.83418954,-0.60133966,0.34474268,-0.21702485
-5.96398199,3.45298548,-2.47447277,1.80786041,-1.44865170,0.65580396,-0.34695257,0.00816111,-0.00519525,0.27004700,-0.23871188,0.03495393,-0.02477734,1.85547141,-1.35114075,0.83940928,-0.62285974,0.35011590,-0.22681371
-5.95797899,3.45462382,-2.55576577,1.82218180,-1.49558862,0.65020132,-0.35901846,0.00822886,-0.00545907,0.26579214,-0.24822932,0.03504158,-0.02583886,1.86377929,-1.39421237,0.84232129,-0.64347564,0.35417599,-0.23644923
-5.95197599,3.45005649,-2.63309854,1.83520100,-1.54063850,0.64512064,-0.37063827,0.00826590,-0.00571025,0.26329864,-0.25741632,0.03493699,-0.02681287,1.86600726,-1.43516858,0.84279433,-0.66304958,0.35682817,-0.24588162
-5.94597299,3.43889903,-2.70622783,1.84676109,-1.58378101,0.64046218,-0.38185088,0.00827058,-0.00594478,0.26255791,-0.26632988,0.03464477,-0.02768421,1.86191577,-1.47379521,0.84071049,-0.68146724,0.35799418,-0.25506609
-5.93996998,3.42083176,-2.77503440,1.85669890,-1.62503980,0.63611840,-0.39272405,0.00824178,-0.00615901,0.26353735,-0.27505322,0.03417283,-0.02844010,1.85133514,-1.50992708,0.83597160,-0.69863917,0.35761510,-0.26396264
-5.93396698,3.39562451,-2.83951795,1.86485830,-1.66447259,0.63198169,-0.40335257,0.00817889,-0.00634976,0.26618403,-0.28369322,0.03353207,-0.02907045,1.83417682,-1.54344720,0.82850579,-0.71450094,0.35565394,-0.27253534
-5.92796398,3.36315895,-2.89978586,1.87110380,-1.70215902,0.62795162,-0.41385468,0.00808180,-0.00651427,0.27042849,-0.29237625,0.03273603,-0.02956800,1.81044307,-1.57428379,0.81827373,-0.72901225,0.35209772,-0.28075143
-5.92196098,3.32344747,-2.95603596,1.87533392,-1.73818637,0.62394126,-0.42436691,0.00795093,-0.00665030,0.27618862,-0.30124267,0.03180045,-0.02992849,1.78023447,-1.60240507,0.80527416,-0.74215484,0.34695896,-0.28858012
-5.91595798,3.27664753,-3.00853408,1.87749360,-1.77263423,0.61988259,-0.43503744,0.00778720,-0.00675614,0.28337357,-0.31043995,0.03074287,-0.03015062,1.74375456,-1.62781211,0.78954828,-0.75392937,0.34027651,-0.29599114
-5.90995498,3.22307111,-3.05758716,1.87758507,-1.80555884,0.61573074,-0.44601818,0.00759200,-0.00683058,0.29188773,-0.32011493,0.02958205,-0.03023602,1.70131135,-1.65053008,0.77118284,-0.76435142,0.33211562,-0.30295335
-5.90395198,3.16318865,-3.10351347,1.87567679,-1.83697807,0.61146724,-0.45745591,0.00736721,-0.00687292,0.30163480,-0.33040526,0.02833755,-0.03018904,1.65331533,-1.67059846,0.75031146,-0.77344685,0.32256715,-0.30943329
-5.89794897,3.09762771,-3.14661149,1.87191019,-1.86685806,0.60710212,-0.46948289,0.00711509,-0.00688296,0.31252193,-0.34143069,0.02702918,-0.03001651,1.60027400,-1.68806075,0.72711434,-0.78124674,0.31174614,-0.31539397
-5.89194597,3.02716634,-3.18712912,1.86650402,-1.89510253,0.60267517,-0.48220735,0.00683830,-0.00686095,0.32446398,-0.35328448,0.02567655,-0.02972740,1.54278306,-1.70295447,0.70181609,-0.78778234,0.29978947,-0.32079399
-5.88594297,2.95272187,-3.22523530,1.85975632,-1.92154559,0.59825617,-0.49570450,0.00653983,-0.00680757,0.33738778,-0.36602541,0.02429862,-0.02933247,1.48151447,-1.71530199,0.67468195,-0.79308032,0.28685296,-0.32558694
-5.87993997,2.87533550,-3.26099565,1.85204402,-1.94594877,0.59394457,-0.51000841,0.00622294,-0.00672390,0.35123634,-0.37967103,0.02291335,-0.02884380,1.41720205,-1.72510286,0.64601241,-0.79715857,0.27310789,-0.32972142
-5.87393697,2.79615368,-3.29435384,1.84382034,-1.96800284,0.58986832,-0.52510538,0.00589109,-0.00661136,0.36597290,-0.39419231,0.02153731,-0.02827435,1.35062509,-1.73232827,0.61613666,-0.80002291,0.25873703,-0.33314158
-5.86793397,2.71640686,-3.32512003,1.83561023,-1.98733459,0.58618221,-0.54092922,0.00554791,-0.00647168,0.38158459,-0.40951042,0.02018544,-0.02763757,1.28259074,-1.73691791,0.58540498,-0.80166489,0.24393046,-0.33578811
-5.86193097,2.63738642,-3.35296733,1.82800383,-2.00351854,0.58306553,-0.55735883,0.00519706,-0.00630684,0.39808545,-0.42549566,0.01887085,-0.02694688,1.21391583,-1.73877957,0.55418061,-0.80206093,0.22888127,-0.33759995
-5.85592796,2.56042057,-3.37743682,1.82164823,-2.01609334,0.58071925,-0.57421833,0.00484223,-0.00611904,0.41551865,-0.44196892,0.01760466,-0.02621535,1.14540898,-1.73779161,0.52283131,-0.80117263,0.21378121,-0.33851629
-5.84992496,2.48684947,-3.39795119,1.81723753,-2.02458211,0.57936239,-0.59127990,0.00448701,-0.00591067,0.43395750,-0.45870575,0.01639596,-0.02545526,1.07785347,-1.73380801,0.49172107,-0.79894857,0.19881663,-0.33847907
-5.84392196,2.41800031,-3.41383657,1.81550115,-2.02851597,0.57922776,-0.60826937,0.00413486,-0.00568424,0.45350504,-0.47544289,0.01525176,-0.02467788,1.01199170,-1.72666599,0.46120223,-0.79532719,0.18416465,-0.33743570
-5.83791896,2.35516235,-3.42435154,1.81719045,-2.02745960,0.58055681,-0.62487437,0.00378904,-0.00544236,0.47429193,-0.49188729,0.01417710,-0.02389314,0.94851144,-1.71619552,0.43160821,-0.79024079,0.16998983,-0.33534183
-5.83191596,2.29956217,-3.42872221,1.82306341,-2.02103766,0.58359364,-0.64075485,0.00345254,-0.00518771,0.49647249,-0.50772710,0.01317511,-0.02310952,0.88803444,-1.70223040,0.40324727,-0.78362031,0.15644127,-0.33216415
-5.82591296,2.25233918,-3.42618148,1.83386734,-2.00896081,0.58857794,-0.65555551,0.00312802,-0.00492300,0.52021868,-0.52264429,0.01224716,-0.02233391,0.83110731,-1.68462013,0.37639720,-0.77540066,0.14365032,-0.32788287
-5.81990995,2.21452127,-3.41601080,1.85031955,-1.99104990,0.59573708,-0.66891959,0.00281784,-0.00465093,0.54571202,-0.53632844,0.01139308,-0.02157159,0.77819501,-1.66324208,0.35130112,-0.76552625,0.13172884,-0.32249395
-5.81390695,2.18700085,-3.39758216,1.87308592,-1.96725726,0.60527727,-0.68050349,0.00252397,-0.00437413,0.57313366,-0.54849096,0.01061135,-0.02082622,0.72967662,-1.63801307,0.32816447,-0.75395654,0.12076809,-0.31601072
-5.80790395,2.17051115,-3.37039845,1.90275761,-1.93768384,0.61737396,-0.68999155,0.00224800,-0.00409519,0.60265263,-0.55887913,0.00989930,-0.02009998,0.68584327,-1.60890010,0.30715303,-0.74067112,0.11083808,-0.30846502
-5.80190095,2.16560323,-3.33413009,1.93982615,-1.90259138,0.63216180,-0.69711016,0.00199116,-0.00381657,0.63441278,-0.56728929,0.00925338,-0.01939365,0.64689809,-1.57592928,0.28839185,-0.72567425,0.10198756,-0.29990757
-5.79589795,2.17262394,-3.28864614,1.98465754,-1.86240886,0.64972449,-0.70164070,0.00175432,-0.00354060,0.66851888,-0.57357854,0.00866938,-0.01870683,0.61295770,-1.53919293,0.27196519,-0.70899857,0.09424435,-0.29040776
-5.78989495,2.19169560,-3.23403830,2.03746615,-1.81773284,0.67008487,-0.70343064,0.00153805,-0.00326944,0.70502249,-0.57767426,0.00814264,-0.01803814,0.58405501,-1.49885419,0.25791706,-0.69070770,0.08761614,-0.28005268
-5.78389195,2.22269814,-3.17063676,2.09828935,-1.76932153,0.69319588,-0.70240211,0.00134259,-0.00300506,0.74390830,-0.57958110,0.00766824,-0.01738544,0.56014309,-1.45514915,0.24625243,-0.67089782,0.08209161,-0.26894557
-5.77788894,2.26525480,-3.09901683,2.16696431,-1.71808265,0.71893287,-0.69855768,0.00116797,-0.00274922,0.78508177,-0.57938484,0.00724121,-0.01674610,0.54109976,-1.40838632,0.23693892,-0.64969802,0.07764177,-0.25720369
-5.77188594,2.31872244,-3.01999620,2.24310814,-1.66505555,0.74708786,-0.69198301,0.00101403,-0.00250343,0.82835884,-0.57725308,0.00685666,-0.01611726,0.52673278,-1.35894347,0.22990879,-0.62726937,0.07422161,-0.24495574
-5.76588294,2.38218766,-2.93462266,2.32610315,-1.61138811,0.77736627,-0.68284611,0.00088049,-0.00226897,0.87345853,-0.57343255,0.00650989,-0.01549603,0.51678550,-1.30726206,0.22506142,-0.60380295,0.07177183,-0.23233895
-5.75987994,2.45447011,-2.84415286,2.41508839,-1.55830927,0.80938670,-0.67139340,0.00076702,-0.00204689,0.91999904,-0.56824310,0.00619651,-0.01487974,0.51094294,-1.25383928,0.22226585,-0.57951665,0.07022080,-0.21949597
-5.75387694,2.53413369,-2.75002287,2.50895919,-1.50709811,0.84268400,-0.65794261,0.00067328,-0.00183795,0.96749810,-0.56206873,0.00591249,-0.01426614,0.50883828,-1.19921823,0.22136380,-0.55465112,0.06948653,-0.20657163
-5.74787394,2.61950678,-2.65381168,2.60637562,-1.45905063,0.87671601,-0.64287286,0.00059903,-0.00164272,1.01537781,-0.55534588,0.00565422,-0.01365353,0.51005988,-1.14397647,0.22217277,-0.52946475,0.06947882,-0.19370980
-5.74187094,2.70871172,-2.55719916,2.70578072,-1.41544528,0.91087404,-0.62661246,0.00054413,-0.00146149,1.06297431,-0.54854958,0.00541850,-0.01304091,0.51415881,-1.08871321,0.22448964,-0.50422811,0.07010144,-0.18105036
-5.73586793,2.79970362,-2.46192014,2.80542892,-1.37750859,0.94449685,-0.60962488,0.00050868,-0.00129437,1.10955207,-0.54217812,0.00520254,-0.01242802,0.52065708,-1.03403580,0.22809441,-0.47921780,0.07125437,-0.16872644
-5.72986493,2.89031808,-2.36971630,2.90342454,-1.34638175,0.97688800,-0.59239355,0.00049301,-0.00114125,1.15432268,-0.53673673,0.00500399,-0.01181539,0.52905660,-0.98054578,0.23275445,-0.45471007,0.07283614,-0.15686199
-5.72386193,2.97832664,-2.28228781,2.99776940,-1.32308968,1.00733585,-0.57540627,0.00049775,-0.00100187,1.19646742,-0.53272121,0.00482086,-0.01120434,0.53884876,-0.92882492,0.23822902,-0.43097428,0.07474610,-0.14556969
-5.71785893,3.06149853,-2.20124660,3.08641858,-1.30851321,1.03513568,-0.55913970,0.00052386,-0.00087583,1.23516293,-0.53060207,0.00465153,-0.01059688,0.54952481,-0.87942175,0.24427412,-0.40826654,0.07688676,-0.13494928
