energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,2.04185347,0.33804351,0.00434336,0.01287213,1.18978192,1.08535588,0.73512150
-5.99399700,2.01045548,0.33048900,0.00424872,0.01321585,1.17376319,1.06791717,0.72673132
-5.98799400,1.97501322,0.32146954,0.00414006,0.01356263,1.15653427,1.04824377,0.71750868
-5.98199100,1.93645820,0.31114056,0.00401971,0.01391527,1.13866572,1.02696783,0.70772602
-5.97598799,1.89580802,0.29968623,0.00389024,0.01427714,1.12075623,1.00476554,0.69768028
-5.96998499,1.85413854,0.28731375,0.00375437,0.01465200,1.10341723,0.98233736,0.68768586
-5.96398199,1.81255426,0.27424707,0.00361490,0.01504376,1.08725704,0.96038749,0.67806686
-5.95797899,1.77215789,0.26072039,0.00347467,0.01545628,1.07286467,0.93960312,0.66914879
-5.95197599,1.73401995,0.24697168,0.00333645,0.01589308,1.06079401,0.92063422,0.66125008
-5.94597299,1.69914938,0.23323628,0.00320289,0.01635713,1.05154869,0.90407428,0.65467353
-5.93996998,1.66846601,0.21974099,0.00307647,0.01685056,1.04556803,0.89044288,0.64969805
-5.93396698,1.64277576,0.20669861,0.00295942,0.01737446,1.04321467,0.88017025,0.64657097
-5.92796398,1.62274926,0.19430326,0.00285371,0.01792867,1.04476410,0.87358473,0.64550108
-5.92196098,1.60890469,0.18272636,0.00276097,0.01851162,1.05039664,0.87090315,0.64665279
-5.91595798,1.60159512,0.17211356,0.00268250,0.01912026,1.06019194,0.87222463,0.65014138
-5.90995498,1.60100100,0.16258247,0.00261923,0.01974998,1.07412644,0.87752810,0.65602978
-5.90395198,1.60712770,0.15422124,0.00257173,0.02039470,1.09207381,0.88667332,0.66432673
-5.89794897,1.61980838,0.14708801,0.00254019,0.02104690,1.11380841,0.89940577,0.67498657
-5.89194597,1.63871187,0.14121109,0.00252447,0.02169787,1.13901167,0.91536493,0.68791049
-5.88594297,1.66335522,0.13658982,0.00252407,0.02233790,1.16728132,0.93409590,0.70294932
-5.87993997,1.69312055,0.13319612,0.00253821,0.02295659,1.19814299,0.95506386,0.71990765
-5.87393697,1.72727541,0.13097648,0.00256583,0.02354316,1.23106396,0.97767098,0.73854914
-5.86793397,1.76499607,0.12985451,0.00260561,0.02408686,1.26546840,1.00127507,0.75860283
-5.86193097,1.80539268,0.12973375,0.00265607,0.02457732,1.30075374,1.02520951,0.77977019
-5.85592796,1.84753559,0.13050089,0.00271556,0.02500494,1.33630742,1.04880358,0.80173268
-5.84992496,1.89048184,0.13202912,0.00278233,0.02536125,1.37152343,1.07140266,0.82415950
-5.84392196,1.93330091,0.13418168,0.00285457,0.02563921,1.40581819,1.09238743,0.84671538
-5.83791896,1.97509892,0.13681553,0.00293044,0.02583351,1.43864499,1.11119156,0.86906799
-5.83191596,2.01504054,0.13978498,0.00300814,0.02594077,1.46950663,1.12731720,0.89089499
