energy_ev,total_up,Ag_p_up,Ag_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,4.25600616,1.41847237,2.54142863,1.25536510,0.00000000,0.01612534,0.27032034,0.01217648,1.05580614
-5.99399700,4.14946363,1.42111089,2.45731150,1.24473451,0.00000000,0.01534894,0.26486734,0.01194150,1.04060022
-5.98799400,4.04324642,1.42063722,2.37573060,1.23190049,0.00000000,0.01453627,0.25927488,0.01168347,1.02418600
-5.98199100,3.93725378,1.41688733,2.29660822,1.21678484,0.00000000,0.01369594,0.25352305,0.01140339,1.00656452
-5.97598799,3.83135557,1.40973642,2.21981438,1.19934700,0.00000000,0.01283673,0.24759228,0.01110286,0.98774930
-5.96998499,3.72540924,1.39910435,2.14517882,1.17958902,0.00000000,0.01196745,0.24146469,0.01078405,0.96776893
-5.96398199,3.61927647,1.38496049,2.07250340,1.15755930,0.00000000,0.01109675,0.23512534,0.01044979,0.94666916
-5.95797899,3.51283923,1.36732753,2.00157470,1.13335476,0.00000000,0.01023297,0.22856350,0.01010355,0.92451454
-5.95197599,3.40601472,1.34628435,1.93217628,1.10712157,0.00000000,0.00938399,0.22177375,0.00974945,0.90138943
-5.94597299,3.29876863,1.32196745,1.86410053,1.07905420,0.00000000,0.00855704,0.21475689,0.00939219,0.87739853
-5.93996998,3.19112649,1.29457097,1.79715959,1.04939283,0.00000000,0.00775865,0.20752067,0.00903696,0.85266665
-5.93396698,3.08318243,1.26434500,1.73119525,1.01841928,0.00000000,0.00699452,0.20008030,0.00868940,0.82733799
-5.92796398,2.97510521,1.23159210,1.66608735,0.98645121,0.00000000,0.00626943,0.19245857,0.00835542,0.80157464
-5.92196098,2.86714103,1.19666212,1.60176052,0.95383502,0.00000000,0.00558722,0.18468573,0.00804108,0.77555456
-5.91595798,2.75961303,1.15994508,1.53818916,0.92093742,0.00000000,0.00495078,0.17679904,0.00775244,0.74946880
-5.90995498,2.65291741,1.12186256,1.47540025,0.88813593,0.00000000,0.00436206,0.16884197,0.00749537,0.72351822
-5.90395198,2.54751612,1.08285750,1.41347419,0.85580863,0.00000000,0.00382210,0.16086312,0.00727544,0.69790965
-5.89794897,2.44392649,1.04338304,1.35254349,0.82432342,0.00000000,0.00333112,0.15291491,0.00709769,0.67285155
-5.89194597,2.34270799,1.00389044,1.29278945,0.79402719,0.00000000,0.00288856,0.14505199,0.00696650,0.64854938
-5.88594297,2.24444681,0.96481691,1.23443692,0.76523537,0.00000000,0.00249323,0.13732961,0.00688548,0.62520071
-5.87993997,2.14973866,0.92657351,1.17774749,0.73822210,0.00000000,0.00214339,0.12980184,0.00685727,0.60299030
-5.87393697,2.05917075,0.88953384,1.12301124,0.71321163,0.00000000,0.00183687,0.12251991,0.00688352,0.58208526
-5.86793397,1.97330355,0.85402401,1.07053751,0.69037122,0.00000000,0.00157118,0.11553050,0.00696478,0.56263047
-5.86193097,1.89265312,0.82031422,1.02064502,0.66980589,0.00000000,0.00134366,0.10887442,0.00710042,0.54474456
-5.85592796,1.81767497,0.78861250,0.97365172,0.65155532,0.00000000,0.00115152,0.10258531,0.00728871,0.52851639
-5.84992496,1.74874993,0.75906082,0.92986479,0.63559307,0.00000000,0.00099200,0.09668883,0.00752673,0.51400245
-5.84392196,1.68617277,0.73173380,0.88957123,0.62182819,0.00000000,0.00086244,0.09120203,0.00781050,0.50122510
-5.83791896,1.63014410,0.70664002,0.85302923,0.61010917,0.00000000,0.00076033,0.08613325,0.00813503,0.49017192
-5.83191596,1.58076573,0.68372593,0.82046083,0.60023024,0.00000000,0.00068340,0.08148220,0.00849445,0.48079607
-5.82591296,1.53803985,0.66288215,0.79204600,0.59193955,0.00000000,0.00062965,0.07724050,0.00888213,0.47301792
-5.81990995,1.50187191,0.64395176,0.76791833,0.58494912,0.00000000,0.00059738,0.07339252,0.00929086,0.46672761
-5.81390695,1.47207712,0.62674035,0.74816254,0.57894601,0.00000000,0.00058522,0.06991640,0.00971300,0.46178881
