energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.01902066,0.86619388,0.29913333,0.00292347,0.32876935,0.49213587,0.50353610,0.00598341,0.91586692
-5.99399700,2.13838441,0.93029964,0.31317250,0.00301948,0.34423500,0.52828581,0.53271214,0.00631293,0.97759335
-5.98799400,2.27010843,1.00134498,0.32873894,0.00314438,0.36168405,0.56861876,0.56474322,0.00668237,1.04494252
-5.98199100,2.41252034,1.07863180,0.34565750,0.00329716,0.38076187,0.61266401,0.59921720,0.00708951,1.11718189
-5.97598799,2.56383883,1.16137927,0.36374178,0.00347719,0.40109176,0.65989935,0.63570056,0.00753264,1.19352516
-5.96998499,2.72219551,1.24872805,0.38279631,0.00368423,0.42228058,0.70975485,0.67374481,0.00801053,1.27314082
-5.96398199,2.88565706,1.33974596,0.40261839,0.00391840,0.44392490,0.76161741,0.71289274,0.00852231,1.35516090
-5.95797899,3.05224747,1.43343527,0.42299971,0.00418014,0.46561711,0.81483644,0.75268453,0.00906733,1.43869023
-5.95197599,3.21997032,1.52874167,0.44372758,0.00447008,0.48695183,0.86873057,0.79266365,0.00964500,1.52281595
-5.94597299,3.38683086,1.62456516,0.46458609,0.00478900,0.50753230,0.92259559,0.83238231,0.01025456,1.60661733
-5.93996998,3.55085792,1.71977273,0.48535703,0.00513762,0.52697674,0.97571347,0.87140651,0.01089496,1.68917572
-5.93396698,3.71012527,1.81321273,0.50582085,0.00551652,0.54492461,1.02736243,0.90932062,0.01156455,1.76958472
-5.92796398,3.86277261,1.90373088,0.52575764,0.00592597,0.56104259,1.07682789,0.94573133,0.01226094,1.84696033
-5.92196098,4.00702577,1.99018749,0.54494836,0.00636575,0.57503011,1.12341416,0.98027106,0.01298082,1.92045106
-5.91595798,4.14121618,2.07147557,0.56317623,0.00683500,0.58662444,1.16645648,1.01260080,0.01371979,1.98924791
-5.90995498,4.26379946,2.14653951,0.58022854,0.00733210,0.59560510,1.20533329,1.04241236,0.01447224,2.05259420
-5.90395198,4.37337288,2.21439373,0.59589885,0.00785455,0.60179744,1.23947816,1.06943013,0.01523134,2.10979496
-5.89794897,4.46869179,2.27414079,0.60998951,0.00839885,0.60507545,1.26839126,1.09341246,0.01598900,2.16022600
-5.89194597,4.54868463,2.32498849,0.62231470,0.00896046,0.60536345,1.29164983,1.11415266,0.01673593,2.20334244
-5.88594297,4.61246656,2.36626549,0.63270369,0.00953380,0.60263684,1.30891733,1.13147974,0.01746183,2.23868658
-5.87993997,4.65935138,2.39743471,0.64100442,0.01011227,0.59692169,1.31995099,1.14525910,0.01815552,2.26589504
-5.87393697,4.68886168,2.41810446,0.64708717,0.01068830,0.58829324,1.32460739,1.15539308,0.01880526,2.28470495
-5.86793397,4.70073681,2.42803651,0.65084824,0.01125354,0.57687340,1.32284587,1.16182160,0.01939900,2.29495917
