energy_ev,total_up,B_p_up,B_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,1.08393035,0.02461806,0.00000000,0.35523622,0.12046271,0.05590314,0.64448342
-5.99399700,1.08582839,0.02484285,0.00000000,0.36118702,0.12130563,0.05651877,0.63789103
-5.98799400,1.08416195,0.02495778,0.00000000,0.36573903,0.12179929,0.05702577,0.62950001
-5.98199100,1.07877943,0.02496016,0.00000000,0.36876495,0.12189770,0.05739544,0.61934707
-5.97598799,1.06961176,0.02485075,0.00000000,0.37017376,0.12156533,0.05760195,0.60749705
-5.96998499,1.05667482,0.02463373,0.00000000,0.36991268,0.12077813,0.05762306,0.59404204
-5.96398199,1.04006968,0.02431656,0.00000000,0.36796822,0.11952408,0.05744074,0.57910035
-5.95797899,1.01998082,0.02390980,0.00000000,0.36436601,0.11780347,0.05704171,0.56281516
-5.95197599,0.99667245,0.02342677,0.00000000,0.35916964,0.11562870,0.05641785,0.54535302
-5.94597299,0.97048314,0.02288316,0.00000000,0.35247850,0.11302389,0.05556638,0.52690215
-5.93996998,0.94181895,0.02229662,0.00000000,0.34442482,0.11002409,0.05449005,0.50767062
-5.93396698,0.91114516,0.02168623,0.00000000,0.33516988,0.10667425,0.05319703,0.48788425
-5.92796398,0.87897705,0.02107203,0.00000000,0.32489969,0.10302798,0.05170078,0.46778434
-5.92196098,0.84586975,0.02047448,0.00000000,0.31382022,0.09914615,0.05001969,0.44762510
-5.91595798,0.81240741,0.01991398,0.00000000,0.30215221,0.09509530,0.04817667,0.42767081
-5.90995498,0.77919200,0.01941035,0.00000000,0.29012595,0.09094608,0.04619853,0.40819263
-5.90395198,0.74683182,0.01898242,0.00000000,0.27797592,0.08677150,0.04411535,0.38946510
-5.89794897,0.71592995,0.01864760,0.00000000,0.26593556,0.08264530,0.04195970,0.37176225
-5.89194597,0.68707277,0.01842153,0.00000000,0.25423226,0.07864033,0.03976587,0.35535343
-5.88594297,0.66081875,0.01831779,0.00000000,0.24308256,0.07482693,0.03756898,0.34049882
-5.87993997,0.63768760,0.01834763,0.00000000,0.23268785,0.07127146,0.03540414,0.32744467
