energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,W_p_up,W_d_up
-6.00000000,3.00380481,0.02145493,0.75088507,0.01250338,0.87325952,0.53764120,0.32880638,2.44932377,0.85664834
-5.99399700,2.99301301,0.02016062,0.75652472,0.01223334,0.86105479,0.53158246,0.32466618,2.46216820,0.85747930
-5.98799400,2.96602474,0.01883671,0.75748478,0.01190121,0.84515318,0.52319181,0.31888147,2.46053512,0.85314899
-5.98199100,2.92323927,0.01749956,0.75378738,0.01151220,0.82572819,0.51255262,0.31152732,2.44460038,0.84373422
-5.97598799,2.86542676,0.01616491,0.74556194,0.01107278,0.80304800,0.49980759,0.30271084,2.41488673,0.82942527
-5.96998499,2.79370732,0.01484752,0.73304251,0.01059047,0.77746729,0.48515484,0.29256807,2.37225311,0.81052072
-5.96398199,2.70951989,0.01356082,0.71656149,0.01007359,0.74941703,0.46884261,0.28126014,2.31787241,0.78741870
-5.95797899,2.61458187,0.01231671,0.69654002,0.00953100,0.71939268,0.45116264,0.26896910,2.25319868,0.76060515
-5.95197599,2.51084119,0.01112534,0.67347534,0.00897188,0.68794105,0.43244248,0.25589349,2.17992492,0.73063950
-5.94597299,2.40042243,0.00999511,0.64792574,0.00840548,0.65564647,0.41303706,0.24224375,2.09993313,0.69813832
-5.93996998,2.28556928,0.00893259,0.62049365,0.00784093,0.62311645,0.39331966,0.22823760,2.01523857,0.66375765
-5.93396698,2.16858519,0.00794262,0.59180764,0.00728709,0.59096745,0.37367266,0.21409569,1.92793052,0.62817474
-5.92796398,2.05177455,0.00702843,0.56250405,0.00675233,0.55981111,0.35447831,0.20003747,1.84011182,0.59206989
-5.92196098,1.93738645,0.00619175,0.53320893,0.00624449,0.53024130,0.33610982,0.18627746,1.75383941,0.55610903
-5.91595798,1.82756273,0.00543306,0.50452109,0.00577081,0.50282242,0.31892306,0.17302203,1.67106810,0.52092778
-5.90995498,1.72429203,0.00475170,0.47699677,0.00533785,0.47807904,0.30324901,0.16046670,1.59359950,0.48711730
-5.90395198,1.62937101,0.00414616,0.45113649,0.00495154,0.45648730,0.28938718,0.14879402,1.52303770,0.45521257
-5.89794897,1.54437357,0.00361424,0.42737438,0.00461718,0.43846798,0.27760016,0.13817196,1.46075295,0.42568313
-5.89194597,1.47062852,0.00315325,0.40607036,0.00433955,0.42438142,0.26810932,0.12875291,1.40785418,0.39892661
-5.88594297,1.40920574,0.00276020,0.38750521,0.00412293,0.41452414,0.26109176,0.12067308,1.36517077,0.37526489
-5.87993997,1.36091040,0.00243195,0.37187840,0.00397124,0.40912709,0.25667841,0.11405231,1.33324362,0.35494292
-5.87393697,1.32628469,0.00216532,0.35930869,0.00388811,0.40835540,0.25495329,0.10899419,1.31232518,0.33812975
-5.86793397,1.30561603,0.00195726,0.34983719,0.00387695,0.41230921,0.25595379,0.10558630,1.30238768,0.32492177
-5.86193097,1.29895070,0.00180483,0.34343247,0.00394104,0.42102565,0.25967194,0.10390059,1.30313879,0.31534745
-5.85592796,1.30611158,0.00170534,0.33999742,0.00408356,0.43448135,0.26605640,0.10399366,1.31404352,0.30937346
-5.84992496,1.32671882,0.00165629,0.33937737,0.00430758,0.45259548,0.27501517,0.10590694,1.33435107,0.30691154
-5.84392196,1.36021221,0.00165543,0.34136910,0.00461605,0.47523297,0.28641888,0.10966664,1.36312557,0.30782591
-5.83791896,1.40587402,0.00170069,0.34573026,0.00501171,0.50220769,0.30010437,0.11528342,1.39927920,0.31194071
-5.83191596,1.46285159,0.00179014,0.35218884,0.00549697,0.53328558,0.31587878,0.12275177,1.44160663,0.31904725
-5.82591296,1.53017875,0.00192190,0.36045240,0.00607376,0.56818749,0.33352369,0.13204915,1.48881969,0.32891089
-5.81990995,1.60679566,0.00209411,0.37021666,0.00674335,0.60659187,0.35279962,0.14313484,1.53958125,0.34127713
-5.81390695,1.69156684,0.00230479,0.38117348,0.00750606,0.64813719,0.37345053,0.15594864,1.59253754,0.35587717
-5.80790395,1.78329725,0.00255175,0.39301773,0.00836111,0.69242444,0.39520846,0.17040960,1.64634827,0.37243263
-5.80190095,1.88074682,0.00283255,0.40545337,0.00930630,0.73901969,0.41779832,0.18641471,1.69971404,0.39065954
-5.79589795,1.98264356,0.00314433,0.41819846,0.01033781,0.78745698,0.44094265,0.20383795,1.75140084,0.41027178
