energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.63058514,0.02525527,0.54153265,1.75806759,2.25760076,0.00694089,1.41715127,0.80132744,0.35734150
-5.99399700,4.60418282,0.02372196,0.54213956,1.75745288,2.23955903,0.00726323,1.40205950,0.80409261,0.35861935
-5.98799400,4.57629196,0.02228232,0.54210961,1.75412786,2.22102561,0.00759597,1.38693175,0.80728782,0.35960619
-5.98199100,4.54634490,0.02093474,0.54144121,1.74776483,2.20191738,0.00793456,1.37146793,0.81066512,0.36020109
-5.97598799,4.51375900,0.01967650,0.54012281,1.73809441,2.18212228,0.00827399,1.35538151,0.81397600,0.36030623
-5.96998499,4.47795497,0.01850417,0.53813219,1.72491058,2.16150388,0.00860891,1.33840937,0.81697713,0.35983004
-5.96398199,4.43837384,0.01741397,0.53543667,1.70807342,2.13990653,0.00893365,1.32031995,0.81943552,0.35869004
-5.95797899,4.39449238,0.01640206,0.53199414,1.68750960,2.11716071,0.00924241,1.30091945,0.82113291,0.35681529
-5.95197599,4.34583686,0.01546480,0.52775497,1.66321112,2.09308854,0.00952931,1.28005622,0.82186963,0.35414835
-5.94597299,4.29199522,0.01459884,0.52266466,1.63523246,2.06750952,0.00978859,1.25762340,0.82146791,0.35064685
-5.93996998,4.23262772,0.01380123,0.51666707,1.60368682,2.04024633,0.01001471,1.23356001,0.81977481,0.34628458
-5.93396698,4.16747633,0.01306944,0.50970815,1.56874156,2.01113071,0.01020255,1.20785083,0.81666473,0.34105208
-5.92796398,4.09637290,0.01240136,0.50174000,1.53061346,1.98000941,0.01034755,1.18052518,0.81204190,0.33495685
-5.92196098,4.01924632,0.01179522,0.49272488,1.48956390,1.94675006,0.01044587,1.15165504,0.80584251,0.32802314
-5.91595798,3.93612866,0.01124952,0.48263912,1.44589438,1.91124704,0.01049456,1.12135259,0.79803680,0.32029137
-5.90995498,3.84716017,0.01076304,0.47147671,1.39994229,1.87342710,0.01049163,1.08976755,0.78863099,0.31181727
-5.90395198,3.75259317,0.01033470,0.45925219,1.35207712,1.83325464,0.01043620,1.05708426,0.77766883,0.30267071
