energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,9.52282609,1.82750438,0.75240308,0.04174144,1.12954688,3.62901655,3.68733304,0.07331082,4.26578275
-5.99399700,9.41702419,1.80172145,0.73677986,0.04113760,1.11889207,3.60576750,3.64527347,0.07224513,4.21119029
-5.98799400,9.29953638,1.77395346,0.72059902,0.04050174,1.10709840,3.57624642,3.59852832,0.07096998,4.15163803
-5.98199100,9.17162845,1.74454172,0.70400880,0.03983910,1.09444267,3.54106442,3.54753838,0.06950710,4.08757462
-5.97598799,9.03465839,1.71381288,0.68716200,0.03915423,1.08122483,3.50091374,3.49278580,0.06788138,4.01946689
-5.96998499,8.89006004,1.68207432,0.67021485,0.03845098,1.06776171,3.45655266,3.43478937,0.06612010,3.94779863
-5.96398199,8.73932630,1.64961113,0.65332556,0.03773256,1.05438027,3.40878961,3.37409918,0.06425209,3.87306987
-5.95797899,8.58399164,1.61668442,0.63665261,0.03700157,1.04141045,3.35846677,3.31129082,0.06230695,3.79579620
-5.95197599,8.42561418,1.58353125,0.62035277,0.03626016,1.02917770,3.30644343,3.24695880,0.06031419,3.71650802
-5.94597299,8.26575681,1.55036554,0.60457892,0.03551007,1.01799548,3.25357966,3.18170936,0.05830249,3.63574914
-5.93996998,8.10596762,1.51738007,0.58947761,0.03475283,1.00815776,3.20072026,3.11615239,0.05629900,3.55407475
-5.93396698,7.94775914,1.48474905,0.57518645,0.03398989,0.99993170,3.14867947,3.05089255,0.05432876,3.47204808
-5.92796398,7.79258654,1.45263107,0.56183133,0.03322273,0.99355067,3.09822638,2.98651958,0.05241419,3.39023583
-5.92196098,7.64182490,1.42117193,0.54952371,0.03245298,0.98920778,3.05007142,2.92359793,0.05057471,3.30920209
-5.91595798,7.49674558,1.39050721,0.53835783,0.03168257,0.98705016,3.00485388,2.86265596,0.04882652,3.22950061
-5.90995498,7.35849228,1.36076431,0.52840810,0.03091374,0.98717400,2.96313074,2.80417477,0.04718243,3.15166578
-5.90395198,7.22805739,1.33206355,0.51972679,0.03014909,0.98962071,2.92536680,2.74857734,0.04565185,3.07620224
-5.89794897,7.10625924,1.30451856,0.51234203,0.02939160,0.99437429,2.89192648,2.69621814,0.04424083,3.00357371
-5.89194597,6.99372155,1.27823557,0.50625635,0.02864452,1.00136009,2.86306725,2.64737382,0.04295218,2.93419141
-5.88594297,6.89085579,1.25331191,0.50144580,0.02791134,1.01044501,2.83893511,2.60223542,0.04178575,2.86840267
-5.87993997,6.79784777,1.22983367,0.49785979,0.02719561,1.02143942,2.81956218,2.56090265,0.04073862,2.80648031
-5.87393697,6.71464955,1.20787285,0.49542175,0.02650082,1.03410070,2.80486676,2.52338059,0.03980541,2.74861360
-5.86793397,6.64097748,1.18748406,0.49403055,0.02583026,1.04813842,2.79465592,2.48957922,0.03897865,2.69490125
-5.86193097,6.57631727,1.16870129,0.49356286,0.02518677,1.06322113,2.78863087,2.45931607,0.03824908,2.64534707
-5.85592796,6.51993648,1.15153476,0.49387631,0.02457268,1.07898466,2.78639512,2.43232193,0.03760602,2.59985882
-5.84992496,6.47090452,1.13596834,0.49481338,0.02398961,1.09504158,2.78746546,2.40824971,0.03703778,2.55825047
-5.84392196,6.42811997,1.12195768,0.49620598,0.02343840,1.11099170,2.79128558,2.38668621,0.03653195,2.52024794
-5.83791896,6.39034444,1.10942923,0.49788046,0.02291903,1.12643312,2.79724207,2.36716631,0.03607582,2.48549846
-5.83191596,6.35624190,1.09828043,0.49966302,0.02243063,1.14097357,2.80468237,2.34918906,0.03565671,2.45358300
-5.82591296,6.32442203,1.08838088,0.50138509,0.02197149,1.15424153,2.81293423,2.33223515,0.03526230,2.42403149
-5.81990995,6.29348583,1.07957478,0.50288859,0.02153921,1.16589663,2.82132587,2.31578469,0.03488099,2.39634018
-5.81390695,6.26207154,1.07168435,0.50403083,0.02113076,1.17563911,2.82920628,2.29933485,0.03450215,2.36999025
-5.80790395,6.22889887,1.06451424,0.50468880,0.02074272,1.18321767,2.83596477,2.28241624,0.03411639,2.34446699
-5.80190095,6.19280946,1.05785661,0.50476256,0.02037145,1.18843555,2.84104896,2.26460748,0.03371583,2.31927850
-5.79589795,6.15280184,1.05149679,0.50417779,0.02001332,1.19115454,2.84398056,2.24554724,0.03329420,2.29397315
-5.78989495,6.10805927,1.04521927,0.50288720,0.01966492,1.19129671,2.84436819,2.22494316,0.03284703,2.26815498
-5.78389195,6.05796928,1.03881360,0.50087077,0.01932328,1.18884381,2.84191666,2.20257744,0.03237169,2.24149634
-5.77788894,6.00213411,1.03208023,0.49813501,0.01898604,1.18383441,2.83643238,2.17830888,0.03186738,2.21374729
-5.77188594,5.94037199,1.02483584,0.49471103,0.01865163,1.17635899,2.82782473,2.15207137,0.03133509,2.18474134
-5.76588294,5.87270923,1.01691812,0.49065181,0.01831932,1.16655310,2.81610321,2.12386917,0.03077742,2.15439757
-5.75987994,5.79936409,1.00818976,0.48602865,0.01798932,1.15458914,2.80137077,2.09376933,0.03019847,2.12271899
-5.75387694,5.72072342,0.99854159,0.48092711,0.01766277,1.14066702,2.78381362,2.06189189,0.02960352,2.08978754
-5.74787394,5.63731361,0.98789478,0.47544259,0.01734170,1.12500433,2.76368798,2.02839838,0.02899879,2.05575607
-5.74187094,5.54976758,0.97620203,0.46967589,0.01702888,1.10782638,2.74130462,1.99347957,0.02839111,2.02083778
-5.73586793,5.45878961,0.96344786,0.46372882,0.01672777,1.08935668,2.71701187,1.95734295,0.02778755,1.98529395
-5.72986493,5.36511992,0.94964787,0.45770013,0.01644226,1.06980826,2.69117798,1.92020088,0.02719514,1.94942026
-5.72386193,5.26950070,0.93484711,0.45168201,0.01617653,1.04937630,2.66417364,1.88225990,0.02662048,1.91353279
-5.71785893,5.17264528,0.91911768,0.44575704,0.01593486,1.02823226,2.63635549,1.84371172,0.02606949,1.87795398
-5.71185593,5.07521156,0.90255545,0.43999591,0.01572135,1.00651984,2.60805134,1.80472629,0.02554710,1.84299927
-5.70585293,4.97778078,0.88527631,0.43445586,0.01553981,0.98435282,2.57954770,1.76544723,0.02505711,1.80896498
-5.69984992,4.88084232,0.86741171,0.42917964,0.01539353,0.96181478,2.55108014,1.72598958,0.02460203,1.77611770
-5.69384692,4.78478457,0.84910389,0.42419536,0.01528516,0.93896068,2.52282676,1.68643980,0.02418298,1.74468543
-5.68784392,4.68989204,0.83050085,0.41951662,0.01521659,0.91581998,2.49490497,1.64685798,0.02379978,1.71485091
-5.68184092,4.59634816,0.81175118,0.41514337,0.01518890,0.89240122,2.46737154,1.60728162,0.02345098,1.68674692
-5.67583792,4.50424317,0.79299898,0.41106297,0.01520231,0.86869749,2.44022578,1.56773098,0.02313403,1.66045379
-5.66983492,4.41358632,0.77437897,0.40725158,0.01525618,0.84469271,2.41341564,1.52821514,0.02284551,1.63599901
-5.66383192,4.32432142,0.75601215,0.40367578,0.01534913,0.82036805,2.38684612,1.48873869,0.02258142,1.61335870
-5.65782891,4.23634454,0.73800192,0.40029422,0.01547904,0.79570834,2.36038971,1.44930834,0.02233743,1.59246101
-5.65182591,4.14952318,0.72043107,0.39705946,0.01564328,0.77070797,2.33389814,1.40993915,0.02210926,1.57319102
-5.64582291,4.06371545,0.70335965,0.39391972,0.01583876,0.74537608,2.30721479,1.37066003,0.02189298,1.55539715
-5.63981991,3.97878874,0.68682389,0.39082064,0.01606219,0.71974066,2.28018726,1.33151825,0.02168531,1.53889852
-5.63381691,3.89463681,0.67083613,0.38770714,0.01631019,0.69385151,2.25267932,1.29258273,0.02148390,1.52349334
-5.62781391,3.81119474,0.65538597,0.38452510,0.01657950,0.66778180,2.22458179,1.25394599,0.02128753,1.50896773
