energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,4.27406732,0.07740117,0.04343010,0.82064672,0.54835189,0.03980952,2.15946768,1.01977585,0.19751243
-5.99399700,4.25692942,0.08158415,0.04188715,0.82838100,0.54159632,0.03701165,2.15670299,1.04438569,0.19361861
-5.98799400,4.24038054,0.08582068,0.04045976,0.83661653,0.53458265,0.03451257,2.15411730,1.06940150,0.19035184
-5.98199100,4.22397745,0.09003871,0.03914499,0.84508264,0.52736074,0.03231529,2.15145732,1.09429032,0.18769475
-5.97598799,4.20733740,0.09416322,0.03794226,0.85352139,0.51998493,0.03042191,2.14849969,1.11853092,0.18562741
-5.96998499,4.19012766,0.09811804,0.03685327,0.86168887,0.51251061,0.02883340,2.14504603,1.14162315,0.18412617
-5.96398199,4.17205674,0.10182792,0.03588189,0.86935694,0.50499138,0.02754951,2.14091849,1.16309666,0.18316301
-5.95797899,4.15286745,0.10522053,0.03503406,0.87631524,0.49747672,0.02656867,2.13595613,1.18251846,0.18270525
-5.95197599,4.13233197,0.10822858,0.03431775,0.88237340,0.49001016,0.02588808,2.13001207,1.19949943,0.18271567
-5.94597299,4.11024878,0.11079162,0.03374303,0.88736337,0.48262818,0.02550380,2.12295140,1.21369950,0.18315297
-5.93996998,4.08644132,0.11285781,0.03332208,0.89114182,0.47535949,0.02541095,2.11464996,1.22483134,0.18397255
-5.93396698,4.06075831,0.11438535,0.03306929,0.89359238,0.46822499,0.02560388,2.10499384,1.23266276,0.18512753
-5.92796398,4.03307546,0.11534352,0.03300135,0.89462777,0.46123814,0.02607641,2.09387964,1.23701772,0.18656987
-5.92196098,4.00329846,0.11571347,0.03313735,0.89419161,0.45440575,0.02682202,2.08121553,1.23777622,0.18825169
-5.91595798,3.97136709,0.11548855,0.03349886,0.89226000,0.44772926,0.02783404,2.06692301,1.23487311,0.19012651
-5.90995498,3.93726023,0.11467424,0.03410992,0.88884272,0.44120620,0.02910572,2.05093937,1.22829633,0.19215055
-5.90395198,3.90100169,0.11328783,0.03499697,0.88398413,0.43483209,0.03063030,2.03322092,1.21808459,0.19428382
-5.89794897,3.86266654,0.11135764,0.03618874,0.87776366,0.42860232,0.03240092,2.01374673,1.20432496,0.19649115
-5.89194597,3.82238771,0.10892209,0.03771585,0.87029600,0.42251433,0.03441048,1.99252301,1.18715050,0.19874303
-5.88594297,3.78036263,0.10602853,0.03961042,0.86173089,0.41656967,0.03665139,1.96958779,1.16673830,0.20101613
-5.87993997,3.73685935,0.10273196,0.04190536,0.85225246,0.41077604,0.03911518,1.94501575,1.14330793,0.20329366
-5.87393697,3.69222180,0.09909370,0.04463360,0.84207830,0.40514908,0.04179211,1.91892312,1.11712048,0.20556545
-5.86793397,3.64687381,0.09518005,0.04782700,0.83145789,0.39971396,0.04467063,1.89147203,1.08847814,0.20782771
-5.86193097,3.60132128,0.09106103,0.05151518,0.82067064,0.39450649,0.04773688,1.86287440,1.05772432,0.21008259
-5.85592796,3.55615226,0.08680929,0.05572416,0.81002332,0.38957382,0.05097417,1.83339485,1.02524407,0.21233747
-5.84992496,3.51203453,0.08249908,0.06047484,0.79984693,0.38497459,0.05436246,1.80335244,0.99146466,0.21460402
-5.84392196,3.46971055,0.07820543,0.06578151,0.79049293,0.38077851,0.05787801,1.77312104,0.95685597,0.21689718
-5.83791896,3.42998980,0.07400352,0.07165026,0.78232889,0.37706535,0.06149311,1.74312824,0.92193059,0.21923395
-5.83191596,3.39373855,0.06996813,0.07807752,0.77573354,0.37392341,0.06517597,1.71385262,0.88724308,0.22163224
-5.82591296,3.36186740,0.06617331,0.08504874,0.77109131,0.37144745,0.06889089,1.68581955,0.85338843,0.22410971
-5.81990995,3.33531712,0.06269202,0.09253735,0.76878648,0.36973624,0.07259858,1.65959545,0.82099913,0.22668273
-5.81390695,3.31504314,0.05959593,0.10050402,0.76919705,0.36888979,0.07625678,1.63578082,0.79074100,0.22936557
-5.80790395,3.30199940,0.05695510,0.10889631,0.77268838,0.36900633,0.07982117,1.61500201,0.76330730,0.23216979
-5.80190095,3.29712204,0.05483774,0.11764890,0.77960687,0.37017937,0.08324642,1.59790217,0.73941126,0.23510392
-5.79589795,3.30131333,0.05330973,0.12668422,0.79027373,0.37249464,0.08648756,1.58513127,0.71977688,0.23817348
-5.78989495,3.31542635,0.05243411,0.13591368,0.80497900,0.37602738,0.08950138,1.57733562,0.70512797,0.24138122
-5.78389195,3.34025030,0.05227033,0.14523947,0.82397579,0.38083977,0.09224807,1.57514668,0.69617556,0.24472770
-5.77788894,3.37649659,0.05287339,0.15455682,0.84747495,0.38697874,0.09469272,1.57916945,0.69360379,0.24821203
-5.77188594,3.42478539,0.05429267,0.16375667,0.87564004,0.39447409,0.09680689,1.58997019,0.69805442,0.25183273
-5.76588294,3.48563225,0.05657072,0.17272870,0.90858267,0.40333706,0.09856992,1.60806358,0.71011010,0.25558860
-5.75987994,3.55943435,0.05974173,0.18136461,0.94635801,0.41355918,0.09997006,1.63389918,0.73027695,0.25947953
-5.75387694,3.64645589,0.06383002,0.18956137,0.98896066,0.42511135,0.10100525,1.66784717,0.75896641,0.26350705
-5.74787394,3.74681217,0.06884832,0.19722441,1.03632059,0.43794337,0.10168354,1.71018334,0.79647718,0.26767470
-5.74187094,3.86045219,0.07479619,0.20427061,1.08829922,0.45198340,0.10202312,1.76107368,0.84297745,0.27198787
-5.73586793,3.98713977,0.08165835,0.21063078,1.14468578,0.46713784,0.10205179,1.82055851,0.89848814,0.27645333
-5.72986493,4.12643355,0.08940336,0.21625169,1.20519376,0.48329113,0.10180612,1.88853699,0.96286779,0.28107825
-5.72386193,4.27766664,0.09798232,0.22109731,1.26945794,0.50030579,0.10133011,1.96475222,1.03579974,0.28586879
-5.71785893,4.43992685,0.10732816,0.22514948,1.33703197,0.51802261,0.10067354,2.04877802,1.11678239,0.29082841
-5.71185593,4.61203916,0.11735516,0.22840763,1.40738687,0.53626104,0.09988995,2.14000804,1.20512324,0.29595576
-5.70585293,4.79255183,0.12795906,0.23088783,1.47991092,0.55481988,0.09903450,2.23764827,1.29993743,0.30124261
-5.69984992,4.97972818,0.13901777,0.23262109,1.55391107,0.57347839,0.09816171,2.34071396,1.40015143,0.30667163
-5.69384692,5.17154574,0.15039259,0.23365097,1.62861651,0.59199791,0.09732317,2.44803166,1.50451233,0.31221449
