energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.13163570,0.27011221,0.76318102,0.00577150,0.05445971,0.16745498,0.00000000,0.25480563,0.02042700
-5.99399700,1.17843853,0.27394787,0.79778289,0.00590307,0.05201754,0.17698454,0.00000000,0.26986076,0.02163756
-5.98799400,1.23632585,0.28029490,0.83935962,0.00607115,0.05022286,0.18828486,0.00000000,0.28755785,0.02308065
-5.98199100,1.30485722,0.28903609,0.88759750,0.00627032,0.04908062,0.20127983,0.00000000,0.30776605,0.02474617
-5.97598799,1.38337766,0.29999859,0.94205363,0.00649449,0.04858457,0.21585548,0.00000000,0.33029440,0.02661864
-5.96998499,1.47103410,0.31295976,1.00216848,0.00673709,0.04871837,0.23186157,0.00000000,0.35489394,0.02867729
-5.96398199,1.56679615,0.32765398,1.06728078,0.00699136,0.04945676,0.24911422,0.00000000,0.38126150,0.03089621
-5.95797899,1.66948009,0.34378050,1.13664393,0.00725057,0.05076672,0.26739939,0.00000000,0.40904503,0.03324481
-5.95197599,1.77777568,0.36101188,1.20944352,0.00750830,0.05260859,0.28647740,0.00000000,0.43785058,0.03568827
-5.94597299,1.89027496,0.37900296,1.28481527,0.00775866,0.05493711,0.30608816,0.00000000,0.46725054,0.03818828
-5.93996998,2.00550222,0.39739998,1.36186303,0.00799654,0.05770231,0.32595719,0.00000000,0.49679319,0.04070381
-5.93396698,2.12194451,0.41584968,1.43967623,0.00821778,0.06085038,0.34580214,0.00000000,0.52601322,0.04319210
-5.92796398,2.23808195,0.43400808,1.51734632,0.00841933,0.06432435,0.36533965,0.00000000,0.55444279,0.04560964
-5.92196098,2.35241699,0.45154876,1.59398212,0.00859936,0.06806477,0.38429242,0.00000000,0.58162309,0.04791333
-5.91595798,2.46350220,0.46817037,1.66872349,0.00875732,0.07201025,0.40239612,0.00000000,0.60711569,0.05006154
-5.90995498,2.56996584,0.48360313,1.74075352,0.00889391,0.07609806,0.41940601,0.00000000,0.63051346,0.05201529
-5.90395198,2.67053482,0.49761432,1.80930890,0.00901104,0.08026463,0.43510290,0.00000000,0.65145072,0.05373927
-5.89794897,2.76405461,0.51001235,1.87368863,0.00911170,0.08444617,0.44929841,0.00000000,0.66961200,0.05520283
-5.89194597,2.84950582,0.52064954,1.93326118,0.00919975,0.08857926,0.46183904,0.00000000,0.68473941,0.05638080
-5.88594297,2.92601726,0.52942354,1.98747015,0.00927975,0.09260155,0.47260923,0.00000000,0.69663801,0.05725418
-5.87993997,2.99287538,0.53627721,2.03583858,0.00935668,0.09645257,0.48153295,0.00000000,0.70517929,0.05781057
-5.87393697,3.04953017,0.54119732,2.07797221,0.00943562,0.10007449,0.48857403,0.00000000,0.71030243,0.05804442
