energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,3.29549213,0.01319391,0.72427143,2.70467031,0.97648260,0.02079710,0.98734276
-5.99399700,3.19618585,0.01375262,0.68605258,2.64299904,0.93033946,0.02027913,0.97269772
-5.98799400,3.10451491,0.01425988,0.65059003,2.58476103,0.88819419,0.01977141,0.95903482
-5.98199100,3.02016355,0.01470880,0.61786520,2.52978905,0.84997576,0.01927146,0.94621719
-5.97598799,2.94261577,0.01509353,0.58779968,2.47778000,0.81553377,0.01877678,0.93406598
-5.96998499,2.87119002,0.01540941,0.56026259,2.42831742,0.78465081,0.01828488,0.92237082
-5.96398199,2.80507807,0.01565313,0.53507892,2.38089744,0.75705603,0.01779342,0.91090147
-5.95797899,2.74338702,0.01582286,0.51203859,2.33495731,0.73243964,0.01730026,0.89942006
-5.95197599,2.68518270,0.01591833,0.49090607,2.28990560,0.71046782,0.01680365,0.88769356
-5.94597299,2.62953309,0.01594082,0.47143003,2.24515293,0.69079750,0.01630230,0.87550585
-5.93996998,2.57555018,0.01589317,0.45335316,2.20014239,0.67309069,0.01579551,0.86266891
-5.93396698,2.52242891,0.01577967,0.43642146,2.15437831,0.65702778,0.01528330,0.84903270
-5.92796398,2.46948171,0.01560593,0.42039306,2.10745264,0.64231956,0.01476647,0.83449330
-5.92196098,2.41616765,0.01537875,0.40504613,2.05906782,0.62871754,0.01424667,0.81899903
-5.91595798,2.36211507,0.01510588,0.39018583,2.00905550,0.61602226,0.01372644,0.80255425
-5.90995498,2.30713723,0.01479581,0.37564994,1.95739031,0.60408944,0.01320923,0.78522086
-5.90395198,2.25124045,0.01445747,0.36131320,1.90419850,0.59283391,0.01269929,0.76711739
-5.89794897,2.19462486,0.01410007,0.34709020,1.84976112,0.58223111,0.01220168,0.74841588
-5.89194597,2.13767797,0.01373278,0.33293680,1.79451182,0.57231642,0.01172207,0.72933681
-5.88594297,2.08096172,0.01336449,0.31885006,1.73902961,0.56318232,0.01126666,0.71014226
-5.87993997,2.02519396,0.01300369,0.30486697,1.68402715,0.55497378,0.01084198,0.69112795
-5.87393697,1.97122539,0.01265822,0.29106176,1.63033501,0.54788198,0.01045468,0.67261440
-5.86793397,1.92001317,0.01233517,0.27754233,1.57888295,0.54213689,0.01011134,0.65493776
-5.86193097,1.87259277,0.01204083,0.26444574,1.53067887,0.53799898,0.00981827,0.63844088
-5.85592796,1.83004898,0.01178063,0.25193310,1.48678632,0.53575056,0.00958134,0.62346479
-5.84992496,1.79348759,0.01155920,0.24018401,1.44830124,0.53568694,0.00940576,0.61034119
-5.84392196,1.76400850,0.01138041,0.22939080,1.41632874,0.53810787,0.00929598,0.59938610
-5.83791896,1.74268116,0.01124747,0.21975276,1.39196009,0.54330956,0.00925555,0.59089474
-5.83191596,1.73052269,0.01116311,0.21147037,1.37625050,0.55157721,0.00928711,0.58513784
-5.82591296,1.72847887,0.01112968,0.20473991,1.37019753,0.56317845,0.00939234,0.58235913
-5.81990995,1.73740791,0.01114935,0.19974822,1.37472032,0.57835751,0.00957198,0.58277397
-5.81390695,1.75806658,0.01122425,0.19666784,1.39063931,0.59733004,0.00982597,0.58656869
-5.80790395,1.79109816,0.01135659,0.19565255,1.41865620,0.62027858,0.01015348,0.59390050
-5.80190095,1.83702146,0.01154874,0.19683316,1.45933417,0.64734837,0.01055313,0.60489738
-5.79589795,1.89622038,0.01180332,0.20031366,1.51307799,0.67864333,0.01102311,0.61965784
-5.78989495,1.96893318,0.01212314,0.20616767,1.58011416,0.71422209,0.01156133,0.63825005
-5.78389195,2.05524114,0.01251116,0.21443519,1.66047131,0.75409380,0.01216564,0.66071023
-5.77788894,2.15505637,0.01297035,0.22511966,1.75396132,0.79821378,0.01283390,0.68704003
-5.77188594,2.26810868,0.01350353,0.23818540,1.86016183,0.84647888,0.01356410,0.71720306
-5.76588294,2.39393216,0.01411307,0.25355553,1.97840123,0.89872262,0.01435441,0.75112042
-5.75987994,2.53185183,0.01480064,0.27111039,2.10774711,0.95471053,0.01520317,0.78866567
-5.75387694,2.68097159,0.01556691,0.29068672,2.24699959,1.01413563,0.01610878,0.82965944
-5.74787394,2.84016460,0.01641121,0.31207764,2.39469069,1.07661472,0.01706960,0.87386412
-5.74187094,3.00806723,0.01733120,0.33503365,2.54909112,1.14168577,0.01808372,0.92097918
-5.73586793,3.18307828,0.01832263,0.35926468,2.70822535,1.20880682,0.01914873,0.97063748
-5.72986493,3.36336443,0.01937905,0.38444348,2.86989576,1.27735702,0.02026140,1.02240318
-5.72386193,3.54687318,0.02049170,0.41021017,3.03171620,1.34663992,0.02141738,1.07577172
-5.71785893,3.73135399,0.02164938,0.43617817,3.19115466,1.41588963,0.02261093,1.13017206
-5.71185593,3.91438793,0.02283850,0.46194123,3.34558448,1.48427986,0.02383460,1.18497162
-5.70585293,4.09342591,0.02404319,0.48708167,3.49234272,1.55093586,0.02507901,1.23948387
-5.69984992,4.26583471,0.02524554,0.51117936,3.62879406,1.61494933,0.02633274,1.29297864
-5.69384692,4.42894987,0.02642594,0.53382138,3.75239791,1.67539575,0.02758223,1.34469494
-5.68784392,4.58013377,0.02756350,0.55461191,3.86077626,1.73135400,0.02881188,1.39385582
-5.68184092,4.71683715,0.02863662,0.57318202,3.95177953,1.78192730,0.03000423,1.43968498
-5.67583792,4.83666163,0.02962354,0.58919906,4.02354769,1.82626511,0.03114023,1.48142449
-5.66983492,4.93742110,0.03050301,0.60237507,4.07456390,1.86358489,0.03219974,1.51835294
-5.66383192,5.01719928,0.03125492,0.61247418,4.10369842,1.89319309,0.03316202,1.54980338
-5.65782891,5.07440151,0.03186097,0.61931836,4.11024072,1.91450442,0.03400640,1.57518041
-5.65182591,5.10779830,0.03230526,0.62279157,4.09391855,1.92705867,0.03471293,1.59397576
-5.64582291,5.11655927,0.03257482,0.62284202,4.05490307,1.93053437,0.03526313,1.60578171
-5.63981991,5.10027597,0.03266010,0.61948245,3.99379991,1.92475876,0.03564068,1.61030207
-5.63381691,5.05897299,0.03255528,0.61278857,3.91162692,1.90971371,0.03583215,1.60736021
-5.62781391,4.99310691,0.03225849,0.60289573,3.80977956,1.88553741,0.03582751,1.59690394
