energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,8.99456391,0.76541528,1.90689441,0.15295571,0.55777252,2.21897659,1.54150457,0.07218006,3.04244018
-5.99399700,8.83017360,0.75493445,1.89956092,0.15031700,0.53997265,2.18385730,1.49963869,0.07022226,2.99412357
-5.98799400,8.65129499,0.74213030,1.88808002,0.14710288,0.52104945,2.14669123,1.45563030,0.06821324,2.94085527
-5.98199100,8.45825802,0.72689992,1.87260484,0.14335235,0.50103302,2.10706166,1.40970101,0.06617275,2.88265247
-5.97598799,8.25187682,0.70922189,1.85337361,0.13911340,0.48000318,2.06472519,1.36214589,0.06411991,2.81969955
-5.96998499,8.03342356,0.68915789,1.83069892,0.13444141,0.45808646,2.01962154,1.31332493,0.06207260,2.75234340
-5.96398199,7.80458487,0.66685119,1.80495488,0.12939733,0.43545139,1.97187553,1.26365193,0.06004694,2.68108259
-5.95797899,7.56740414,0.64252202,1.77656303,0.12404587,0.41230226,1.92179176,1.21358156,0.05805692,2.60655104
-5.95197599,7.32421326,0.61646033,1.74597779,0.11845365,0.38887175,1.86984254,1.16359523,0.05611417,2.52949747
-5.94597299,7.07755757,0.58901638,1.71367228,0.11268743,0.36541278,1.81664996,1.11418658,0.05422785,2.45076161
-5.93996998,6.83011801,0.56058946,1.68012509,0.10681251,0.34219002,1.76296333,1.06584717,0.05240469,2.37124868
-5.93396698,6.58463398,0.53161556,1.64580874,0.10089128,0.31947132,1.70963278,1.01905325,0.05064921,2.29190318
-5.92796398,6.34383018,0.50255430,1.61118014,0.09498207,0.29751948,1.65758054,0.97425392,0.04896398,2.21368325
-5.92196098,6.11035009,0.47387581,1.57667327,0.08913820,0.27658460,1.60777074,0.93186118,0.04734999,2.13753651
-5.91595798,5.88669788,0.44604798,1.54269425,0.08340732,0.25689718,1.56117882,0.89224224,0.04580707,2.06437815
-5.90995498,5.67519010,0.41952446,1.50961863,0.07783105,0.23866228,1.51876160,0.85571409,0.04433436,1.99507185
-5.90395198,5.47791745,0.39473391,1.47779057,0.07244481,0.22205465,1.48142851,0.82254030,0.04293075,1.93041387
-5.89794897,5.29671658,0.37207048,1.44752358,0.06727794,0.20721503,1.45001497,0.79293002,0.04159527,1.87112016
-5.89194597,5.13315086,0.35188594,1.41910224,0.06235393,0.19424761,1.42525804,0.76703874,0.04032748,1.81781665
-5.88594297,4.98849910,0.33448337,1.39278445,0.05769087,0.18321854,1.40777512,0.74497055,0.03912766,1.77103216
-5.87993997,4.86375047,0.32011238,1.36880356,0.05330192,0.17415549,1.39804563,0.72678142,0.03799703,1.73119364
-5.87393697,4.75960411,0.30896585,1.34736990,0.04919593,0.16704818,1.39639613,0.71248311,0.03693780,1.69862313
-5.86793397,4.67647172,0.30117805,1.32867138,0.04537798,0.16184976,1.40298894,0.70204720,0.03595307,1.67353612
