energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Y_p_up,Y_d_up
-6.00000000,0.44545436,0.01798664,0.01414691,0.00271476,0.28921004,0.16825278,0.07136491,0.12169601,0.04510648
-5.99399700,0.46570845,0.01647927,0.01487640,0.00265601,0.30556849,0.17921577,0.07218757,0.12582486,0.04698464
-5.98799400,0.49261169,0.01511030,0.01579532,0.00264011,0.32640711,0.19273520,0.07402745,0.13176147,0.04953391
-5.98199100,0.52648945,0.01388955,0.01691000,0.00267144,0.35194390,0.20892024,0.07694269,0.13959559,0.05279553
-5.97598799,0.56758124,0.01282258,0.01822333,0.00275406,0.38234190,0.22784698,0.08098000,0.14939292,0.05680177
-5.96998499,0.61603247,0.01191091,0.01973448,0.00289160,0.41770318,0.24955524,0.08617371,0.16119292,0.06157514
-5.96398199,0.67188743,0.01115229,0.02143884,0.00308721,0.45806355,0.27404585,0.09254491,0.17500699,0.06712758
-5.95797899,0.73508390,0.01054111,0.02332784,0.00334352,0.50338845,0.30127875,0.10010084,0.19081722,0.07345978
-5.95197599,0.80544939,0.01006879,0.02538908,0.00366253,0.55356969,0.33117173,0.10883434,0.20857555,0.08056069
-5.94597299,0.88269906,0.00972429,0.02760630,0.00404557,0.60842355,0.36359992,0.11872347,0.22820362,0.08840711
-5.93996998,0.96643568,0.00949457,0.02995965,0.00449319,0.66769006,0.39839625,0.12973123,0.24959313,0.09696339
-5.93396698,1.05615147,0.00936510,0.03242589,0.00500513,0.73103380,0.43535256,0.14180551,0.27260687,0.10618144
-5.92796398,1.15123226,0.00932034,0.03497877,0.00558020,0.79804610,0.47422177,0.15487916,0.29708041,0.11600079
-5.92196098,1.25096382,0.00934422,0.03758945,0.00621624,0.86824899,0.51472082,0.16887031,0.32282438,0.12634904
-5.91595798,1.35454062,0.00942060,0.04022700,0.00691010,0.94110072,0.55653452,0.18368291,0.34962753,0.13714250
-5.90995498,1.46107697,0.00953367,0.04285895,0.00765760,1.01600308,0.59932023,0.19920764,0.37726034,0.14828713
-5.90395198,1.56962055,0.00966832,0.04545195,0.00845353,1.09231042,0.64271340,0.21532305,0.40547922,0.15967981
-5.89794897,1.67916830,0.00981054,0.04797235,0.00929175,1.16934032,0.68633377,0.23189717,0.43403128,0.17120999
-5.89194597,1.78868436,0.00994766,0.05038698,0.01016521,1.24638586,0.72979229,0.24878940,0.46265952,0.18276155
-5.88594297,1.89712003,0.01006865,0.05266376,0.01106612,1.32272927,0.77269856,0.26585293,0.49110836,0.19421514
-5.87993997,2.00343520,0.01016430,0.05477241,0.01198610,1.39765673,0.81466869,0.28293742,0.51912934,0.20545062
-5.87393697,2.10662098,0.01022741,0.05668510,0.01291638,1.47047409,0.85533342,0.29989208,0.54648701,0.21634990
-5.86793397,2.20572287,0.01025289,0.05837707,0.01384804,1.54052301,0.89434632,0.31656907,0.57296454,0.22679986
-5.86193097,2.29986395,0.01023783,0.05982715,0.01477226,1.60719716,0.93139191,0.33282708,0.59836927,0.23669541
-5.85592796,2.38826731,0.01018156,0.06101831,0.01568061,1.66995807,0.96619338,0.34853500,0.62253775,0.24594245
-5.84992496,2.47027713,0.01008560,0.06193797,0.01656531,1.72834986,0.99851981,0.36357556,0.64534013,0.25446089
-5.84392196,2.54537735,0.00995364,0.06257838,0.01741947,1.78201265,1.02819248,0.37784883,0.66668392,0.26218725
-5.83791896,2.61320751,0.00979147,0.06293679,0.01823741,1.83069369,1.05509028,0.39127536,0.68651675,0.26907705
-5.83191596,2.67357474,0.00960682,0.06301559,0.01901477,1.87425601,1.07915360,0.40379880,0.70482805,0.27510666
-5.82591296,2.72646126,0.00940931,0.06282225,0.01974873,1.91268392,1.10038688,0.41538791,0.72164961,0.28027464
-5.81990995,2.77202703,0.00921022,0.06236928,0.02043809,1.94608500,1.11885934,0.42603774,0.73705478,0.28460240
-5.81390695,2.81060687,0.00902237,0.06167397,0.02108331,1.97468830,1.13470386,0.43576992,0.75115644,0.28813414
-5.80790395,2.84270208,0.00885994,0.06075811,0.02168647,1.99883856,1.14811399,0.44463199,0.76410349,0.29093604
-5.80190095,2.86896631,0.00873824,0.05964757,0.02225114,2.01898646,1.15933885,0.45269569,0.77607608,0.29309472
-5.79589795,2.89018618,0.00867352,0.05837185,0.02278227,2.03567501,1.16867624,0.46005427,0.78727963,0.29471489
-5.78989495,2.90725690,0.00868275,0.05696349,0.02328591,2.04952256,1.17646395,0.46681887,0.79793764,0.29591641
-5.78389195,2.92115375,0.00878336,0.05545745,0.02376895,2.06120270,1.18306946,0.47311409,0.80828365,0.29683067
-5.77788894,2.93290022,0.00899295,0.05389046,0.02423881,2.07142189,1.18887845,0.47907295,0.81855253,0.29759656
-5.77188594,2.94353402,0.00932901,0.05230027,0.02470309,2.08089559,1.19428242,0.48483136,0.82897135,0.29835609
-5.76588294,2.95407218,0.00980853,0.05072493,0.02516924,2.09032364,1.19966580,0.49052254,0.83975015,0.29924980
-5.75987994,2.96547640,0.01044767,0.04920203,0.02564422,2.10036596,1.20539305,0.49627130,0.85107309,0.30041216
-5.75387694,2.97862012,0.01126128,0.04776792,0.02613421,2.11161937,1.21179625,0.50218887,0.86309008,0.30196714
-5.74787394,2.99425854,0.01226246,0.04645700,0.02664431,2.12459659,1.21916348,0.50836811,0.87590947,0.30402401
-5.74187094,3.01300252,0.01346203,0.04530097,0.02717834,2.13970799,1.22772863,0.51487962,0.88959201,0.30667366
-5.73586793,3.03529755,0.01486805,0.04432814,0.02773867,2.15724690,1.23766277,0.52176874,0.90414633,0.30998537
-5.72986493,3.06140831,0.01648519,0.04356287,0.02832608,2.17737904,1.24906753,0.52905369,0.91952614,0.31400431
-5.72386193,3.09140937,0.01831429,0.04302493,0.02893974,2.20013613,1.26197067,0.53672469,0.93562937,0.31874971
-5.71785893,3.12518219,0.02035179,0.04272911,0.02957722,2.22541415,1.27632392,0.54474441,0.95229929,0.32421379
-5.71185593,3.16241830,0.02258932,0.04268477,0.03023451,2.25297586,1.29200315,0.55304932,0.96932741,0.33036151
-5.70585293,3.20262842,0.02501332,0.04289563,0.03090616,2.28245759,1.30881083,0.56155209,0.98645839,0.33713100
-5.69984992,3.24515692,0.02760484,0.04335958,0.03158543,2.31337977,1.32648064,0.57014469,1.00339643,0.34443480
-5.69384692,3.28920093,0.03033940,0.04406866,0.03226441,2.34516078,1.34468407,0.57870218,1.01981320,0.35216176
-5.68784392,3.33383331,0.03318715,0.04500915,0.03293428,2.37713343,1.36303874,0.58708679,1.03535680,0.36017956
-5.68184092,3.37802858,0.03611306,0.04616184,0.03358549,2.40856359,1.38111819,0.59515226,1.04966159,0.36833782
-5.67583792,3.42069089,0.03907750,0.04750236,0.03420799,2.43867019,1.39846285,0.60274809,1.06235847,0.37647164
-5.66983492,3.46068321,0.04203686,0.04900169,0.03479142,2.46664603,1.41459194,0.60972362,1.07308528,0.38440560
-5.66383192,3.49685682,0.04494453,0.05062680,0.03532539,2.49167883,1.42901587,0.61593171,1.08149707,0.39195801
-5.65782891,3.52808046,0.04775193,0.05234135,0.03579965,2.51297196,1.44124902,0.62123207,1.08727583,0.39894540
-5.65182591,3.55326844,0.05040978,0.05410657,0.03620432,2.52976439,1.45082246,0.62549400,1.09013960,0.40518709
-5.64582291,3.57140710,0.05286948,0.05588207,0.03653011,2.54134949,1.45729642,0.62859864,1.08985047,0.41050980
-5.63981991,3.58157927,0.05508454,0.05762688,0.03676847,2.54709234,1.46027219,0.63044072,1.08622163,0.41475211
-5.63381691,3.58298620,0.05701203,0.05930033,0.03691184,2.54644520,1.45940321,0.63092987,1.07912306,0.41776875
-5.62781391,3.57496670,0.05861398,0.06086310,0.03695378,2.53896101,1.45440507,0.62999155,1.06848589,0.41943445
-5.62181091,3.55701328,0.05985874,0.06227804,0.03688918,2.52430468,1.44506415,0.62756772,1.05430536,0.41964747
-5.61580790,3.52878487,0.06072205,0.06351111,0.03671435,2.50226192,1.43124475,0.62361726,1.03664244,0.41833246
-5.60980490,3.49011625,0.06118804,0.06453211,0.03642720,2.47274567,1.41289441,0.61811633,1.01562393,0.41544272
-5.60380190,3.44102373,0.06124989,0.06531533,0.03602732,2.43579981,1.39004731,0.61105865,0.99144127,0.41096168
-5.59779890,3.38170726,0.06091025,0.06584008,0.03551608,2.39160024,1.36282559,0.60245574,0.96434803,0.40490365
-5.59179590,3.31254878,0.06018132,0.06609104,0.03489666,2.34045329,1.33143853,0.59233719,0.93465615,0.39731365
-5.58579290,3.23410696,0.05908463,0.06605851,0.03417406,2.28279136,1.29617961,0.58075094,0.90273110,0.38826648
-5.57978989,3.14710830,0.05765059,0.06573844,0.03335512,2.21916604,1.25742144,0.56776347,0.86898600,0.37786496
-5.57378689,3.05243486,0.05591765,0.06513236,0.03244840,2.15023873,1.21560874,0.55345991,0.83387480,0.36623739
-5.56778389,2.95110882,0.05393135,0.06424714,0.03146413,2.07676896,1.17124951,0.53794402,0.79788475,0.35353440
-5.56178089,2.84427418,0.05174303,0.06309466,0.03041406,1.99960064,1.12490468,0.52133785,0.76152820,0.33992522
-5.55577789,2.73317589,0.04940853,0.06169130,0.02931126,1.91964653,1.07717651,0.50378112,0.72533391,0.32559350
-5.54977489,2.61913690,0.04698668,0.06005744,0.02816994,1.83787126,1.02869603,0.48543021,0.68983794,0.31073290
-5.54377189,2.50353346,0.04453786,0.05821679,0.02700522,1.75527310,0.98010985,0.46645662,0.65557429,0.29554249
-5.53776888,2.38776919,0.04212242,0.05619579,0.02583281,1.67286504,0.93206675,0.44704498,0.62306544,0.28022220
-5.53176588,2.27324835,0.03979931,0.05402284,0.02466877,1.59165527,0.88520424,0.42739046,0.59281273,0.26496837
-5.52576288,2.16134868,0.03762464,0.05172768,0.02352919,1.51262763,0.84013545,0.40769569,0.56528694,0.24996952
-5.51975988,2.05339441,0.03565052,0.04934065,0.02242986,1.43672217,0.79743663,0.38816714,0.54091893,0.23540257
-5.51375688,1.95062976,0.03392386,0.04689210,0.02138593,1.36481632,0.75763539,0.36901111,0.52009064,0.22142937
-5.50775388,1.85419346,0.03248547,0.04441168,0.02041161,1.29770687,0.72119995,0.35042929,0.50312637,0.20819381
-5.50175088,1.76509475,0.03136927,0.04192787,0.01951986,1.23609311,0.68852955,0.33261419,0.49028480,0.19581935
-5.49574787,1.68419129,0.03060164,0.03946739,0.01872203,1.18056155,0.65994609,0.31574442,0.48175149,0.18440719
-5.48974487,1.61216962,0.03020092,0.03705480,0.01802762,1.13157246,0.63568722,0.29998002,0.47763251,0.17403491
-5.48374187,1.54952853,0.03017716,0.03471210,0.01744400,1.08944868,0.61590099,0.28545812,0.47794904,0.16475565
-5.47773887,1.49656604,0.03053194,0.03245840,0.01697620,1.05436695,0.60064211,0.27228897,0.48263347,0.15659787
-5.47173587,1.45337044,0.03125836,0.03030976,0.01662674,1.02635231,0.58987007,0.26055255,0.49152708,0.14956554
-5.46573287,1.41981592,0.03234121,0.02827895,0.01639549,1.00527575,0.58344916,0.25029596,0.50437968,0.14363889
-5.45972986,1.39556334,0.03375729,0.02637546,0.01627963,0.99085544,0.58115060,0.24153174,0.52085140,0.13877557
-5.45372686,1.38006631,0.03547586,0.02460545,0.01627366,0.98266193,0.58265676,0.23423713,0.54051687,0.13491231
-5.44772386,1.37258306,0.03745930,0.02297187,0.01636947,0.98012728,0.58756772,0.22835444,0.56287191,0.13196698
-5.44172086,1.37219392,0.03966389,0.02147463,0.01655652,0.98255822,0.59541003,0.22379260,0.58734288,0.12984100
-5.43571786,1.37782447,0.04204078,0.02011084,0.01682207,0.98915337,0.60564765,0.22042969,0.61329854,0.12842219
-5.42971486,1.38827386,0.04453709,0.01887510,0.01715152,0.99902392,0.61769506,0.21811666,0.64006439,0.12758785
-5.42371186,1.40224766,0.04709722,0.01775989,0.01752877,1.01121767,0.63093214,0.21668191,0.66693912,0.12720811
-5.41770885,1.41839453,0.04966417,0.01675594,0.01793669,1.02474557,0.64472053,0.21593669,0.69321286,0.12714945
-5.41170585,1.43534544,0.05218112,0.01585271,0.01835759,1.03861005,0.65842117,0.21568115,0.71818658,0.12727828
-5.40570285,1.45175429,0.05459291,0.01503880,0.01877379,1.05183426,0.67141229,0.21571072,0.74119216,0.12746453
-5.39969985,1.46633848,0.05684770,0.01430245,0.01916816,1.06349117,0.68310739,0.21582273,0.76161226,0.12758510
-5.39369685,1.47791790,0.05889845,0.01363194,0.01952464,1.07273140,0.69297254,0.21582291,0.77889936,0.12752708
-5.38769385,1.48545093,0.06070446,0.01301603,0.01982878,1.07880887,0.70054235,0.21553156,0.79259315,0.12719064
-5.38169085,1.48806596,0.06223268,0.01244430,0.02006820,1.08110305,0.70543390,0.21478913,0.80233545,0.12649146
-5.37568784,1.48508713,0.06345884,0.01190746,0.02023303,1.07913714,0.70735816,0.21346111,0.80788217,0.12536265
-5.36968484,1.47605341,0.06436839,0.01139762,0.02031620,1.07259117,0.70612831,0.21144188,0.80911155,0.12375611
-5.36368184,1.46072999,0.06495705,0.01090840,0.02031368,1.06130975,0.70166455,0.20865755,0.80602840,0.12164313
-5.35767884,1.43911179,0.06523115,0.01043512,0.02022461,1.04530394,0.69399531,0.20506761,0.79876403,0.11901450
-5.35167584,1.41141874,0.06520751,0.00997470,0.02005128,1.02474732,0.68325456,0.20066539,0.78757177,0.11587985
-5.34567284,1.37808334,0.06491301,0.00952574,0.01979905,0.99996644,0.66967551,0.19547736,0.77281835,0.11226640
-5.33966983,1.33973085,0.06438381,0.00908828,0.01947608,0.97142609,0.65358077,0.18956136,0.75497120,0.10821720
-5.33366683,1.29715321,0.06366420,0.00866372,0.01909304,0.93970999,0.63536954,0.18300375,0.73458240,0.10378886
-5.32766383,1.25127774,0.06280518,0.00825459,0.01866266,0.90549795,0.61550218,0.17591583,0.71226973,0.09904898
-5.32166083,1.20313199,0.06186276,0.00786428,0.01819921,0.86954026,0.59448296,0.16842955,0.68869565,0.09407326
-5.31565783,1.15380633,0.06089606,0.00749680,0.01771800,0.83263059,0.57284167,0.16069277,0.66454498,0.08894257
-5.30965483,1.10441564,0.05996534,0.00715653,0.01723473,0.79557843,0.55111471,0.15286424,0.64050216,0.08373997
-5.30365183,1.05606174,0.05912992,0.00684793,0.01676492,0.75918209,0.52982669,0.14510855,0.61722889,0.07854792
-5.29764882,1.00979801,0.05844613,0.00657534,0.01632329,0.72420342,0.50947298,0.13759118,0.59534310,0.07344563
-5.29164582,0.96659728,0.05796541,0.00634275,0.01592324,0.69134509,0.49050404,0.13047381,0.57539980,0.06850682
-5.28564282,0.92732424,0.05773254,0.00615366,0.01557636,0.66123111,0.47331209,0.12391012,0.55787462,0.06379781
-5.27963982,0.89271309,0.05778413,0.00601092,0.01529196,0.63439125,0.45822049,0.11804201,0.54315051,0.05937605
-5.27363682,0.86335093,0.05814739,0.00591665,0.01507679,0.61124964,0.44547618,0.11299650,0.53150790,0.05528917
-5.26763382,0.83966727,0.05883923,0.00587226,0.01493479,0.59211783,0.43524540,0.10888317,0.52311870,0.05157438
-5.26163082,0.82192956,0.05986576,0.00587835,0.01486699,0.57719213,0.42761262,0.10579232,0.51804415,0.04825841
-5.25562781,0.81024453,0.06122214,0.00593488,0.01487148,0.56655514,0.42258261,0.10379367,0.51623639,0.04535782
-5.24962481,0.80456491,0.06289276,0.00604113,0.01494353,0.56018107,0.42008542,0.10293565,0.51754371,0.04287962
-5.24362181,0.80470073,0.06485186,0.00619589,0.01507581,0.55794426,0.41998386,0.10324518,0.52171903,0.04082225
-5.23761881,0.81033455,0.06706441,0.00639752,0.01525866,0.55963048,0.42208303,0.10472797,0.52843127,0.03917668
-5.23161581,0.82103963,0.06948731,0.00664409,0.01548052,0.56495016,0.42614137,0.10736905,0.53727905,0.03792773
-5.22561281,0.83630014,0.07207077,0.00693355,0.01572831,0.57355290,0.43188273,0.11113376,0.54780610,0.03705543
-5.21960980,0.85553239,0.07475994,0.00726376,0.01598797,0.58504269,0.43900872,0.11596887,0.55951798,0.03653634
-5.21360680,0.87810629,0.07749654,0.00763267,0.01624498,0.59899304,0.44721099,0.12180397,0.57189914,0.03634482
-5.20760380,0.90336608,0.08022062,0.00803833,0.01648483,0.61496152,0.45618272,0.12855297,0.58443005,0.03645425
-5.20160080,0.93064985,0.08287225,0.00847899,0.01669357,0.63250322,0.46562903,0.13611578,0.59660361,0.03683800
-5.19559780,0.95930707,0.08539314,0.00895311,0.01685823,0.65118270,0.47527584,0.14438011,0.60794028,0.03747028
