energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.74196641,0.01049842,0.01536108,1.22499848,1.24367807,0.42795386,0.12423631,0.06992839,1.32101453
-5.99399700,2.71413155,0.01102989,0.01505028,1.19075534,1.24207593,0.41973397,0.12179428,0.06947386,1.30245014
-5.98799400,2.68582155,0.01163042,0.01472708,1.15643857,1.24006400,0.41165656,0.11934705,0.06902000,1.28373732
-5.98199100,2.65775713,0.01229849,0.01439433,1.12262893,1.23781748,0.40389149,0.11694258,0.06858586,1.26530061
-5.97598799,2.63053501,0.01303171,0.01405454,1.08984163,1.23547228,0.39658600,0.11462063,0.06818581,1.24749592
-5.96998499,2.60460560,0.01382676,0.01370978,1.05851175,1.23311853,0.38985978,0.11241139,0.06782882,1.23059801
-5.96398199,2.58025762,0.01467919,0.01336162,1.02898349,1.23079639,0.38380128,0.11033448,0.06751812,1.21479161
-5.95797899,2.55761018,0.01558337,0.01301118,1.00150340,1.22849410,0.37846535,0.10839851,0.06725102,1.20016690
-5.95197599,2.53661268,0.01653249,0.01265902,0.97621797,1.22614842,0.37387244,0.10660110,0.06701912,1.18671928
-5.94597299,2.51705242,0.01751853,0.01230529,0.95317549,1.22364729,0.37000933,0.10492947,0.06680872,1.17435350
-5.93996998,2.49856932,0.01853238,0.01194966,0.93233193,1.22083459,0.36683128,0.10336145,0.06660155,1.16289182
-5.93396698,2.48067699,0.01956392,0.01159149,0.91356045,1.21751667,0.36426545,0.10186696,0.06637573,1.15208577
-5.92796398,2.46278903,0.02060219,0.01122986,0.89666389,1.21347042,0.36221549,0.10040980,0.06610685,1.14163085
-5.92196098,2.44424901,0.02163556,0.01086371,0.88138951,1.20845227,0.36056685,0.09894972,0.06576922,1.13118339
-5.91595798,2.42436291,0.02265194,0.01049190,0.86744518,1.20220807,0.35919268,0.09744466,0.06533723,1.12037859
-5.90995498,2.40243206,0.02363906,0.01011338,0.85451608,1.19448305,0.35795993,0.09585292,0.06478656,1.10884902
-5.90395198,2.37778542,0.02458461,0.00972729,0.84228113,1.18503175,0.35673529,0.09413539,0.06409547,1.09624250
-5.89794897,2.34980949,0.02547655,0.00933302,0.83042834,1.17362748,0.35539079,0.09225752,0.06324583,1.08223862
-5.89194597,2.31797468,0.02630331,0.00893034,0.81866840,1.16007094,0.35380875,0.09019098,0.06222402,1.06656312
-5.88594297,2.28185732,0.02705400,0.00851948,0.80674606,1.14419785,0.35188584,0.08791512,0.06102162,1.04899964
-5.87993997,2.24115635,0.02771857,0.00810111,0.79444880,1.12588538,0.34953622,0.08541782,0.05963572,1.02939839
-5.87393697,2.19570459,0.02828802,0.00767643,0.78161278,1.10505716,0.34669370,0.08269614,0.05806914,1.00768158
-5.86793397,2.14547436,0.02875454,0.00724716,0.76812606,1.08168706,0.34331273,0.07975635,0.05633021,0.98384556
-5.86193097,2.09057782,0.02911159,0.00681548,0.75392918,1.05580147,0.33936866,0.07661371,0.05443240,0.95795987
-5.85592796,2.03126240,0.02935401,0.00638403,0.73901355,1.02748028,0.33485698,0.07329173,0.05239374,0.93016365
-5.84992496,1.96790223,0.02947811,0.00595583,0.72341803,0.99685667,0.32979204,0.06982127,0.05023601,0.90065960
-5.84392196,1.90098620,0.02948168,0.00553423,0.70722422,0.96411577,0.32420528,0.06623929,0.04798383,0.86970638
-5.83791896,1.83110372,0.02936402,0.00512279,0.69055093,0.92949225,0.31814309,0.06258750,0.04566372,0.83760967
-5.83191596,1.75892908,0.02912600,0.00472523,0.67354843,0.89326721,0.31166474,0.05891092,0.04330312,0.80471282
-5.82591296,1.68520516,0.02876995,0.00434537,0.65639285,0.85576424,0.30484025,0.05525641,0.04092942,0.77138733
-5.81990995,1.61072741,0.02829971,0.00398699,0.63928104,0.81734495,0.29774854,0.05167131,0.03856913,0.73802381
-5.81390695,1.53632851,0.02772056,0.00365381,0.62242629,0.77840401,0.29047579,0.04820215,0.03624715,0.70502368
-5.80790395,1.46286428,0.02703913,0.00334940,0.60605477,0.73936389,0.28311417,0.04489358,0.03398611,0.67279189
-5.80190095,1.39120098,0.02626332,0.00307716,0.59040284,0.70066921,0.27576081,0.04178746,0.03180603,0.64173071
-5.79589795,1.32220402,0.02540221,0.00284026,0.57571512,0.66278095,0.26851708,0.03892213,0.02972398,0.61223469
-5.78989495,1.25672807,0.02446591,0.00264159,0.56224286,0.62617052,0.26148792,0.03633193,0.02775398,0.58468650
-5.78389195,1.19560823,0.02346542,0.00248378,0.55024258,0.59131366,0.25478128,0.03404689,0.02590704,0.55945366
-5.77788894,1.13965204,0.02241246,0.00236912,0.53997449,0.55868434,0.24850747,0.03209252,0.02419126,0.53688568
-5.77188594,1.08963184,0.02131927,0.00229959,0.53170036,0.52874863,0.24277823,0.03048980,0.02261210,0.51731157
-5.76588294,1.04627732,0.02019843,0.00227681,0.52568062,0.50195855,0.23770559,0.02925523,0.02117263,0.50103727
-5.75987994,1.01026775,0.01906262,0.00230201,0.52217044,0.47874608,0.23340026,0.02840091,0.01987389,0.48834278
-5.75387694,0.98222385,0.01792442,0.00237603,0.52141469,0.45951725,0.22996970,0.02793463,0.01871516,0.47947899
-5.74787394,0.96269909,0.01679608,0.00249923,0.52364169,0.44464641,0.22751570,0.02786003,0.01769434,0.47466389
-5.74187094,0.95217057,0.01568928,0.00267149,0.52905605,0.43447079,0.22613166,0.02817664,0.01680815,0.47407834
-5.73586793,0.95102946,0.01461500,0.00289213,0.53783061,0.42928540,0.22589964,0.02887991,0.01605241,0.47786136
-5.72986493,0.95957147,0.01358324,0.00315988,0.55009812,0.42933832,0.22688723,0.02996126,0.01542221,0.48610526
-5.72386193,0.97798765,0.01260291,0.00347281,0.56594276,0.43482653,0.22914453,0.03140803,0.01491200,0.49885075
-5.71785893,1.00635597,0.01168170,0.00382827,0.58539229,0.44589221,0.23270132,0.03320345,0.01451570,0.51608238
-5.71185593,1.04463423,0.01082597,0.00422288,0.60841120,0.46261979,0.23756470,0.03532660,0.01422673,0.53772475
-5.70585293,1.09265476,0.01004067,0.00465250,0.63489536,0.48503363,0.24371720,0.03775245,0.01403805,0.56363960
-5.69984992,1.15012139,0.00932933,0.00511221,0.66466866,0.51309646,0.25111576,0.04045191,0.01394208,0.59362437
-5.69384692,1.21660900,0.00869410,0.00559634,0.69748198,0.54670857,0.25969144,0.04339197,0.01393079,0.62741230
