energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,2.62969735,0.02181510,0.31722389,1.46574129,0.00000000,0.86775927,0.50609359
-5.99399700,2.72384584,0.02177144,0.32885063,1.51700412,0.00000000,0.89949335,0.52629092
-5.98799400,2.82841983,0.02169669,0.34306387,1.57305313,0.00000000,0.93610518,0.54866970
-5.98199100,2.94227389,0.02159019,0.35971099,1.63331519,0.00000000,0.97699218,0.57301735
-5.97598799,3.06406643,0.02145186,0.37859029,1.69712413,0.00000000,1.02149800,0.59907238
-5.96998499,3.19225280,0.02128208,0.39944782,1.76371751,0.00000000,1.06891289,0.62652275
-5.96398199,3.32508764,0.02108164,0.42197631,1.83223817,0.00000000,1.11847640,0.65500642
-5.95797899,3.46063791,0.02085167,0.44581648,1.90174107,0.00000000,1.16938270,0.68411425
-5.95197599,3.59680722,0.02059355,0.47056101,1.97120578,0.00000000,1.22078900,0.71339548
-5.94597299,3.73137179,0.02030890,0.49576103,2.03955482,0.00000000,1.27182728,0.74236585
-5.93996998,3.86202747,0.01999954,0.52093527,2.10567744,0.00000000,1.32161923,0.77051814
-5.93396698,3.98644673,0.01966746,0.54558140,2.16845843,0.00000000,1.36929428,0.79733497
-5.92796398,4.10234373,0.01931483,0.56918941,2.22681079,0.00000000,1.41401018,0.82230337
-5.92196098,4.20754495,0.01894395,0.59125623,2.27971116,0.00000000,1.45497535,0.84493066
-5.91595798,4.30006236,0.01855732,0.61130122,2.32623639,0.00000000,1.49147218,0.86476081
-5.90995498,4.37816569,0.01815762,0.62888170,2.36559947,0.00000000,1.52288014,0.88139072
-5.90395198,4.44044997,0.01774771,0.64360779,2.39718292,0.00000000,1.54869741,0.89448549
-5.89794897,4.48589486,0.01733065,0.65515586,2.42056774,0.00000000,1.56855987,0.90379194
-5.89194597,4.51391186,0.01690971,0.66327991,2.43555604,0.00000000,1.58225627,0.90914955
-5.88594297,4.52437661,0.01648836,0.66782019,2.44218578,0.00000000,1.58973832,0.91049831
-5.87993997,4.51764337,0.01607026,0.66870872,2.44073615,0.00000000,1.59112492,0.90788273
-5.87393697,4.49454029,0.01565922,0.66597128,2.43172291,0.00000000,1.58669986,0.90145182
-5.86793397,4.45634442,0.01525912,0.65972572,2.41588302,0.00000000,1.57690264,0.89145478
-5.86193097,4.40473683,0.01487391,0.65017672,2.39414894,0.00000000,1.56231249,0.87823247
-5.85592796,4.34173918,0.01450742,0.63760712,2.36761315,0.00000000,1.54362600,0.86220499
-5.84992496,4.26963419,0.01416331,0.62236619,2.33748436,0.00000000,1.52162919,0.84385573
-5.84392196,4.19087317,0.01384491,0.60485560,2.30503698,0.00000000,1.49716510,0.82371274
-5.83791896,4.10797501,0.01355507,0.58551347,2.27155644,0.00000000,1.47109848,0.80232802
-5.83191596,4.02342115,0.01329603,0.56479745,2.23828256,0.00000000,1.44427904,0.78025597
-5.82591296,3.93955164,0.01306928,0.54316758,2.20635402,0.00000000,1.41750525,0.75803175
-5.81990995,3.85846736,0.01287538,0.52106969,2.17675657,0.00000000,1.39149029,0.73615071
-5.81390695,3.78194333,0.01271393,0.49892010,2.15027771,0.00000000,1.36683204,0.71504981
-5.80790395,3.71135716,0.01258343,0.47709226,2.12747015,0.00000000,1.34398847,0.69509187
-5.80190095,3.64763647,0.01248128,0.45590598,2.10862607,0.00000000,1.32325987,0.67655349
-5.79589795,3.59122761,0.01240378,0.43561941,2.09376353,0.00000000,1.30477859,0.65961693
-5.78989495,3.54208728,0.01234622,0.41642424,2.08262583,0.00000000,1.28850704,0.64436653
-5.78389195,3.49969707,0.01230294,0.39844403,2.07469388,0.00000000,1.27424376,0.63078955
-5.77788894,3.46310020,0.01226755,0.38173568,2.06921106,0.00000000,1.26163732,0.61878137
-5.77188594,3.43095814,0.01223309,0.36629366,2.06521918,0.00000000,1.25020729,0.60815472
-5.76588294,3.40162413,0.01219230,0.35205675,2.06160385,0.00000000,1.23937093,0.59865229
-5.75987994,3.37322951,0.01213787,0.33891675,2.05714686,0.00000000,1.22847440,0.58996211
-5.75387694,3.34377853,0.01206273,0.32672860,2.05058293,0.00000000,1.21682667,0.58173483
-5.74787394,3.31124665,0.01196030,0.31532134,2.04065796,0.00000000,1.20373437,0.57360201
-5.74187094,3.27367747,0.01182474,0.30450939,2.02618603,0.00000000,1.18853592,0.56519451
-5.73586793,3.22927368,0.01165123,0.29410340,2.00610224,0.00000000,1.17063323,0.55616018
-5.72986493,3.17647788,0.01143611,0.28392041,1.97950906,0.00000000,1.14951948,0.54617993
-5.72386193,3.11403965,0.01117701,0.27379272,1.94571417,0.00000000,1.12480169,0.53498169
-5.71785893,3.04106636,0.01087298,0.26357520,1.90425815,0.00000000,1.09621744,0.52235147
-5.71185593,2.95705612,0.01052448,0.25315083,1.85493117,0.00000000,1.06364491,0.50814149
-5.70585293,2.86191197,0.01013335,0.24243437,1.79777842,0.00000000,1.02710628,0.49227493
-5.69984992,2.75593800,0.00970272,0.23137404,1.73309427,0.00000000,0.98676468,0.47474746
-5.69384692,2.63981839,0.00923690,0.21995157,1.66140640,0.00000000,0.94291512,0.45562564
-5.68784392,2.51458159,0.00874114,0.20818043,1.58345078,0.00000000,0.89597038,0.43504261
-5.68184092,2.38155232,0.00822147,0.19610278,1.50013953,0.00000000,0.84644271,0.41319135
-5.67583792,2.24229451,0.00768446,0.18378537,1.41252341,0.00000000,0.79492271,0.39031625
