energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.46996432,0.02826170,0.02933342,0.01932049,1.59363925,1.54520691,0.60052878
-5.99399700,2.57673796,0.02831226,0.03027859,0.01967700,1.66454671,1.61726602,0.62856008
-5.98799400,2.67963447,0.02819452,0.03121363,0.01996394,1.73307881,1.68782401,0.65547543
-5.98199100,2.77751048,0.02790985,0.03212624,0.02018140,1.79848088,1.75606180,0.68098662
-5.97598799,2.86928190,0.02746345,0.03300514,0.02033151,1.86003190,1.82117281,0.70481878
-5.96998499,2.95393956,0.02686413,0.03383996,0.02041834,1.91705553,1.88237572,0.72671423
-5.96398199,3.03056336,0.02612385,0.03462114,0.02044760,1.96893028,1.93892713,0.74643610
-5.95797899,3.09833481,0.02525731,0.03533980,0.02042641,2.01509865,1.99013382,0.76377181
-5.95197599,3.15654753,0.02428134,0.03598759,0.02036288,2.05507506,2.03536442,0.77853622
-5.94597299,3.20461574,0.02321436,0.03655664,0.02026578,2.08845233,2.07406001,0.79057441
-5.93996998,3.24208045,0.02207572,0.03703945,0.02014404,2.11490665,2.10574360,0.79976401
-5.93396698,3.26861313,0.02088507,0.03742883,0.02000639,2.13420088,2.13002799,0.80601703
-5.92796398,3.28401710,0.01966182,0.03771795,0.01986092,2.14618602,2.14662188,0.80928101
-5.92196098,3.28822631,0.01842456,0.03790032,0.01971473,2.15080102,2.15533400,0.80953960
-5.91595798,3.28130171,0.01719062,0.03796995,0.01957362,2.14807071,2.15607508,0.80681234
-5.90995498,3.26342536,0.01597564,0.03792143,0.01944183,2.13810212,2.14885765,0.80115381
-5.90395198,3.23489239,0.01479334,0.03775010,0.01932191,2.12107915,2.13379355,0.79265196
-5.89794897,3.19610109,0.01365525,0.03745231,0.01921461,2.09725597,2.11108935,0.78142583
-5.89194597,3.14754156,0.01257066,0.03702553,0.01911893,2.06694920,2.08103980,0.76762256
-5.88594297,3.08978316,0.01154656,0.03646866,0.01903216,2.03052933,2.04401950,0.75141395
-5.87993997,3.02346128,0.01058776,0.03578215,0.01895011,1.98841156,2.00047328,0.73299255
-5.87393697,2.94926392,0.00969696,0.03496819,0.01886729,1.94104652,1.95090543,0.71256743
-5.86793397,2.86791843,0.00887502,0.03403083,0.01877725,1.88891113,1.89586834,0.69035988
-5.86193097,2.78017891,0.00812111,0.03297603,0.01867284,1.83249993,1.83595097,0.66659908
-5.85592796,2.68681468,0.00743304,0.03181166,0.01854662,1.77231719,1.77176740,0.64151794
-5.84992496,2.58860003,0.00680753,0.03054743,0.01839119,1.70887001,1.70394609,0.61534925
-5.84392196,2.48630552,0.00624045,0.02919473,0.01819952,1.64266252,1.63311981,0.58832220
-5.83791896,2.38069100,0.00572709,0.02776643,0.01796527,1.57419135,1.55991689,0.56065947
-5.83191596,2.27250022,0.00526247,0.02627663,0.01768309,1.50394227,1.48495361,0.53257479
-5.82591296,2.16245705,0.00484146,0.02474031,0.01734883,1.43238798,1.40882802,0.50427111
-5.81990995,2.05126308,0.00445905,0.02317300,0.01695971,1.35998685,1.33211503,0.47593934
-5.81390695,1.93959628,0.00411046,0.02159041,0.01651444,1.28718251,1.25536293,0.44775761
-5.80790395,1.82811051,0.00379127,0.02000804,0.01601328,1.21440387,1.17909082,0.41989093
-5.80190095,1.71743537,0.00349749,0.01844085,0.01545804,1.14206549,1.10378718,0.39249122
-5.79589795,1.60817615,0.00322563,0.01690293,0.01485197,1.07056783,1.02990895,0.36569766
-5.78989495,1.50091358,0.00297269,0.01540716,0.01419966,1.00029742,0.95788120,0.33963711
-5.78389195,1.39620295,0.00273622,0.01396503,0.01350689,0.93162642,0.88809693,0.31442463
-5.77788894,1.29457255,0.00251419,0.01258642,0.01278040,0.86491168,0.82091696,0.29016397
-5.77188594,1.19652128,0.00230507,0.01127951,0.01202768,0.80049307,0.75666956,0.26694794
-5.76588294,1.10251533,0.00210768,0.01005066,0.01125670,0.73869111,0.69564993,0.24485864
-5.75987994,1.01298405,0.00192120,0.00890448,0.01047571,0.67980396,0.63811916,0.22396755
-5.75387694,0.92831513,0.00174506,0.00784382,0.00969295,0.62410377,0.58430297,0.20433536
-5.74787394,0.84884937,0.00157891,0.00686993,0.00891643,0.57183272,0.53438998,0.18601175
-5.74187094,0.77487513,0.00142256,0.00598255,0.00815375,0.52319883,0.48852986,0.16903492
-5.73586793,0.70662302,0.00127590,0.00518008,0.00741187,0.47837168,0.44683119,0.15343119
-5.72986493,0.64426082,0.00113888,0.00445982,0.00669701,0.43747854,0.40935949,0.13921442
-5.72386193,0.58788933,0.00101146,0.00381810,0.00601454,0.40060088,0.37613533,0.12638562
-5.71785893,0.53753897,0.00089360,0.00325053,0.00536886,0.36777155,0.34713284,0.11493260
-5.71185593,0.49316789,0.00078520,0.00275219,0.00476341,0.33897290,0.32227876,0.10482975
-5.70585293,0.45466129,0.00068608,0.00231780,0.00420066,0.31413595,0.30145219,0.09603817
-5.69984992,0.42183250,0.00059604,0.00194189,0.00368210,0.29314062,0.28448515,0.08850588
-5.69384692,0.39442570,0.00051479,0.00161898,0.00320836,0.27581734,0.27116414,0.08216849
-5.68784392,0.37212033,0.00044196,0.00134367,0.00277924,0.26194978,0.26123274,0.07695004
-5.68184092,0.35453721,0.00037713,0.00111080,0.00239383,0.25127894,0.25439525,0.07276427
-5.67583792,0.34124625,0.00031983,0.00091549,0.00205060,0.24350841,0.25032148,0.06951605
-5.66983492,0.33177563,0.00026956,0.00075322,0.00174753,0.23831069,0.24865255,0.06710322
-5.66383192,0.32562222,0.00022577,0.00061992,0.00148223,0.23533456,0.24900769,0.06541860
-5.65782891,0.32226302,0.00018792,0.00051196,0.00125202,0.23421322,0.25099189,0.06435221
-5.65182591,0.32116745,0.00015545,0.00042622,0.00105409,0.23457299,0.25420421,0.06379370
-5.64582291,0.32180996,0.00012781,0.00036007,0.00088556,0.23604249,0.25824652,0.06363479
-5.63981991,0.32368285,0.00010447,0.00031141,0.00074358,0.23826190,0.26273257,0.06377179
-5.63381691,0.32630886,0.00008494,0.00027867,0.00062542,0.24089209,0.26729690,0.06410810
-5.62781391,0.32925318,0.00006874,0.00026082,0.00052853,0.24362341,0.27160350,0.06455659
-5.62181091,0.33213451,0.00005544,0.00025736,0.00045059,0.24618379,0.27535382,0.06504177
-5.61580790,0.33463492,0.00004465,0.00026836,0.00038956,0.24834600,0.27829389,0.06550179
-5.60980490,0.33650808,0.00003603,0.00029443,0.00034370,0.24993368,0.28022027,0.06589011
-5.60380190,0.33758571,0.00002927,0.00033676,0.00031162,0.25082615,0.28098468,0.06617679
-5.59779890,0.33778192,0.00002411,0.00039710,0.00029229,0.25096157,0.28049695,0.06634942
-5.59179590,0.33709535,0.00002033,0.00047777,0.00028503,0.25033861,0.27872638,0.06641356
-5.58579290,0.33560895,0.00001776,0.00058167,0.00028954,0.24901630,0.27570128,0.06639278
-5.57978989,0.33348745,0.00001624,0.00071226,0.00030586,0.24711216,0.27150674,0.06632815
-5.57378689,0.33097233,0.00001567,0.00087350,0.00033443,0.24479867,0.26628078,0.06627732
-5.56778389,0.32837474,0.00001597,0.00106989,0.00037603,0.24229801,0.26020877,0.06631303
-5.56178089,0.32606617,0.00001708,0.00130634,0.00043177,0.23987540,0.25351663,0.06652128
-5.55577789,0.32446734,0.00001896,0.00158811,0.00050311,0.23783102,0.24646277,0.06699903
-5.54977489,0.32403551,0.00002161,0.00192074,0.00059181,0.23649085,0.23932917,0.06785153
-5.54377189,0.32525048,0.00002503,0.00230985,0.00069990,0.23619664,0.23241188,0.06918938
-5.53776888,0.32859972,0.00002922,0.00276107,0.00082971,0.23729525,0.22601119,0.07112533
-5.53176588,0.33456306,0.00003420,0.00327977,0.00098376,0.24012773,0.22042198,0.07377094
-5.52576288,0.34359721,0.00004001,0.00387093,0.00116479,0.24501842,0.21592425,0.07723314
-5.51975988,0.35612078,0.00004666,0.00453887,0.00137568,0.25226433,0.21277441,0.08161083
-5.51375688,0.37250005,0.00005416,0.00528704,0.00161942,0.26212522,0.21119748,0.08699162
