energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,2.94269088,0.52427843,1.49120825,0.00323765,0.11885781,1.03531562,0.38925601,0.00567442,1.03809805
-5.99399700,2.81539890,0.49351595,1.43320743,0.00289557,0.11209257,0.98777451,0.37418445,0.00543431,0.99048305
-5.98799400,2.68887360,0.46363100,1.37429760,0.00258651,0.10545558,0.94108381,0.35938758,0.00518673,0.94400786
-5.98199100,2.56376961,0.43473487,1.31489179,0.00230782,0.09898032,0.89547471,0.34491272,0.00493328,0.89883496
-5.97598799,2.44077709,0.40693352,1.25544221,0.00205691,0.09269979,0.85117239,0.33081350,0.00467560,0.85512216
-5.96998499,2.32061020,0.38032653,1.19643211,0.00183128,0.08664614,0.80839164,0.31714864,0.00441543,0.81302014
-5.96398199,2.20399346,0.35500586,1.13836640,0.00162859,0.08085016,0.76733205,0.30398034,0.00415456,0.77266945
-5.95797899,2.09164652,0.33105419,1.08176142,0.00144665,0.07534070,0.72817297,0.29137250,0.00389485,0.73419717
-5.95197599,1.98426830,0.30854313,1.02713418,0.00128348,0.07014415,0.69106861,0.27938877,0.00363816,0.69771357
-5.94597299,1.88252139,0.28753135,0.97499184,0.00113729,0.06528382,0.65614355,0.26809054,0.00338637,0.66330903
-5.93996998,1.78701730,0.26806277,0.92582157,0.00100646,0.06077941,0.62348901,0.25753508,0.00314134,0.63105140
-5.93396698,1.69830352,0.25016501,0.88008136,0.00088960,0.05664647,0.59316012,0.24777387,0.00290486,0.60098404
-5.92796398,1.61685279,0.23384812,0.83819203,0.00078544,0.05289602,0.56517439,0.23885114,0.00267861,0.57312480
-5.92196098,1.54305512,0.21910379,0.80053060,0.00069289,0.04953411,0.53951160,0.23080282,0.00246416,0.54746591
-5.91595798,1.47721264,0.20590513,0.76742514,0.00061099,0.04656174,0.51611506,0.22365575,0.00226290,0.52397493
-5.90995498,1.41953741,0.19420706,0.73915111,0.00053888,0.04397468,0.49489436,0.21742730,0.00207602,0.50259668
-5.90395198,1.37015201,0.18394725,0.71592904,0.00047580,0.04176365,0.47572932,0.21212538,0.00190451,0.48325607
-5.89794897,1.32909255,0.17504776,0.69792346,0.00042107,0.03991449,0.45847516,0.20774869,0.00174910,0.46586175
-5.89194597,1.29631370,0.16741720,0.68524267,0.00037405,0.03840860,0.44296852,0.20428736,0.00161025,0.45031027
-5.88594297,1.27169519,0.16095328,0.67793938,0.00033415,0.03722344,0.42903399,0.20172373,0.00148818,0.43649060
-5.87993997,1.25504915,0.15554579,0.67601165,0.00030082,0.03633315,0.41649098,0.20003336,0.00138283,0.42428875
-5.87393697,1.24612786,0.15107975,0.67940413,0.00027351,0.03570930,0.40516040,0.19918615,0.00129391,0.41359222
-5.86793397,1.24463123,0.14743856,0.68800935,0.00025171,0.03532166,0.39487101,0.19914744,0.00122084,0.40429397
-5.86193097,1.25021355,0.14450714,0.70166884,0.00023491,0.03513895,0.38546493,0.19987912,0.00116285,0.39629591
-5.85592796,1.26248933,0.14217469,0.72017414,0.00022258,0.03512965,0.37680220,0.20134064,0.00111895,0.38951134
