energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.14132845,0.40407751,0.34509230,0.00565363,0.01916272,0.01124208,0.75823736,0.17914586,0.07461979
-5.99399700,1.12746264,0.38984396,0.35315886,0.00554165,0.01840503,0.01075291,0.74735978,0.17218607,0.07287431
-5.98799400,1.11739825,0.37642217,0.36304904,0.00541324,0.01773284,0.01026339,0.73879227,0.16530398,0.07132564
-5.98199100,1.11121066,0.36391087,0.37473254,0.00526784,0.01715439,0.00977356,0.73259684,0.15851159,0.06998036
-5.97598799,1.10899459,0.35242568,0.38817861,0.00510547,0.01667798,0.00928374,0.72885249,0.15182756,0.06884815
-5.96998499,1.11086563,0.34210002,0.40335530,0.00492670,0.01631210,0.00879461,0.72765645,0.14527788,0.06794208
-5.96398199,1.11695995,0.33308546,0.42022794,0.00473271,0.01606545,0.00830725,0.72912417,0.13889636,0.06727874
-5.95797899,1.12743198,0.32555142,0.43875720,0.00452515,0.01594703,0.00782319,0.73338787,0.13272466,0.06687817
-5.95197599,1.14245013,0.31968396,0.45889655,0.00430618,0.01596612,0.00734439,0.74059354,0.12681216,0.06676359
-5.94597299,1.16219045,0.31568369,0.48058954,0.00407838,0.01613229,0.00687325,0.75089664,0.12121529,0.06696098
-5.93996998,1.18682879,0.31376285,0.50376686,0.00384467,0.01645528,0.00641254,0.76445645,0.11599665,0.06749836
-5.93396698,1.21653157,0.31414135,0.52834360,0.00360824,0.01694489,0.00596537,0.78142958,0.11122377,0.06840499
-5.92796398,1.25144583,0.31704217,0.55421686,0.00337245,0.01761073,0.00553511,0.80196273,0.10696763,0.06971039
-5.92196098,1.29168909,0.32268592,0.58126393,0.00314079,0.01846199,0.00512529,0.82618523,0.10330098,0.07144325
-5.91595798,1.33733940,0.33128494,0.60934138,0.00291673,0.01950710,0.00473955,0.85420164,0.10029654,0.07363031
-5.90995498,1.38842639,0.34303695,0.63828501,0.00270370,0.02075333,0.00438150,0.88608488,0.09802512,0.07629512
-5.90395198,1.44492353,0.35811857,0.66791106,0.00250500,0.02220640,0.00405468,0.92187002,0.09655372,0.07945693
-5.89794897,1.50674214,0.37667873,0.69801847,0.00232374,0.02387000,0.00376247,0.96154924,0.09594374,0.08312958
-5.89194597,1.57372726,0.39883234,0.72839229,0.00216275,0.02574536,0.00350802,1.00506796,0.09624922,0.08732047
-5.88594297,1.64565572,0.42465428,0.75880806,0.00202461,0.02783074,0.00329423,1.05232234,0.09751524,0.09202969
-5.87993997,1.72223621,0.45417394,0.78903712,0.00191154,0.03012109,0.00312366,1.10315823,0.09977652,0.09724933
-5.87393697,1.80311146,0.48737059,0.81885237,0.00182542,0.03260758,0.00299854,1.15737151,0.10305614,0.10296289
