energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,3.54135099,0.03220483,0.00000000,0.13549846,1.94063578,1.42253557,0.90001040
-5.99399700,3.44742443,0.03141321,0.00000000,0.13334650,1.88126260,1.39307319,0.87624178
-5.98799400,3.34937143,0.03062593,0.00000000,0.13077187,1.82041942,1.36154868,0.85117000
-5.98199100,3.24597353,0.02982067,0.00000000,0.12775190,1.75746542,1.32741629,0.82453542
-5.97598799,3.13633604,0.02897883,0.00000000,0.12427609,1.69192615,1.29025016,0.79615945
-5.96998499,3.01991197,0.02808586,0.00000000,0.12034687,1.62350625,1.24975962,0.76594961
-5.96398199,2.89651020,0.02713152,0.00000000,0.11597967,1.55209374,1.20579812,0.73390073
-5.95797899,2.76628820,0.02610983,0.00000000,0.11120247,1.47775622,1.15836563,0.70009228
-5.95197599,2.62973059,0.02501901,0.00000000,0.10605483,1.40072951,1.10760465,0.66468228
-5.94597299,2.48761516,0.02386115,0.00000000,0.10058643,1.32139983,1.05379035,0.62789816
-5.93996998,2.34096877,0.02264185,0.00000000,0.09485523,1.24028066,0.99731553,0.59002525
-5.93396698,2.19101577,0.02136967,0.00000000,0.08892541,1.15798581,0.93867151,0.55139350
-5.92796398,2.03912176,0.02005562,0.00000000,0.08286514,1.07520013,0.87842599,0.51236329
-5.92196098,1.88673564,0.01871245,0.00000000,0.07674424,0.99264938,0.81719917,0.47331085
-5.91595798,1.73533267,0.01735411,0.00000000,0.07063199,0.91107086,0.75563932,0.43461418
-5.90995498,1.58636106,0.01599506,0.00000000,0.06459506,0.83118592,0.69439907,0.39663993
-5.90395198,1.44119417,0.01464973,0.00000000,0.05869565,0.75367553,0.63411332,0.35973185
-5.89794897,1.30109012,0.01333203,0.00000000,0.05299002,0.67915979,0.57537993,0.32420113
-5.89194597,1.16715972,0.01205488,0.00000000,0.04752725,0.60818192,0.51874351,0.29031888
-5.88594297,1.04034365,0.01082986,0.00000000,0.04234847,0.54119704,0.46468320,0.25831096
-5.87993997,0.92139886,0.00966703,0.00000000,0.03748640,0.47856579,0.41360432,0.22835510
-5.87393697,0.81089392,0.00857474,0.00000000,0.03296527,0.42055264,0.36583418,0.20058025
-5.86793397,0.70921266,0.00755958,0.00000000,0.02880104,0.36732854,0.32162177,0.17506786
-5.86193097,0.61656518,0.00662647,0.00000000,0.02500191,0.31897721,0.28114104,0.15185501
-5.85592796,0.53300489,0.00577873,0.00000000,0.02156911,0.27550471,0.24449735,0.13093892
-5.84992496,0.45845047,0.00501832,0.00000000,0.01849774,0.23685137,0.21173651,0.11228250
-5.84392196,0.39271115,0.00434608,0.00000000,0.01577789,0.20290541,0.18285594,0.09582075
-5.83791896,0.33551423,0.00376197,0.00000000,0.01339569,0.17351775,0.15781725,0.08146750
-5.83191596,0.28653349,0.00326547,0.00000000,0.01133446,0.14851708,0.13655971,0.06912227
-5.82591296,0.24541738,0.00285584,0.00000000,0.00957580,0.12772485,0.11901414,0.05867704
-5.81990995,0.21181613,0.00253250,0.00000000,0.00810060,0.11096958,0.10511668,0.05002252
-5.81390695,0.18540694,0.00229531,0.00000000,0.00689006,0.09810018,0.09482198,0.04305402
-5.80790395,0.16591673,0.00214493,0.00000000,0.00592644,0.08899783,0.08811567,0.03767646
-5.80190095,0.15314191,0.00208306,0.00000000,0.00519387,0.08358630,0.08502550,0.03380875
