energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.86924947,0.41205341,1.22400676,0.00310708,0.27189308,1.25275722,1.00132986,0.01262411,0.29773940
-5.99399700,2.89106166,0.41835195,1.23286664,0.00328812,0.26538061,1.21133682,1.02041446,0.01298568,0.30313290
-5.98799400,2.90637220,0.42312973,1.23877313,0.00346896,0.25848991,1.16874595,1.03748298,0.01331654,0.30719683
-5.98199100,2.91465710,0.42618462,1.24150211,0.00364955,0.25123228,1.12515890,1.05228068,0.01360937,0.30983649
-5.97598799,2.91558426,0.42736831,1.24092735,0.00383038,0.24362124,1.08075225,1.06461447,0.01385828,0.31099141
-5.96998499,2.90902432,0.42659022,1.23702479,0.00401243,0.23567417,1.03570649,1.07435642,0.01405883,0.31063764
-5.96398199,2.89505503,0.42381958,1.22987366,0.00419723,0.22741381,0.99020798,1.08144500,0.01420811,0.30878890
-5.95797899,2.87395853,0.41908576,1.21965425,0.00438680,0.21886953,0.94445089,1.08588400,0.01430471,0.30549643
-5.95197599,2.84621168,0.41247654,1.20664229,0.00458361,0.21007820,0.89863855,1.08773907,0.01434862,0.30084768
-5.94597299,2.81246942,0.40413447,1.19119991,0.00479045,0.20108473,0.85298403,1.08713246,0.01434116,0.29496361
-5.93996998,2.77354207,0.39425149,1.17376366,0.00501039,0.19194199,0.80770974,1.08423581,0.01428478,0.28799497
-5.93396698,2.73036722,0.38306190,1.15482991,0.00524655,0.18271036,0.76304575,1.07926183,0.01418289,0.28011749
-5.92796398,2.68397763,0.37083400,1.13493815,0.00550204,0.17345672,0.71922708,1.07245494,0.01403967,0.27152627
-5.92196098,2.63546643,0.35786078,1.11465297,0.00577969,0.16425304,0.67648986,1.06408169,0.01385981,0.26242963
-5.91595798,2.58595113,0.34444986,1.09454535,0.00608194,0.15517461,0.63506669,1.05442109,0.01364831,0.25304253
-5.90995498,2.53653799,0.33091333,1.07517408,0.00641061,0.14629805,0.59518154,1.04375559,0.01341025,0.24358005
-5.90395198,2.48828817,0.31755764,1.05706805,0.00676677,0.13769916,0.55704430,1.03236285,0.01315060,0.23425093
-5.89794897,2.44218716,0.30467408,1.04071013,0.00715053,0.12945072,0.52084564,1.02050867,0.01287402,0.22525162
-5.89194597,2.39911829,0.29253008,1.02652320,0.00756099,0.12162039,0.48675221,1.00844129,0.01258472,0.21676101
-5.88594297,2.35984157,0.28136173,1.01485893,0.00799605,0.11426875,0.45490277,0.99638714,0.01228635,0.20893588
-5.87993997,2.32497819,0.27136770,1.00598965,0.00845242,0.10744768,0.42540521,0.98454801,0.01198194,0.20190743
-5.87393697,2.29500107,0.26270469,1.00010351,0.00892559,0.10119891,0.39833487,0.97309963,0.01167382,0.19577882
-5.86793397,2.27023161,0.25548465,0.99730311,0.00940987,0.09555310,0.37373405,0.96219141,0.01136366,0.19062376
-5.86193097,2.25084216,0.24977364,0.99760742,0.00989849,0.09052918,0.35161287,0.95194734,0.01105249,0.18648626
-5.85592796,2.23686404,0.24559241,1.00095690,0.01038374,0.08613418,0.33195125,0.94246761,0.01074077,0.18338135
