energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.10913025,0.00794686,0.14664037,0.54305409,1.16985756,0.05279966,0.86281979,0.65887462,0.33556586
-5.99399700,3.15842798,0.00805977,0.15178272,0.55722817,1.20456800,0.05273088,0.86617257,0.65127594,0.33586441
-5.98799400,3.20502972,0.00816243,0.15714208,0.57162109,1.23987061,0.05249729,0.86770607,0.64268947,0.33531233
-5.98199100,3.24828438,0.00825326,0.16267496,0.58606493,1.27541372,0.05210259,0.86731073,0.63313726,0.33387735
-5.97598799,3.28756698,0.00833124,0.16832880,0.60037897,1.31083016,0.05155217,0.86490768,0.62265110,0.33153809
-5.96998499,3.32230274,0.00839606,0.17404279,0.61437446,1.34574766,0.05085309,0.86045494,0.61127496,0.32828607
-5.96398199,3.35198724,0.00844823,0.17974885,0.62785915,1.37979829,0.05001397,0.85395191,0.59906650,0.32412720
-5.95797899,3.37620201,0.00848911,0.18537297,0.64064173,1.41262663,0.04904486,0.84544191,0.58609751,0.31908276
-5.95197599,3.39462499,0.00852092,0.19083669,0.65253604,1.44389646,0.04795707,0.83501250,0.57245338,0.31318960
-5.94597299,3.40703597,0.00854680,0.19605889,0.66336492,1.47329591,0.04676297,0.82279385,0.55823156,0.30649984
-5.93996998,3.41331707,0.00857063,0.20095774,0.67296388,1.50054119,0.04547574,0.80895509,0.54353921,0.29907976
-5.93396698,3.41344910,0.00859703,0.20545291,0.68118451,1.52537911,0.04410911,0.79369900,0.52849019,0.29100821
-5.92796398,3.40750445,0.00863117,0.20946783,0.68789751,1.54758857,0.04267707,0.77725543,0.51320168,0.28237450
-5.92196098,3.39563751,0.00867859,0.21293205,0.69299557,1.56698135,0.04119364,0.75987376,0.49779062,0.27327592
-5.91595798,3.37807375,0.00874507,0.21578363,0.69639591,1.58340263,0.03967255,0.74181493,0.48237032,0.26381498
-5.90995498,3.35509835,0.00883634,0.21797138,0.69804252,1.59673132,0.03812699,0.72334347,0.46704734,0.25409661
-5.90395198,3.32704525,0.00895794,0.21945686,0.69790790,1.60688059,0.03656942,0.70471992,0.45191898,0.24422536
-5.89794897,3.29428746,0.00911493,0.22021613,0.69599443,1.61379870,0.03501135,0.68619403,0.43707137,0.23430279
-5.89194597,3.25722890,0.00931172,0.22024107,0.69233509,1.61747012,0.03346321,0.66799905,0.42257839,0.22442515
-5.88594297,3.21629819,0.00955184,0.21954010,0.68699342,1.61791695,0.03193422,0.65034724,0.40850138,0.21468141
-5.87993997,3.17194417,0.00983775,0.21813847,0.68006279,1.61520044,0.03043241,0.63342674,0.39488958,0.20515176
-5.87393697,3.12463314,0.01017070,0.21607784,0.67166468,1.60942247,0.02896452,0.61739986,0.38178124,0.19590654
-5.86793397,3.07484713,0.01055057,0.21341516,0.66194611,1.60072652,0.02753613,0.60240256,0.36920531,0.18700570
-5.86193097,3.02308290,0.01097580,0.21022111,0.65107614,1.58929806,0.02615167,0.58854512,0.35718344,0.17849860
-5.85592796,2.96985097,0.01144331,0.20657779,0.63924150,1.57536386,0.02481458,0.57591373,0.34573227,0.17042430
-5.84992496,2.91567407,0.01194848,0.20257606,0.62664151,1.55919011,0.02352738,0.56457263,0.33486568,0.16281211
-5.84392196,2.86108464,0.01248521,0.19831249,0.61348244,1.54107907,0.02229190,0.55456681,0.32459693,0.15568242
-5.83791896,2.80662091,0.01304596,0.19388610,0.59997146,1.52136423,0.02110934,0.54592471,0.31494055,0.14904770
-5.83191596,2.75282136,0.01362192,0.18939507,0.58631063,1.50040396,0.01998050,0.53866087,0.30591381,0.14291353
-5.82591296,2.70021761,0.01420315,0.18493352,0.57269098,1.47857379,0.01890590,0.53277833,0.29753776,0.13727971
-5.81990995,2.64932584,0.01477883,0.18058860,0.55928706,1.45625754,0.01788588,0.52827051,0.28983780,0.13214124
-5.81390695,2.60063706,0.01533749,0.17643798,0.54625231,1.43383771,0.01692079,0.52512262,0.28284370,0.12748924
-5.80790395,2.55460667,0.01586734,0.17254779,0.53371527,1.41168545,0.01601104,0.52331249,0.27658924,0.12331170
-5.80190095,2.51164396,0.01635655,0.16897127,0.52177700,1.39015057,0.01515719,0.52281079,0.27111134,0.11959408
-5.79589795,2.47210190,0.01679363,0.16574794,0.51050969,1.36955209,0.01436002,0.52358088,0.26644886,0.11631972
-5.78989495,2.43626813,0.01716776,0.16290350,0.49995654,1.35016976,0.01362057,0.52557813,0.26264122,0.11347014
-5.78389195,2.40435728,0.01746910,0.16045025,0.49013288,1.33223696,0.01294015,0.52874913,0.25972663,0.11102512
-5.77788894,2.37650547,0.01768914,0.15838808,0.48102836,1.31593531,0.01232033,0.53303066,0.25774036,0.10896279
-5.77188594,2.35276698,0.01782095,0.15670591,0.47261017,1.30139117,0.01176294,0.53834880,0.25671282,0.10725955
-5.76588294,2.33311348,0.01785944,0.15538334,0.46482680,1.28867439,0.01126996,0.54461814,0.25666767,0.10589002
-5.75987994,2.31743585,0.01780152,0.15439256,0.45761246,1.27779910,0.01084352,0.55174142,0.25762000,0.10482699
-5.75387694,2.30554844,0.01764620,0.15370025,0.45089154,1.26872662,0.01048576,0.55960942,0.25957449,0.10404136
-5.74787394,2.29719571,0.01739465,0.15326944,0.44458302,1.26137040,0.01019872,0.56810152,0.26252381,0.10350222
-5.74187094,2.29206089,0.01705015,0.15306112,0.43860465,1.25560257,0.00998419,0.57708664,0.26644713,0.10317700
-5.73586793,2.28977633,0.01661801,0.15303566,0.43287651,1.25126198,0.00984360,0.58642488,0.27130885,0.10303166
-5.72986493,2.28993518,0.01610535,0.15315392,0.42732401,1.24816333,0.00977782,0.59596953,0.27705766,0.10303106
-5.72386193,2.29210395,0.01552091,0.15337798,0.42188014,1.24610686,0.00978698,0.60556964,0.28362590,0.10313939
-5.71785893,2.29583555,0.01487474,0.15367167,0.41648692,1.24488840,0.00987033,0.61507297,0.29092936,0.10332074
-5.71185593,2.30068239,0.01417789,0.15400078,0.41109621,1.24430920,0.01002606,0.62432913,0.29886760,0.10353968
