energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,1.98312130,0.62816670,0.66859626,0.00977395,0.04335549,0.03077112,1.26703828,0.38768597,0.14485357
-5.99399700,1.93275920,0.60809367,0.65947852,0.01011683,0.04027312,0.03008462,1.23586694,0.38292069,0.13827669
-5.98799400,1.88554691,0.59027193,0.65071847,0.01047235,0.03732221,0.02939595,1.20694532,0.37853197,0.13219070
-5.98199100,1.84124153,0.57450074,0.64227923,0.01083524,0.03451329,0.02870578,1.18005993,0.37438270,0.12655991
-5.97598799,1.79955975,0.56055229,0.63411930,0.01119962,0.03185458,0.02801437,1.15496982,0.37033445,0.12134404
-5.96998499,1.76018576,0.54817985,0.62619100,0.01155912,0.02935213,0.02732161,1.13141368,0.36625133,0.11650005
-5.96398199,1.72277832,0.53712545,0.61843870,0.01190700,0.02701008,0.02662705,1.10911625,0.36200351,0.11198390
-5.95797899,1.68697711,0.52712735,0.61079706,0.01223632,0.02483078,0.02592986,1.08779425,0.35747018,0.10775211
-5.95197599,1.65240911,0.51792691,0.60318978,0.01254007,0.02281504,0.02522893,1.06716191,0.35254212,0.10376308
-5.94597299,1.61869509,0.50927507,0.59552896,0.01281139,0.02096233,0.02452287,1.04693651,0.34712386,0.09997821
-5.93996998,1.58545665,0.50093831,0.58771538,0.01304369,0.01927100,0.02381009,1.02684389,0.34113528,0.09636287
-5.93396698,1.55232410,0.49270398,0.57963985,0.01323086,0.01773851,0.02308885,1.00662413,0.33451295,0.09288715
-5.92796398,1.51894514,0.48438519,0.57118565,0.01336740,0.01636162,0.02235741,0.98603752,0.32721100,0.08952641
-5.92196098,1.48499424,0.47582487,0.56223205,0.01344858,0.01513665,0.02161407,0.96487062,0.31920175,0.08626174
-5.91595798,1.45018258,0.46689931,0.55265870,0.01347058,0.01405965,0.02085738,0.94294227,0.31047588,0.08308012
-5.90995498,1.41426799,0.45752070,0.54235074,0.01343061,0.01312656,0.02008618,0.92010946,0.30104241,0.07997455
-5.90395198,1.37706449,0.44763886,0.53120434,0.01332699,0.01233344,0.01929980,0.89627257,0.29092835,0.07694391
-5.89794897,1.33845085,0.43724192,0.51913221,0.01315924,0.01167652,0.01849814,0.87137981,0.28017794,0.07399274
-5.89194597,1.29837742,0.42635600,0.50606890,0.01292809,0.01115230,0.01768177,0.84543037,0.26885174,0.07113078
-5.88594297,1.25687099,0.41504364,0.49197544,0.01263547,0.01075763,0.01685200,0.81847622,0.25702530,0.06837241
