energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,4.62492007,-4.61883416,0.10788780,-0.10786524,0.75612455,-0.75601447,0.25677728,-0.25624423,0.27455694,-0.27384063,0.81762536,-0.81710776,1.37406857,-1.37387841,0.05697836,-0.05684913,1.42991724,-1.42665269
-5.99399700,4.84031559,-4.83391480,0.10776630,-0.10774330,0.75072723,-0.75061455,0.27636207,-0.27580560,0.30045711,-0.29969928,0.82788113,-0.82733304,1.36773450,-1.36754533,0.06224048,-0.06210400,1.56184936,-1.55841241
-5.98799400,5.05993259,-5.05326487,0.10739353,-0.10737025,0.74319725,-0.74308268,0.29658390,-0.29600884,0.32743489,-0.32664027,0.83719659,-0.83662134,1.35754149,-1.35735532,0.06771644,-0.06757365,1.69962367,-1.69604072
-5.98199100,5.28216040,-5.27528419,0.10677785,-0.10675453,0.73371284,-0.73359731,0.31724181,-0.31665387,0.35525944,-0.35443397,0.84565000,-0.84505191,1.34369420,-1.34351343,0.07336139,-0.07321348,1.84205978,-1.83836290
-5.97598799,5.50510440,-5.49808826,0.10592886,-0.10590575,0.72248339,-0.72236803,0.33810509,-0.33751075,0.38365952,-0.38281028,0.85332552,-0.85270985,1.32643741,-1.32626478,0.07912232,-0.07897067,1.98776713,-1.98399382
-5.96998499,5.72659132,-5.71951318,0.10485679,-0.10483420,0.70974245,-0.70962859,0.35891640,-0.35832284,0.41232600,-0.41146112,0.86030706,-0.85968004,1.30604629,-1.30588486,0.08493841,-0.08478463,2.13515858,-2.13135134
-5.96398199,5.94418733,-5.93713337,0.10357198,-0.10355023,0.69574023,-0.69562941,0.37939617,-0.37881113,0.44091586,-0.44004446,0.86667244,-0.86604115,1.28281620,-1.28266930,0.09074176,-0.09058764,2.28247221,-2.27867795
-5.95797899,6.15522976,-6.14829282,0.10208438,-0.10206384,0.68073582,-0.68062974,0.39924819,-0.39867982,0.46905795,-0.46818995,0.87248813,-0.87186044,1.25705266,-1.25692383,0.09645839,-0.09630588,2.42780124,-2.42407035
-5.95197599,6.35687241,-6.35015020,0.10040323,-0.10038428,0.66498952,-0.66489001,0.41816615,-0.41762283,0.49636012,-0.49550606,0.87780499,-0.87718935,1.22906200,-1.22895489,0.10200965,-0.10186082,2.56913134,-2.56551676
-5.94597299,6.54614417,-6.53973698,0.09853676,-0.09851978,0.64875564,-0.64866463,0.43584115,-0.43533125,0.52241777,-0.52158857,0.88265510,-0.88206041,1.19914320,-1.19906148,0.10731383,-0.10717082,2.70438487,-2.70094081
-5.93996998,6.72001915,-6.71402745,0.09649212,-0.09647752,0.63227607,-0.63219552,0.45196975,-0.45150145,0.54682349,-0.54603022,0.88705004,-0.88648541,1.16758136,-1.16752858,0.11228806,-0.11215303,2.83147033,-2.82825103
-5.93396698,6.87549634,-6.87001819,0.09427546,-0.09426362,0.61577479,-0.61570666,0.46626244,-0.46584349,0.56917754,-0.56843114,0.89098059,-0.89045512,1.13464292,-1.13462244,0.11685041,-0.11672552,2.94833585,-2.94539414
-5.92796398,7.00968588,-7.00481420,0.09189214,-0.09188341,0.59945358,-0.59939972,0.47845210,-0.47808960,0.58909879,-0.58840975,0.89441782,-0.89394035,1.10057291,-1.10058772,0.12092211,-0.12080941,3.05302456,-3.05041040
-5.92196098,7.11989841,-7.11571834,0.08934705,-0.08934175,0.58348880,-0.58345094,0.48830222,-0.48800242,0.60623567,-0.60561379,0.89731552,-0.89689436,1.06559399,-1.06564662,0.12442981,-0.12433121,3.14372989,-3.14148899
-5.91595798,7.20373374,-7.20032006,0.08664509,-0.08664348,0.56802954,-0.56800919,0.49561450,-0.49538256,0.62027681,-0.61973086,0.89961368,-0.89925640,1.02990718,-1.02999961,0.12730779,-0.12722499,3.21884870,-3.21702113
-5.90995498,7.25916472,-7.25657960,0.08379166,-0.08379395,0.55319673,-0.55319517,0.50023547,-0.50007535,0.63096084,-0.63049834,0.90124290,-0.90095605,0.99369406,-0.99382759,0.12950003,-0.12943449,3.27702997,-3.27564893
-5.90395198,7.28461270,-7.28290363,0.08079320,-0.08079954,0.53908347,-0.53910165,0.50206195,-0.50197624,0.63808495,-0.63771193,0.90212930,-0.90191824,0.95711988,-0.95729507,0.13096212,-0.13091500,3.31721706,-3.31630783
-5.89794897,7.27901058,-7.27820887,0.07765770,-0.07766815,0.52575607,-0.52579463,0.50104505,-0.50103490,0.64151196,-0.64123277,0.90219972,-0.90206844,0.92033732,-0.92055396,0.13166277,-0.13163490,3.33868185,-3.33826095
-5.89194597,7.24185079,-7.24197041,0.07439515,-0.07440970,0.51325600,-0.51331521,0.49719250,-0.49725757,0.64117539,-0.64099256,0.90138693,-0.90133794,0.88349047,-0.88374756,0.13158506,-0.13157687,3.34104911,-3.34112369
