energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.14855094,-3.71033692,0.00517094,-0.03143629,0.24055191,-0.31073074,1.05258281,-0.78120732,0.32075698,-0.35435168,0.27216970,-0.55063333,0.16118114,-0.24172774,0.03611212,-0.08994541,0.88914183,-1.84357794
-5.99399700,2.22626630,-3.57082603,0.00577576,-0.02952217,0.25092597,-0.30288245,1.11486726,-0.76001849,0.33081760,-0.34144688,0.28353616,-0.53007712,0.16968899,-0.23442848,0.03599492,-0.08528536,0.92025567,-1.76952294
-5.98799400,2.31132480,-3.42609435,0.00648266,-0.02765016,0.26144542,-0.29372622,1.18150511,-0.73731304,0.34102747,-0.32784999,0.29602344,-0.50915958,0.17935960,-0.22643071,0.03596674,-0.08058790,0.95565149,-1.69404038
-5.98199100,2.40366560,-3.27628820,0.00729492,-0.02582029,0.27212869,-0.28333181,1.25256096,-0.71294774,0.35139706,-0.31360696,0.30967715,-0.48783988,0.19018687,-0.21778407,0.03601360,-0.07586649,0.99528069,-1.61712068
-5.97598799,2.50332233,-3.12187289,0.00821528,-0.02403449,0.28301261,-0.27180300,1.32811657,-0.68687533,0.36196260,-0.29879451,0.32454994,-0.46612421,0.20216198,-0.20855988,0.03612585,-0.07113856,1.03911887,-1.53890279
-5.96998499,2.61039984,-2.96362051,0.00924562,-0.02229642,0.29414980,-0.25927406,1.40826003,-0.65914370,0.37278233,-0.28351801,0.34069773,-0.44406718,0.21527109,-0.19884954,0.03629803,-0.06642531,1.08715582,-1.45967215
-5.96398199,2.72504316,-2.80258522,0.01038674,-0.02061116,0.30560511,-0.24590524,1.49307198,-0.62989193,0.38393129,-0.26790836,0.35817512,-0.42177082,0.22949254,-0.18876214,0.03652850,-0.06175111,1.13938274,-1.37985212
-5.95797899,2.84740058,-2.64006754,0.01163796,-0.01898497,0.31745106,-0.23187766,1.58260943,-0.59934346,0.39549511,-0.25211785,0.37703059,-0.39938129,0.24479376,-0.17842145,0.03681890,-0.05714283,1.19577740,-1.29998947
-5.95197599,2.97758290,-2.47756959,0.01299690,-0.01742486,0.32976274,-0.21738771,1.67688809,-0.56779695,0.40756292,-0.23631539,0.39730135,-0.37708358,0.26112795,-0.16796234,0.03717329,-0.05262902,1.25628827,-1.22073488
-5.94597299,3.11562156,-2.31674382,0.01445919,-0.01593825,0.34261216,-0.20264143,1.77586417,-0.53561514,0.42021992,-0.22068124,0.41900854,-0.35509450,0.27843096,-0.15752688,0.03759737,-0.04823905,1.32081868,-1.14281941
