energy_ev,total_up,As_p_up,As_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,5.18984411,1.39830116,0.00000000,3.26494672,2.84469371,0.01338123,1.28977963
-5.99399700,5.22532505,1.42797898,0.00000000,3.30553025,2.86912585,0.01380909,1.27092702
-5.98799400,5.26072182,1.45922096,0.00000000,3.35116080,2.89341654,0.01419667,1.25003221
-5.98199100,5.29789759,1.49236822,0.00000000,3.40268597,2.91865904,0.01454105,1.22772142
-5.97598799,5.33861841,1.52770701,0.00000000,3.46081783,2.94589026,0.01483998,1.20463013
-5.96998499,5.38447838,1.56545048,0.00000000,3.52608940,2.97604860,0.01509182,1.18138238
-5.96398199,5.43683237,1.60572337,0.00000000,3.59881741,3.00993639,0.01529552,1.15857105
-5.95797899,5.49673943,1.64855048,0.00000000,3.67907322,3.04818825,0.01545054,1.13673991
-5.95197599,5.56491931,1.69384956,0.00000000,3.76666364,3.09124703,0.01555683,1.11636820
-5.94597299,5.64172394,1.74142909,0.00000000,3.86112268,3.13934796,0.01561471,1.09785798
-5.93996998,5.72712462,1.79099100,0.00000000,3.96171459,3.19251181,0.01562486,1.08152498
-5.93396698,5.82071511,1.84213814,0.00000000,4.06744803,3.25054662,0.01558822,1.06759282
-5.92796398,5.92172958,1.89438611,0.00000000,4.17710055,3.31305786,0.01550598,1.05619073
-5.92196098,6.02907394,1.94717864,0.00000000,4.28925186,3.37946585,0.01537950,1.04735468
-5.91595798,6.14136832,1.99990573,0.00000000,4.40232425,3.44902928,0.01521032,1.04103151
-5.90995498,6.25699798,2.05192344,0.00000000,4.51462783,3.52087337,0.01500015,1.03708584
-5.90395198,6.37416985,2.10257428,0.00000000,4.62440826,3.59402097,0.01475081,1.03530900
-5.89794897,6.49097156,2.15120721,0.00000000,4.72989494,3.66742504,0.01446430,1.03542981
-5.89194597,6.60543041,2.19719622,0.00000000,4.82934705,3.74000091,0.01414276,1.03712639
-5.88594297,6.71556953,2.23995666,0.00000000,4.92109597,3.81065707,0.01378851,1.04003855
-5.87993997,6.81945953,2.27895889,0.00000000,5.00358238,3.87832335,0.01340401,1.04378042
-5.87393697,6.91526378,2.31373859,0.00000000,5.07538698,3.94197565,0.01299194,1.04795272
-5.86793397,7.00127677,2.34390391,0.00000000,5.13525451,4.00065693,0.01255512,1.05215440
-5.86193097,7.07595501,2.36913929,0.00000000,5.18211070,4.05349411,0.01209652,1.05599343
