energy_ev,total_up,Nb_p_up,Nb_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,4.32737880,1.53595605,1.38696390,0.01181386,0.55815166,2.01993356,0.00000000
-5.99399700,4.50461621,1.63056158,1.45653970,0.01312876,0.60742680,2.08114342,0.00000000
-5.98799400,4.68050329,1.72483316,1.52588820,0.01449713,0.65713825,2.14184642,0.00000000
-5.98199100,4.85197654,1.81724825,1.59399326,0.01590604,0.70662448,2.20080257,0.00000000
-5.97598799,5.01590743,1.90624685,1.65980338,0.01734087,0.75518346,2.25675541,0.00000000
-5.96998499,5.16920876,1.99028145,1.72226308,0.01878551,0.80209001,2.30848041,0.00000000
-5.96398199,5.30894216,2.06786893,1.78034550,0.02022283,0.84661531,2.35483283,0.00000000
-5.95797899,5.43242224,2.13764237,1.83308517,0.02163505,0.88804772,2.39479266,0.00000000
-5.95197599,5.53731237,2.19840033,1.87960918,0.02300424,0.92571411,2.42750440,0.00000000
-5.94597299,5.62170794,2.24915117,1.91916585,0.02431286,0.95900086,2.45231004,0.00000000
-5.93996998,5.68420310,2.28915050,1.95114925,0.02554425,0.98737346,2.46877332,0.00000000
-5.93396698,5.72393796,2.31792964,1.97511876,0.02668316,1.01039403,2.47669449,0.00000000
-5.92796398,5.74062404,2.33531394,1.99081263,0.02771616,1.02773567,2.47611449,0.00000000
-5.92196098,5.73454691,2.34142975,1.99815499,0.02863207,1.03919328,2.46730878,0.00000000
-5.91595798,5.70654593,2.33669980,1.99725596,0.02942224,1.04469006,2.45077098,0.00000000
-5.90995498,5.65797240,2.32182706,1.98840495,0.03008074,1.04427963,2.42718726,0.00000000
-5.90395198,5.59062815,2.29776792,1.97205751,0.03060450,1.03814355,2.39740292,0.00000000
-5.89794897,5.50668795,2.26569587,1.94881637,0.03099320,1.02658448,2.36238279,0.00000000
-5.89194597,5.40860965,2.22695744,1.91940776,0.03124923,1.01001541,2.32316768,0.00000000
-5.88594297,5.29903659,2.18302254,1.88465414,0.03137738,0.98894544,2.28082892,0.00000000
-5.87993997,5.18069728,2.13543155,1.84544488,0.03138457,0.96396306,2.23642344,0.00000000
-5.87393697,5.05630715,2.08574153,1.80270623,0.03127946,0.93571762,2.19095151,0.00000000
-5.86793397,4.92847727,2.03547419,1.75737226,0.03107205,0.90490003,2.14531927,0.00000000
-5.86193097,4.79963394,1.98606777,1.71035798,0.03077323,0.87222372,2.10030766,0.00000000
