energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.64106344,0.00367988,0.45981759,0.79560489,0.69539236,1.43012595,0.00000000,0.98217431,0.30898242
-5.99399700,2.63719652,0.00368986,0.46109344,0.80388911,0.69023413,1.42837576,0.00000000,0.98263023,0.30921441
-5.98799400,2.62645377,0.00374824,0.46041657,0.80967948,0.68383538,1.42294079,0.00000000,0.98008924,0.30898322
-5.98199100,2.60865425,0.00385439,0.45779280,0.81277003,0.67616337,1.41370289,0.00000000,0.97447628,0.30827389
-5.97598799,2.58377175,0.00400705,0.45326499,0.81302469,0.66721974,1.40061806,0.00000000,0.96577402,0.30708090
-5.96998499,2.55194459,0.00420440,0.44691211,0.81038488,0.65704253,1.38372458,0.00000000,0.95402893,0.30540936
-5.96398199,2.51347927,0.00444397,0.43884701,0.80487433,0.64570671,1.36314799,0.00000000,0.93935526,0.30327552
-5.95797899,2.46884783,0.00472272,0.42921314,0.79660088,0.63332330,1.33910282,0.00000000,0.92193636,0.30070695
-5.95197599,2.41867890,0.00503700,0.41818011,0.78575518,0.62003710,1.31189087,0.00000000,0.90202355,0.29774208
-5.94597299,2.36374311,0.00538260,0.40593868,0.77260630,0.60602307,1.28189613,0.00000000,0.87993231,0.29442940
-5.93996998,2.30493366,0.00575477,0.39269505,0.75749457,0.59148172,1.24957670,0.00000000,0.85603614,0.29082624
-5.93396698,2.24324300,0.00614826,0.37866504,0.74082202,0.57663362,1.21545420,0.00000000,0.83075837,0.28699728
-5.92796398,2.17973701,0.00655743,0.36406820,0.72304070,0.56171343,1.18010119,0.00000000,0.80456230,0.28301296
-5.92196098,2.11552768,0.00697631,0.34912224,0.70463968,0.54696359,1.14412717,0.00000000,0.77794015,0.27894780
-5.91595798,2.05174578,0.00739874,0.33403794,0.68613097,0.53262806,1.10816401,0.00000000,0.75140128,0.27487876
-5.90995498,1.98951431,0.00781850,0.31901474,0.66803517,0.51894638,1.07285124,0.00000000,0.72546025,0.27088380
-5.90395198,1.92992378,0.00822945,0.30423708,0.65086713,0.50614810,1.03882170,0.00000000,0.70062488,0.26704051
-5.89794897,1.87400993,0.00862567,0.28987166,0.63512222,0.49444788,1.00668812,0.00000000,0.67738507,0.26342502
-5.89194597,1.82273419,0.00900167,0.27606549,0.62126338,0.48404120,0.97703077,0.00000000,0.65620220,0.26011103
-5.88594297,1.77696717,0.00935248,0.26294484,0.60970951,0.47510091,0.95038643,0.00000000,0.63749963,0.25716901
-5.87993997,1.73747496,0.00967383,0.25061489,0.60082508,0.46777440,0.92723864,0.00000000,0.62165428,0.25466549
-5.87393697,1.70490823,0.00996222,0.23916009,0.59491129,0.46218145,0.90800931,0.00000000,0.60898926,0.25266226
-5.86793397,1.67979359,0.01021504,0.22864496,0.59219886,0.45841280,0.89305147,0.00000000,0.59976770,0.25121569
-5.86193097,1.66252710,0.01043058,0.21911535,0.59284230,0.45652912,0.88264320,0.00000000,0.59418763,0.25037576
-5.85592796,1.65336951,0.01060805,0.21059989,0.59691590,0.45656059,0.87698249,0.00000000,0.59237793,0.25018501
-5.84992496,1.65244303,0.01074755,0.20311166,0.60441135,0.45850685,0.87618312,0.00000000,0.59439533,0.25067739
-5.84392196,1.65972965,0.01084999,0.19664983,0.61523695,0.46233745,0.88027149,0.00000000,0.60022252,0.25187680
-5.83791896,1.67507094,0.01091697,0.19120136,0.62921856,0.46799264,0.88918457,0.00000000,0.60976737,0.25379577
-5.83191596,1.69816963,0.01095066,0.18674255,0.64610236,0.47538471,0.90276907,0.00000000,0.62286344,0.25643390
-5.82591296,1.72859322,0.01095363,0.18324061,0.66555928,0.48439965,0.92078215,0.00000000,0.63927184,0.25977661
-5.81990995,1.76577995,0.01092869,0.18065506,0.68719135,0.49489948,0.94289384,0.00000000,0.65868471,0.26379404
-5.81390695,1.80904757,0.01087873,0.17893909,0.71054000,0.50672498,0.96869150,0.00000000,0.68073026,0.26844031
-5.80790395,1.85760515,0.01080655,0.17804092,0.73509603,0.51969897,0.99768657,0.00000000,0.70497964,0.27365333
-5.80190095,1.91056807,0.01071476,0.17790503,0.76031149,0.53363005,1.02932363,0.00000000,0.73095562,0.27935520
-5.79589795,1.96697630,0.01060561,0.17847341,0.78561307,0.54831676,1.06299196,0.00000000,0.75814298,0.28545328
-5.78989495,2.02581571,0.01048098,0.17968685,0.81041683,0.56355202,1.09803932,0.00000000,0.78600048,0.29184201
-5.78389195,2.08604185,0.01034232,0.18148610,0.83414386,0.57912770,1.13378785,0.00000000,0.81397419,0.29840545
-5.77788894,2.14660569,0.01019065,0.18381303,0.85623644,0.59483911,1.16955146,0.00000000,0.84151169,0.30502041
-5.77188594,2.20648033,0.01002661,0.18661167,0.87617424,0.61048935,1.20465427,0.00000000,0.86807678,0.31156022
-5.76588294,2.26468758,0.00985053,0.18982908,0.89348975,0.62589311,1.23844934,0.00000000,0.89316400,0.31789883
-5.75987994,2.32032338,0.00966251,0.19341609,0.90778257,0.64087991,1.27033683,0.00000000,0.91631247,0.32391512
-5.75387694,2.37258072,0.00946255,0.19732768,0.91873181,0.65529655,1.29978085,0.00000000,0.93711835,0.32949726
-5.74787394,2.42076907,0.00925068,0.20152313,0.92610602,0.66900865,1.32632411,0.00000000,0.95524539,0.33454672
-5.74187094,2.46432928,0.00902707,0.20596583,0.92977024,0.68190129,1.34959959,0.00000000,0.97043295,0.33898199
-5.73586793,2.50284314,0.00879211,0.21062276,0.92968960,0.69387872,1.36933882,0.00000000,0.98250120,0.34274148
-5.72986493,2.53603730,0.00854654,0.21546359,0.92592953,0.70486316,1.38537598,0.00000000,0.99135310,0.34578571
-5.72386193,2.56378104,0.00829149,0.22045957,0.91865217,0.71479301,1.39764794,0.00000000,0.99697320,0.34809845
-5.71785893,2.58607849,0.00802851,0.22558213,0.90810927,0.72362039,1.40618999,0.00000000,0.99942319,0.34968695
-5.71185593,2.60305536,0.00775959,0.23080138,0.89463173,0.73130854,1.41112764,0.00000000,0.99883454,0.35058096
-5.70585293,2.61494128,0.00748710,0.23608459,0.87861637,0.73782905,1.41266483,0.00000000,0.99539861,0.35083083
-5.69984992,2.62204861,0.00721375,0.24139466,0.86051015,0.74315938,1.41106928,0.00000000,0.98935473,0.35050469
-5.69384692,2.62474900,0.00694248,0.24668887,0.84079294,0.74728074,1.40665578,0.00000000,0.98097697,0.34968478
-5.68784392,2.62344898,0.00667638,0.25191786,0.81995928,0.75017657,1.39976826,0.00000000,0.97056032,0.34846324
-5.68184092,2.61856590,0.00641854,0.25702505,0.79850002,0.75183187,1.39076166,0.00000000,0.95840690,0.34693752
-5.67583792,2.61050556,0.00617199,0.26194654,0.77688469,0.75223317,1.37998458,0.00000000,0.94481300,0.34520558
-5.66983492,2.59964254,0.00593950,0.26661145,0.75554529,0.75136945,1.36776344,0.00000000,0.93005758,0.34336126
-5.66383192,2.58630428,0.00572354,0.27094290,0.73486224,0.74923380,1.35438921,0.00000000,0.91439268,0.34148990
-5.65782891,2.57075953,0.00552617,0.27485949,0.71515297,0.74582564,1.34010693,0.00000000,0.89803627,0.33966448
-5.65182591,2.55321176,0.00534901,0.27827725,0.69666373,0.74115348,1.32510888,0.00000000,0.88116758,0.33794252
-5.64582291,2.53379743,0.00519315,0.28111203,0.67956473,0.73523800,1.30953133,0.00000000,0.86392527,0.33636375
-5.63981991,2.51258934,0.00505920,0.28328221,0.66394897,0.72811508,1.29345506,0.00000000,0.84640812,0.33494873
-5.63381691,2.48960455,0.00494731,0.28471165,0.64983447,0.71983889,1.27690943,0.00000000,0.82867816,0.33369844
-5.62781391,2.46481630,0.00485723,0.28533263,0.63716996,0.71048452,1.25987973,0.00000000,0.81076599,0.33259491
-5.62181091,2.43816939,0.00478837,0.28508887,0.62584349,0.70015026,1.24231728,0.00000000,0.79267763,0.33160264
-5.61580790,2.40959810,0.00473995,0.28393822,0.61569360,0.68895932,1.22415176,0.00000000,0.77440273,0.33067103
-5.60980490,2.37904572,0.00471109,0.28185522,0.60652255,0.67706094,1.20530492,0.00000000,0.75592334,0.32973746
-5.60380190,2.34648482,0.00470094,0.27883307,0.59811086,0.66463088,1.18570523,0.00000000,0.73722290,0.32873091
-5.59779890,2.31193732,0.00470880,0.27488522,0.59023248,0.65187129,1.16530247,0.00000000,0.71829489,0.32757611
-5.59179590,2.27549344,0.00473428,0.27004634,0.58267005,0.63901008,1.14408167,0.00000000,0.69915064,0.32619778
-5.58579290,2.23732856,0.00477734,0.26437268,0.57522934,0.62629980,1.12207571,0.00000000,0.67982599,0.32452500
-5.57978989,2.19771743,0.00483843,0.25794183,0.56775241,0.61401601,1.09937593,0.00000000,0.66038642,0.32249536
-5.57378689,2.15704481,0.00491848,0.25085176,0.56012884,0.60245537,1.07614032,0.00000000,0.64093037,0.32005882
-5.56778389,2.11581205,0.00501895,0.24321931,0.55230445,0.59193333,1.05259871,0.00000000,0.62159076,0.31718100
-5.56178089,2.07463903,0.00514180,0.23517807,0.54428729,0.58278147,1.02905478,0.00000000,0.60253440,0.31384587
-5.55577789,2.03426123,0.00528941,0.22687571,0.53615053,0.57534439,1.00588464,0.00000000,0.58395949,0.31005759
-5.54977489,1.99552148,0.00546448,0.21847089,0.52803205,0.56997618,0.98353188,0.00000000,0.56609124,0.30584157
-5.54377189,1.95935650,0.00566989,0.21012967,0.52013091,0.56703626,0.96249912,0.00000000,0.54917572,0.30124447
-5.53776888,1.92677824,0.00590852,0.20202176,0.51270062,0.56688453,0.94333628,0.00000000,0.53347227,0.29633338
-5.53176588,1.89885021,0.00618307,0.19431639,0.50603965,0.56987571,0.92662579,0.00000000,0.51924467,0.29119394
-5.52576288,1.87665939,0.00649579,0.18717815,0.50047936,0.57635286,0.91296523,0.00000000,0.50675137,0.28592771
-5.51975988,1.86128433,0.00684832,0.18076277,0.49637005,0.58663988,0.90294777,0.00000000,0.49623536,0.28064861
-5.51375688,1.85376026,0.00724141,0.17521298,0.49406547,0.60103320,0.89714122,0.00000000,0.48791373,0.27547885
-5.50775388,1.85504236,0.00767475,0.17065456,0.49390667,0.61979269,0.89606621,0.00000000,0.48196777,0.27054427
-5.50175088,1.86596844,0.00814679,0.16719272,0.49620556,0.64313196,0.90017442,0.00000000,0.47853366,0.26596941
-5.49574787,1.88722235,0.00865460,0.16490882,0.50122917,0.67120847,0.90982765,0.00000000,0.47769439,0.26187246
-5.48974487,1.91929976,0.00919376,0.16385772,0.50918515,0.70411371,0.92527852,0.00000000,0.47947326,0.25836038
-5.48374187,1.96247774,0.00975839,0.16406570,0.52020907,0.74186404,0.94665380,0.00000000,0.48382931,0.25552430
-5.47773887,2.01678982,0.01034113,0.16552914,0.53435437,0.78439265,0.97394103,0.00000000,0.49065494,0.25343549
-5.47173587,2.08200795,0.01093328,0.16821401,0.55158515,0.83154333,1.00697928,0.00000000,0.49977603,0.25214208
-5.46573287,2.15763264,0.01152496,0.17205629,0.57177245,0.88306646,1.04545463,0.00000000,0.51095461,0.25166665
-5.45972986,2.24289235,0.01210535,0.17696324,0.59469414,0.93861786,1.08890091,0.00000000,0.52389415,0.25200492
