energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,7.05300608,0.00908404,1.28672448,1.10452223,0.54886325,2.11015027,2.16346053,0.05851034,2.05465849
-5.99399700,7.18638716,0.00892131,1.30422057,1.13579896,0.56661014,2.16611062,2.19047096,0.05811268,2.10553781
-5.98799400,7.29621080,0.00874091,1.31779022,1.16301142,0.58199572,2.21662225,2.21079814,0.05756932,2.14910801
-5.98199100,7.38131258,0.00854785,1.32746479,1.18592217,0.59471144,2.26136923,2.22448006,0.05686811,2.18470915
-5.97598799,7.44105526,0.00834771,1.33335066,1.20437368,0.60450575,2.30016512,2.23167547,0.05600514,2.21186246
-5.96998499,7.47531470,0.00814644,1.33561931,1.21829036,0.61119042,2.33294794,2.23264817,0.05498419,2.23027639
-5.96398199,7.48445419,0.00795012,1.33449652,1.22767811,0.61464511,2.35977160,2.22775054,0.05381605,2.23984750
-5.95797899,7.46928881,0.00776480,1.33025124,1.23262133,0.61481994,2.38079402,2.21740702,0.05251763,2.24065612
-5.95197599,7.43104138,0.00759630,1.32318483,1.23327769,0.61173609,2.39626278,2.20209877,0.05111094,2.23295699
-5.94597299,7.37129230,0.00745004,1.31362110,1.22987054,0.60548422,2.40649873,2.18235003,0.04962209,2.21716534
-5.93996998,7.29192529,0.00733092,1.30189772,1.22267966,0.59622093,2.41187860,2.15871705,0.04808010,2.19383870
-5.93396698,7.19507140,0.00724318,1.28835944,1.21203039,0.58416329,2.41281751,2.13177998,0.04651587,2.16365555
-5.92796398,7.08305343,0.00719038,1.27335328,1.19828192,0.56958171,2.40975220,2.10213793,0.04496103,2.12739123
-5.92196098,6.95833274,0.00717524,1.25722592,1.18181499,0.55279143,2.40312603,2.07040728,0.04344700,2.08589241
-5.91595798,6.82346004,0.00719974,1.24032318,1.16301974,0.53414302,2.39337638,2.03722281,0.04200402,2.04005093
-5.90995498,6.68103152,0.00726500,1.22299146,1.14228412,0.51401211,2.38092518,2.00324123,0.04066037,1.99077803
-5.90395198,6.53365077,0.00737140,1.20558059,1.11998339,0.49278888,2.36617275,1.96914620,0.03944166,1.93897989
-5.89794897,6.38389685,0.00751854,1.18844783,1.09647103,0.47086767,2.34949521,1.93565403,0.03837025,1.88553530
-5.89194597,6.23429790,0.00770534,1.17196204,1.07207147,0.44863689,2.33124511,1.90351870,0.03746485,1.83127608
-5.88594297,6.08730940,0.00793007,1.15650759,1.04707477,0.42646984,2.31175482,1.87353518,0.03674015,1.77697073
-5.87993997,5.94529570,0.00819045,1.14248702,1.02173328,0.40471631,2.29134201,1.84653976,0.03620667,1.72331161
-5.87393697,5.81051297,0.00848365,1.13032180,0.99626024,0.38369550,2.27031602,1.82340630,0.03587059,1.67090563
-5.86793397,5.68509206,0.00880644,1.12045055,0.97083026,0.36369020,2.24898441,1.80503754,0.03573379,1.62026843
-5.86193097,5.57101910,0.00915515,1.11332402,0.94558115,0.34494227,2.22765825,1.79235070,0.03579388,1.57182163
-5.85592796,5.47011271,0.00952582,1.10939675,0.92061705,0.32764959,2.20665531,1.78625718,0.03604431,1.52589293
-5.84992496,5.38399651,0.00991415,1.10911511,0.89601232,0.31196423,2.18630022,1.78763640,0.03647460,1.48271838
-5.84392196,5.31406668,0.01031560,1.11290189,0.87181581,0.29799200,2.16692109,1.79730441,0.03707052,1.44244644
-5.83791896,5.26145464,0.01072542,1.12113804,0.84805524,0.28579300,2.14884212,1.81597808,0.03781440,1.40514334
-5.83191596,5.22698616,0.01113864,1.13414214,0.82474132,0.27538329,2.13237250,1.84423659,0.03868545,1.37079918
-5.82591296,5.21113853,0.01155014,1.15214857,0.80187144,0.26673739,2.11779201,1.88248175,0.03966013,1.33933463
-5.81990995,5.21399846,0.01195469,1.17528579,0.77943269,0.25979158,2.10533414,1.93089951,0.04071257,1.31060780
-5.81390695,5.23522374,0.01234697,1.20355575,0.75740432,0.25444775,2.09516802,1.98942480,0.04181509,1.28442128
-5.80790395,5.27401224,0.01272165,1.23681611,0.73575947,0.25057782,2.08738041,2.05771229,0.04293864,1.26052932
-5.80190095,5.32908160,0.01307346,1.27476658,0.71446656,0.24802853,2.08195956,2.13511520,0.04405348,1.23864513
-5.79589795,5.39866323,0.01339726,1.31694068,0.69349014,0.24662653,2.07878231,2.22067443,0.04512973,1.21844849
-5.78989495,5.48051336,0.01368814,1.36270396,0.67279184,0.24618365,2.07760612,2.31311962,0.04613807,1.19959385
-5.78389195,5.57194353,0.01394154,1.41125967,0.65233115,0.24650227,2.07806710,2.41088338,0.04705037,1.18171895
-5.77788894,5.66987162,0.01415335,1.46166214,0.63206668,0.24738075,2.07968525,2.51212943,0.04784041,1.16445409
-5.77188594,5.77089367,0.01432001,1.51283812,0.61195766,0.24861875,2.08187721,2.61479430,0.04848448,1.14743207
-5.76588294,5.87137532,0.01443867,1.56361556,0.59196601,0.25002231,2.08397683,2.71664201,0.04896203,1.13029881
-5.75987994,5.96756069,0.01450724,1.61275913,0.57205898,0.25140880,2.08526291,2.81533004,0.04925617,1.11272421
-5.75387694,6.05569498,0.01452453,1.65901117,0.55221214,0.25261140,2.08499344,2.90848432,0.04935410,1.09441339
-5.74787394,6.13215661,0.01449025,1.70113667,0.53241292,0.25348312,2.08244491,2.99378054,0.04924745,1.07511759
-5.74187094,6.19359321,0.01440514,1.73797018,0.51266418,0.25390036,2.07695491,3.06902834,0.04893246,1.05464459
-5.73586793,6.23705608,0.01427089,1.76846287,0.49298793,0.25376574,2.06796627,3.13225490,0.04841002,1.03286808
-5.72986493,6.26012681,0.01409020,1.79172742,0.47342873,0.25301036,2.05507033,3.18178427,0.04768561,1.00973568
-5.72386193,6.26103040,0.01386666,1.80707885,0.45405664,0.25159525,2.03804746,3.21630874,0.04676904,0.98527505
-5.71785893,6.23872950,0.01360472,1.81406914,0.43496949,0.24951216,2.01690251,3.23494911,0.04567414,0.95959797
-5.71185593,6.19299509,0.01330958,1.81251424,0.41629420,0.24678354,1.99189339,3.23730083,0.04441829,0.93290189
-5.70585293,6.12445020,0.01298702,1.80251191,0.39818716,0.24346187,1.96355121,3.22346406,0.04302193,0.90546902
-5.69984992,6.03458403,0.01264329,1.78444951,0.38083330,0.23962828,1.93269058,3.19405579,0.04150793,0.87766278
-5.69384692,5.92573564,0.01228491,1.75900139,0.36444408,0.23539056,1.90040938,3.15020360,0.03990108,0.84992169
-5.68784392,5.80104715,0.01191857,1.72711565,0.34925423,0.23088069,1.86807738,3.09352099,0.03822744,0.82275087
-5.68184092,5.66438821,0.01155086,1.68999088,0.33551743,0.22625180,1.83731395,3.02606517,0.03651385,0.79671137
-5.67583792,5.52025406,0.01118823,1.64904357,0.32350089,0.22167487,1.80995509,2.95027888,0.03478743,0.77240765
-5.66983492,5.37364103,0.01083674,1.60586752,0.31347921,0.21733511,1.78801071,2.86891845,0.03307514,0.75047367
-5.66383192,5.22990377,0.01050198,1.56218661,0.30572751,0.21342806,1.77361328,2.78497081,0.03140351,0.73155776
-5.65782891,5.09459909,0.01018893,1.51980275,0.30051414,0.21015573,1.76895930,2.70156234,0.02979838,0.71630694
-5.65182591,4.97332178,0.00990186,1.48054072,0.29809325,0.20772246,1.77624522,2.62186304,0.02828471,0.70535101
-5.64582291,4.87153768,0.00964428,1.44619186,0.29869737,0.20633099,1.79759984,2.54898898,0.02688655,0.69928676
-5.63981991,4.79441945,0.00941886,1.41845842,0.30253018,0.20617839,1.83501495,2.48590664,0.02562696,0.69866279
