energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.42099540,0.35252121,0.57079512,0.01826730,0.45298548,0.07016206,0.55857359
-5.99399700,2.53265369,0.37092299,0.59916355,0.01944824,0.47105591,0.07363047,0.58890909
-5.98799400,2.65810653,0.39182879,0.63046594,0.02071666,0.49172322,0.07748887,0.62254328
-5.98199100,2.79474588,0.41491307,0.66410571,0.02205850,0.51450027,0.08166696,0.65888068
-5.97598799,2.93986914,0.43983246,0.69946496,0.02345917,0.53888676,0.08609121,0.69729609
-5.96998499,3.09073638,0.46623231,0.73591758,0.02490379,0.56437966,0.09068632,0.73714797
-5.96398199,3.24462606,0.49375298,0.77284203,0.02637746,0.59048307,0.09537664,0.77779209
-5.95797899,3.39888813,0.52203606,0.80963332,0.02786537,0.61671715,0.10008749,0.81859507
-5.95197599,3.55099286,0.55073016,0.84571391,0.02935297,0.64262604,0.10474642,0.85894767
-5.94597299,3.69857463,0.57949632,0.88054340,0.03082607,0.66778445,0.10928418,0.89827729
-5.93996998,3.83946948,0.60801299,0.91362655,0.03227091,0.69180301,0.11363562,0.93605943
-5.93396698,3.97174564,0.63598044,0.94451969,0.03367417,0.71433224,0.11774037,0.97182771
-5.92796398,4.09372691,0.66312459,0.97283541,0.03502303,0.73506512,0.12154330,1.00518226
-5.92196098,4.20400836,0.68920026,0.99824554,0.03630510,0.75373859,0.12499488,1.03579600
-5.91595798,4.30146475,0.71399379,1.02048248,0.03750849,0.77013385,0.12805135,1.06341892
-5.90995498,4.38525204,0.73732503,1.03933920,0.03862176,0.78407588,0.13067474,1.08787991
-5.90395198,4.45480256,0.75904869,1.05466795,0.03963401,0.79543230,0.13283285,1.10908636
-5.89794897,4.50981472,0.77905504,1.06637811,0.04053484,0.80411187,0.13449917,1.12702133
-5.89194597,4.55023824,0.79726998,1.07443327,0.04131454,0.81006276,0.13565278,1.14173860
-5.88594297,4.57625578,0.81365454,1.07884802,0.04196414,0.81327088,0.13627820,1.15335562
-5.87993997,4.58826205,0.82820359,1.07968443,0.04247560,0.81375838,0.13636537,1.16204473
-5.87393697,4.58684110,0.84094416,1.07704859,0.04284198,0.81158229,0.13590965,1.16802293
-5.86793397,4.57274282,0.85193292,1.07108730,0.04305767,0.80683357,0.13491177,1.17154065
-5.86193097,4.54685892,0.86125329,1.06198478,0.04311859,0.79963617,0.13337798,1.17286979
-5.85592796,4.51019916,0.86901190,1.04995974,0.04302240,0.79014632,0.13132008,1.17229170
-5.84992496,4.46386798,0.87533466,1.03526241,0.04276872,0.77855162,0.12875559,1.17008541
-5.84392196,4.40904167,0.88036243,1.01817162,0.04235927,0.76506993,0.12570773,1.16651661
-5.83791896,4.34694635,0.88424645,0.99899175,0.04179804,0.74994770,0.12220546,1.16182782
-5.83191596,4.27883663,0.88714369,0.97804940,0.04109129,0.73345773,0.11828338,1.15623013
-5.82591296,4.20597509,0.88921219,0.95568970,0.04024763,0.71589599,0.11398148,1.14989684
-5.81990995,4.12961258,0.89060662,0.93227215,0.03927791,0.69757762,0.10934481,1.14295927
-5.81390695,4.05096944,0.89147418,0.90816583,0.03819515,0.67883188,0.10442288,1.13550476
-5.80790395,3.97121786,0.89195101,0.88374427,0.03701432,0.65999622,0.09926901,1.12757709
-5.80190095,3.89146542,0.89215926,0.85937965,0.03575210,0.64140956,0.09393949,1.11917913
-5.79589795,3.81274029,0.89220482,0.83543681,0.03442663,0.62340491,0.08849258,1.11027756
-5.78989495,3.73597824,0.89217591,0.81226697,0.03305715,0.60630165,0.08298747,1.10080946
-5.78389195,3.66201175,0.89214238,0.79020148,0.03166367,0.59039777,0.07748314,1.09069029
