energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.14207022,0.02291250,0.08311893,0.54402271,0.57429883,0.05358071,0.54986114,0.45623828,0.48905065
-5.99399700,2.13730443,0.02432894,0.08482571,0.54718311,0.56959617,0.05079142,0.54856803,0.46330677,0.48907859
-5.98799400,2.13456984,0.02594531,0.08650479,0.55019459,0.56565933,0.04791215,0.54772813,0.47049617,0.48979541
-5.98199100,2.13466501,0.02775495,0.08817974,0.55324320,0.56276293,0.04498862,0.54754828,0.47792536,0.49133556
-5.97598799,2.13825021,0.02974714,0.08987004,0.55649682,0.56112804,0.04206425,0.54820138,0.48569206,0.49380703
-5.96998499,2.14580224,0.03190655,0.09158925,0.56009282,0.56091087,0.03917907,0.54981488,0.49386265,0.49728049
-5.96398199,2.15757674,0.03421283,0.09334352,0.56412716,0.56219400,0.03636877,0.55246115,0.50246330,0.50178036
-5.95797899,2.17358058,0.03664039,0.09513034,0.56864555,0.56498050,0.03366396,0.55615030,0.51147305,0.50727787
-5.95197599,2.19355580,0.03915837,0.09693785,0.57363733,0.56919151,0.03108973,0.56082592,0.52081925,0.51368692
-5.94597299,2.21697638,0.04173092,0.09874457,0.57903231,0.57466732,0.02866538,0.56636396,0.53037573,0.52086285
-5.93996998,2.24305829,0.04431767,0.10051967,0.58470097,0.58117211,0.02640441,0.57257502,0.53996388,0.52860431
-5.93396698,2.27078269,0.04687447,0.10222383,0.59045790,0.58840215,0.02431469,0.57920999,0.54935679,0.53665819
-5.92796398,2.29893127,0.04935438,0.10381050,0.59606860,0.59599709,0.02239886,0.58596871,0.55828610,0.54472752
-5.92196098,2.32613228,0.05170882,0.10522770,0.60125895,0.60355401,0.02065481,0.59251143,0.56645151,0.55248184
-5.91595798,2.35091492,0.05388899,0.10642009,0.60572726,0.61064346,0.01907639,0.59847245,0.57353230,0.55956958
-5.90995498,2.37176963,0.05584725,0.10733135,0.60915792,0.61682685,0.01765407,0.60347522,0.57920035,0.56563203
-5.90395198,2.38721124,0.05753870,0.10790666,0.61123621,0.62167426,0.01637578,0.60714831,0.58313410,0.57031784
-5.89794897,2.39584186,0.05892261,0.10809521,0.61166319,0.62478207,0.01522761,0.60914130,0.58503250,0.57329768
-5.89194597,2.39641036,0.05996385,0.10785250,0.61017025,0.62578929,0.01419462,0.60913988,0.58462846,0.57427809
-5.88594297,2.38786569,0.06063410,0.10714250,0.60653211,0.62439207,0.01326152,0.60687941,0.58170099,0.57301393
-5.87993997,2.36940130,0.06091285,0.10593940,0.60057805,0.62035568,0.01241328,0.60215628,0.57608541,0.56931873
-5.87393697,2.34048871,0.06078821,0.10422888,0.59220046,0.61352330,0.01163568,0.59483650,0.56768118,0.56307257
-5.86793397,2.30089882,0.06025725,0.10200898,0.58136049,0.60382149,0.01091570,0.58486124,0.55645698,0.55422697
-5.86193097,2.25070996,0.05932617,0.09929034,0.56809056,0.59126203,0.01024187,0.57224901,0.54245277,0.54280677
-5.85592796,2.19030296,0.05801004,0.09609597,0.55249358,0.57594010,0.00960444,0.55709444,0.52577890,0.52890879
-5.84992496,2.12034348,0.05633227,0.09246047,0.53473908,0.55802919,0.00899549,0.53956402,0.50661227,0.51269758
-5.84392196,2.04175308,0.05432376,0.08842884,0.51505652,0.53777285,0.00840894,0.51988875,0.48518989,0.49439842
-5.83791896,1.95567079,0.05202180,0.08405485,0.49372620,0.51547396,0.00784047,0.49835452,0.46180023,0.47428805
-5.83191596,1.86340721,0.04946879,0.07939918,0.47106829,0.49148211,0.00728737,0.47529051,0.43677278,0.45268361
-5.82591296,1.76639382,0.04671086,0.07452733,0.44743057,0.46617964,0.00674837,0.45105637,0.41046651,0.42993050
-5.81990995,1.66612995,0.04379633,0.06950743,0.42317562,0.43996714,0.00622337,0.42602880,0.38325768,0.40638956
-5.81390695,1.56412998,0.04077426,0.06440809,0.39866797,0.41324916,0.00571327,0.40058817,0.35552771,0.38242440
-5.80790395,1.46187327,0.03769305,0.05929640,0.37426189,0.38642063,0.00521966,0.37510583,0.32765154,0.35838933
-5.80190095,1.36075875,0.03459912,0.05423599,0.35029034,0.35985460,0.00474464,0.34993263,0.29998705,0.33461849
-5.79589795,1.26206610,0.03153580,0.04928554,0.32705548,0.33389183,0.00429056,0.32538909,0.27286593,0.31141646
-5.78989495,1.16692459,0.02854241,0.04449741,0.30482121,0.30883247,0.00385989,0.30175753,0.24658620,0.28905079
-5.78389195,1.07629054,0.02565355,0.03991675,0.28380767,0.28493009,0.00345506,0.27927642,0.22140670,0.26774662
-5.77788894,0.99093358,0.02289865,0.03558091,0.26418812,0.26238810,0.00307832,0.25813699,0.19754345,0.24768338
-5.77188594,0.91143165,0.02030175,0.03151911,0.24608793,0.24135851,0.00273174,0.23848202,0.17516806,0.22899363
-5.76588294,0.83817416,0.01788148,0.02775261,0.22958568,0.22194295,0.00241711,0.22040684,0.15440788,0.21176386
-5.75987994,0.77137242,0.01565130,0.02429495,0.21471605,0.20419559,0.00213602,0.20396207,0.13534777,0.19603703
-5.75387694,0.71107623,0.01361979,0.02115260,0.20147436,0.18812772,0.00188982,0.18915802,0.11803328,0.18181660
-5.74787394,0.65719521,0.01179122,0.01832568,0.18982229,0.17371365,0.00167975,0.17597029,0.10247489,0.16907166
-5.74187094,0.60952366,0.01016613,0.01580885,0.17969452,0.16089753,0.00150700,0.16434622,0.08865301,0.15774297
-5.73586793,0.56776743,0.00874198,0.01359232,0.17100590,0.14960071,0.00137280,0.15421197,0.07652344,0.14774934
-5.72986493,0.53157143,0.00751388,0.01166279,0.16365878,0.13972935,0.00127852,0.14547959,0.06602313,0.13899421
-5.72386193,0.50054673,0.00647524,0.01000448,0.15755021,0.13118186,0.00122581,0.13805412,0.05707572,0.13137211
-5.71785893,0.47429605,0.00561846,0.00860004,0.15257878,0.12385610,0.00121668,0.13184016,0.04959687,0.12477460
-5.71185593,0.45243687,0.00493552,0.00743137,0.14865069,0.11765580,0.00125359,0.12674783,0.04349916,0.11909571
-5.70585293,0.43462145,0.00441850,0.00648042,0.14568508,0.11249641,0.00133955,0.12269791,0.03869636,0.11423652
-5.69984992,0.42055330,0.00406006,0.00572975,0.14361830,0.10830997,0.00147814,0.11962604,0.03510698,0.11010885
-5.69384692,0.40999994,0.00385378,0.00516309,0.14240712,0.10504904,0.00167362,0.11748589,0.03265718,0.10663810
-5.68784392,0.40280168,0.00379439,0.00476567,0.14203085,0.10268969,0.00193088,0.11625130,0.03128290,0.10376500
-5.68184092,0.39887654,0.00387798,0.00452451,0.14249227,0.10123349,0.00225546,0.11591740,0.03093126,0.10144654
-5.67583792,0.39822158,0.00410202,0.00442857,0.14381755,0.10070856,0.00265349,0.11650074,0.03156132,0.09965601
-5.66983492,0.40091078,0.00446539,0.00446878,0.14605505,0.10116967,0.00313165,0.11803849,0.03314424,0.09838219
-5.66383192,0.40708983,0.00496825,0.00463803,0.14927332,0.10269751,0.00369701,0.12058688,0.03566288,0.09762796
-5.65782891,0.41696828,0.00561186,0.00493107,0.15355818,0.10539717,0.00435694,0.12421893,0.03911095,0.09740826
-5.65182591,0.43080946,0.00639840,0.00534439,0.15900919,0.10939580,0.00511893,0.12902151,0.04349185,0.09774769
-5.64582291,0.44891846,0.00733063,0.00587595,0.16573551,0.11483960,0.00599037,0.13509206,0.04881707,0.09867773
-5.63981991,0.47162880,0.00841161,0.00652506,0.17385144,0.12189019,0.00697834,0.14253484,0.05510452,0.10023383
-5.63381691,0.49928803,0.00964432,0.00729208,0.18347163,0.13072033,0.00808938,0.15145703,0.06237663,0.10245244
-5.62781391,0.53224269,0.01103129,0.00817819,0.19470620,0.14150911,0.00932918,0.16196461,0.07065827,0.10536803
-5.62181091,0.57082298,0.01257423,0.00918516,0.20765586,0.15443662,0.01070235,0.17415823,0.07997470,0.10901031
-5.61580790,0.61532745,0.01427361,0.01031506,0.22240710,0.16967824,0.01221208,0.18812911,0.09034942,0.11340166
-5.60980490,0.66600800,0.01612833,0.01157002,0.23902766,0.18739849,0.01385987,0.20395499,0.10180196,0.11855485
