energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.26491598,0.00960837,0.10652471,1.06905139,1.23456054,0.92249205,0.00000000,0.56872110,0.17472283
-5.99399700,2.30841991,0.00955842,0.10580589,1.06175135,1.29475167,0.91618617,0.00000000,0.56178283,0.17432391
-5.98799400,2.35715957,0.00953304,0.10525218,1.05889893,1.35908832,0.91068509,0.00000000,0.55523243,0.17377781
-5.98199100,2.41018127,0.00952431,0.10479688,1.05996503,1.42693910,0.90576311,0.00000000,0.54889546,0.17303212
-5.97598799,2.46644646,0.00952389,0.10437505,1.06435079,1.49758031,0.90119984,0.00000000,0.54260109,0.17203991
-5.96998499,2.52486223,0.00952337,0.10392608,1.07140805,1.57020933,0.89679117,0.00000000,0.53619066,0.17076237
-5.96398199,2.58431023,0.00951462,0.10339592,1.08045889,1.64395950,0.89235764,0.00000000,0.52952445,0.16917082
-5.95797899,2.64367363,0.00949015,0.10273885,1.09081383,1.71791658,0.88775025,0.00000000,0.52248687,0.16724829
-5.95197599,2.70186170,0.00944338,0.10191884,1.10178860,1.79113650,0.88285339,0.00000000,0.51498968,0.16499033
-5.94597299,2.75783195,0.00936887,0.10091038,1.11271930,1.86266429,0.87758552,0.00000000,0.50697355,0.16240530
-5.93996998,2.81060988,0.00926256,0.09969897,1.12297596,1.93155378,0.87189758,0.00000000,0.49840798,0.15951396
-5.93396698,2.85930626,0.00912180,0.09828104,1.13197462,1.99688788,0.86576986,0.00000000,0.48928976,0.15634859
-5.92796398,2.90313237,0.00894545,0.09666370,1.13918782,2.05779895,0.85920765,0.00000000,0.47964052,0.15295166
-5.92196098,2.94141306,0.00873389,0.09486394,1.14415383,2.11348871,0.85223642,0.00000000,0.46950329,0.14937414
-5.91595798,2.97359793,0.00848886,0.09290783,1.14648436,2.16324733,0.84489686,0.00000000,0.45893876,0.14567351
-5.90995498,2.99927043,0.00821341,0.09082932,1.14587099,2.20647087,0.83724038,0.00000000,0.44802129,0.14191180
-5.90395198,3.01815510,0.00791166,0.08866905,1.14209014,2.24267665,0.82932528,0.00000000,0.43683504,0.13815348
-5.89794897,3.03012258,0.00758865,0.08647306,1.13500647,2.27151598,0.82121405,0.00000000,0.42547038,0.13446350
-5.89194597,3.03519231,0.00725002,0.08429153,1.12457475,2.29278352,0.81297163,0.00000000,0.41402084,0.13090550
-5.88594297,3.03353269,0.00690185,0.08217746,1.11083993,2.30642314,0.80466499,0.00000000,0.40258060,0.12754030
-5.87993997,3.02545857,0.00655036,0.08018557,1.09393541,2.31252973,0.79636359,0.00000000,0.39124262,0.12442457
-5.87393697,3.01142572,0.00620167,0.07837122,1.07407955,2.31134687,0.78814074,0.00000000,0.38009753,0.12160993
-5.86793397,2.99202244,0.00586167,0.07678946,1.05157022,2.30326040,0.78007558,0.00000000,0.36923304,0.11914234
-5.86193097,2.96795805,0.00553576,0.07549426,1.02677777,2.28878794,0.77225533,0.00000000,0.35873403,0.11706181
-5.85592796,2.94004867,0.00522878,0.07453780,1.00013643,2.26856477,0.76477753,0.00000000,0.34868320,0.11540241
-5.84992496,2.90920037,0.00494488,0.07397001,0.97213441,2.24332640,0.75775208,0.00000000,0.33916206,0.11419258
-5.84392196,2.87639017,0.00468756,0.07383812,0.94330316,2.21388867,0.75130278,0.00000000,0.33025242,0.11345564
-5.83791896,2.84264548,0.00445960,0.07418637,0.91420606,2.18112575,0.74556817,0.00000000,0.32203807,0.11321056
-5.83191596,2.80902253,0.00426319,0.07505584,0.88542702,2.14594713,0.74070177,0.00000000,0.31460669,0.11347283
-5.82591296,2.77658456,0.00409999,0.07648432,0.85755936,2.10927421,0.73687138,0.00000000,0.30805184,0.11425546
-5.81990995,2.74638046,0.00397135,0.07850620,0.83119537,2.07201737,0.73425786,0.00000000,0.30247501,0.11557005
-5.81390695,2.71942465,0.00387840,0.08115248,0.80691690,2.03505426,0.73305315,0.00000000,0.29798745,0.11742788
-5.80790395,2.69667875,0.00382232,0.08445070,0.78528709,1.99921007,0.73345790,0.00000000,0.29471193,0.11984096
-5.80190095,2.67903573,0.00380457,0.08842492,0.76684355,1.96524028,0.73567881,0.00000000,0.29278410,0.12282305
-5.79589795,2.66730677,0.00382705,0.09309557,0.75209286,1.93381642,0.73992579,0.00000000,0.29235340,0.12639052
-5.78989495,2.66221127,0.00389240,0.09847939,0.74150631,1.90551519,0.74640911,0.00000000,0.29358339,0.13056310
-5.78389195,2.66436986,0.00400416,0.10458908,0.73551680,1.88081090,0.75533664,0.00000000,0.29665134,0.13536442
-5.77788894,2.67430049,0.00416701,0.11143305,0.73451644,1.86007153,0.76691123,0.00000000,0.30174698,0.14082228
-5.77188594,2.69241695,0.00438686,0.11901495,0.73885467,1.84355798,0.78132816,0.00000000,0.30907022,0.14696869
-5.76588294,2.71902959,0.00467101,0.12733309,0.74883646,1.83142630,0.79877264,0.00000000,0.31882787,0.15383950
-5.75987994,2.75434751,0.00502821,0.13637974,0.76472016,1.82373257,0.81941717,0.00000000,0.33122910,0.16147378
-5.75387694,2.79848135,0.00546866,0.14614037,0.78671481,1.82043968,0.84341865,0.00000000,0.34647988,0.16991265
-5.74787394,2.85144624,0.00600394,0.15659272,0.81497656,1.82142565,0.87091496,0.00000000,0.36477621,0.17919789
-5.74187094,2.91316381,0.00664690,0.16770584,0.84960402,1.82649278,0.90202094,0.00000000,0.38629632,0.18936999
-5.73586793,2.98346300,0.00741145,0.17943910,0.89063256,1.83537709,0.93682354,0.00000000,0.41119210,0.20046588
-5.72986493,3.06207894,0.00831231,0.19174124,0.93802766,1.84775738,0.97537604,0.00000000,0.43957986,0.21251631
-5.72386193,3.14864989,0.00936458,0.20454941,0.99167741,1.86326378,1.01769142,0.00000000,0.47153079,0.22554291
-5.71785893,3.24271199,0.01058343,0.21778850,1.05138466,1.88148512,1.06373491,0.00000000,0.50706149,0.23955514
-5.71185593,3.34369240,0.01198347,0.23137054,1.11685923,1.90197522,1.11341596,0.00000000,0.54612498,0.25454702
-5.70585293,3.45090117,0.01357832,0.24519447,1.18771064,1.92425793,1.16657998,0.00000000,0.58860261,0.27049412
-5.69984992,3.56352278,0.01537989,0.25914629,1.26344223,1.94783113,1.22300026,0.00000000,0.63429738,0.28735054
-5.69384692,3.68060839,0.01739783,0.27309953,1.34344698,1.97216990,1.28237069,0.00000000,0.68292908,0.30504648
-5.68784392,3.80106997,0.01963882,0.28691629,1.42700598,1.99672927,1.34429979,0.00000000,0.73413166,0.32348627
-5.68184092,3.92367761,0.02210594,0.30044874,1.51328982,2.02094701,1.40830675,0.00000000,0.78745326,0.34254711
-5.67583792,4.04706123,0.02479802,0.31354115,1.60136369,2.04424694,1.47382010,0.00000000,0.84235914,0.36207878
-5.66983492,4.16971784,0.02770913,0.32603239,1.69019618,2.06604320,1.54017946,0.00000000,0.89823757,0.38190434
-5.66383192,4.29002524,0.03082805,0.33775899,1.77867222,2.08574596,1.60664098,0.00000000,0.95440900,0.40182185
-5.65782891,4.40626264,0.03413793,0.34855846,1.86561000,2.10276875,1.67238660,0.00000000,1.01013812,0.42160737
-5.65182591,4.51663854,0.03761607,0.35827302,1.94978167,2.11653770,1.73653724,0.00000000,1.06464879,0.44101904
-5.64582291,4.61932534,0.04123385,0.36675350,2.02993739,2.12650254,1.79816990,0.00000000,1.11714135,0.45980220
-5.63981991,4.71250018,0.04495686,0.37386324,2.10483205,2.13214920,1.85633810,0.00000000,1.16681184,0.47769551
-5.63381691,4.79439047,0.04874522,0.37948194,2.17325390,2.13301357,1.91009527,0.00000000,1.21287251,0.49443781
-5.62781391,4.86332272,0.05255415,0.38350924,2.23405412,2.12869589,1.95852013,0.00000000,1.25457285,0.50977541
-5.62181091,4.91777251,0.05633467,0.38586791,2.28617625,2.11887496,2.00074315,0.00000000,1.29122036,0.52346976
-5.61580790,4.95641330,0.06003457,0.38650640,2.32868429,2.10332144,2.03597292,0.00000000,1.32220027,0.53530481
-5.60980490,4.97816181,0.06359950,0.38540085,2.36078853,2.08190934,2.06352134,0.00000000,1.34699339,0.54509411
-5.60380190,4.98221766,0.06697430,0.38255621,2.38186782,2.05462491,2.08282631,0.00000000,1.36519131,0.55268702
-5.59779890,4.96809494,0.07010429,0.37800659,2.39148757,2.02157217,2.09347097,0.00000000,1.37650835,0.55797393
-5.59179590,4.93564408,0.07293678,0.37181469,2.38941244,1.98297451,2.09519841,0.00000000,1.38078968,0.56089008
-5.58579290,4.88506258,0.07542253,0.36407044,2.37561340,1.93917202,2.08792113,0.00000000,1.37801534,0.56141781
