energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.91121378,-1.91121378,1.10943948,-1.10943948,0.41173785,-0.41173785,0.46894789,-0.46894789,0.00903912,-0.00903912,0.81579999,-0.81579999,0.00000000,-0.00000000
-5.99399700,1.90552447,-1.90552448,1.12026312,-1.12026312,0.40957671,-0.40957671,0.44771495,-0.44771495,0.00929085,-0.00929085,0.83621791,-0.83621791,0.00000000,-0.00000000
-5.98799400,1.90030135,-1.90030135,1.13001197,-1.13001197,0.40778888,-0.40778888,0.42649285,-0.42649285,0.00953800,-0.00953800,0.85667612,-0.85667612,0.00000000,-0.00000000
-5.98199100,1.89537561,-1.89537561,1.13852541,-1.13852541,0.40632699,-0.40632699,0.40551894,-0.40551894,0.00977689,-0.00977689,0.87681092,-0.87681092,0.00000000,-0.00000000
-5.97598799,1.89048147,-1.89048147,1.14561397,-1.14561397,0.40511907,-0.40511907,0.38499292,-0.38499292,0.01000356,-0.01000356,0.89623431,-0.89623431,0.00000000,-0.00000000
-5.96998499,1.88527101,-1.88527101,1.15106577,-1.15106577,0.40407300,-0.40407300,0.36507428,-0.36507429,0.01021389,-0.01021389,0.91454622,-0.91454622,0.00000000,-0.00000000
-5.96398199,1.87933497,-1.87933497,1.15465586,-1.15465586,0.40308223,-0.40308223,0.34588180,-0.34588180,0.01040375,-0.01040375,0.93134872,-0.93134872,0.00000000,-0.00000000
-5.95797899,1.87222834,-1.87222834,1.15615800,-1.15615800,0.40203257,-0.40203257,0.32749487,-0.32749488,0.01056910,-0.01056910,0.94626154,-0.94626154,0.00000000,-0.00000000
-5.95197599,1.86349917,-1.86349917,1.15535803,-1.15535803,0.40080944,-0.40080944,0.30995665,-0.30995665,0.01070617,-0.01070617,0.95893804,-0.95893804,0.00000000,-0.00000000
-5.94597299,1.85271888,-1.85271888,1.15206820,-1.15206820,0.39930535,-0.39930535,0.29327849,-0.29327849,0.01081161,-0.01081161,0.96908091,-0.96908091,0.00000000,-0.00000000
-5.93996998,1.83951209,-1.83951209,1.14614129,-1.14614129,0.39742699,-0.39742699,0.27744554,-0.27744554,0.01088267,-0.01088267,0.97645639,-0.97645639,0.00000000,-0.00000000
-5.93396698,1.82358410,-1.82358410,1.13748364,-1.13748365,0.39510157,-0.39510157,0.26242302,-0.26242302,0.01091731,-0.01091731,0.98090639,-0.98090639,0.00000000,-0.00000000
-5.92796398,1.80474421,-1.80474421,1.12606620,-1.12606620,0.39228202,-0.39228202,0.24816280,-0.24816280,0.01091436,-0.01091436,0.98235746,-0.98235746,0.00000000,-0.00000000
-5.92196098,1.78292330,-1.78292330,1.11193251,-1.11193252,0.38895065,-0.38895065,0.23460998,-0.23460998,0.01087357,-0.01087357,0.98082610,-0.98082610,0.00000000,-0.00000000
-5.91595798,1.75818456,-1.75818456,1.09520328,-1.09520328,0.38512101,-0.38512101,0.22170903,-0.22170903,0.01079569,-0.01079569,0.97641977,-0.97641977,0.00000000,-0.00000000
-5.90995498,1.73072640,-1.73072641,1.07607672,-1.07607672,0.38083796,-0.38083796,0.20940930,-0.20940930,0.01068249,-0.01068249,0.96933353,-0.96933353,0.00000000,-0.00000000
-5.90395198,1.70087754,-1.70087755,1.05482476,-1.05482476,0.37617575,-0.37617575,0.19766964,-0.19766964,0.01053667,-0.01053667,0.95984212,-0.95984212,0.00000000,-0.00000000
-5.89794897,1.66908421,-1.66908421,1.03178501,-1.03178501,0.37123432,-0.37123432,0.18646193,-0.18646193,0.01036185,-0.01036185,0.94828798,-0.94828798,0.00000000,-0.00000000
-5.89194597,1.63589035,-1.63589035,1.00734886,-1.00734886,0.36613399,-0.36613399,0.17577351,-0.17577352,0.01016239,-0.01016239,0.93506561,-0.93506562,0.00000000,-0.00000000
-5.88594297,1.60191196,-1.60191196,0.98194642,-0.98194642,0.36100888,-0.36100888,0.16560842,-0.16560842,0.00994326,-0.00994326,0.92060315,-0.92060315,0.00000000,-0.00000000
-5.87993997,1.56780705,-1.56780705,0.95602895,-0.95602895,0.35599946,-0.35599946,0.15598752,-0.15598752,0.00970986,-0.00970986,0.90534201,-0.90534201,0.00000000,-0.00000000
-5.87393697,1.53424302,-1.53424302,0.93004991,-0.93004991,0.35124463,-0.35124463,0.14694757,-0.14694757,0.00946780,-0.00946780,0.88971590,-0.88971591,0.00000000,-0.00000000
-5.86793397,1.50186343,-1.50186343,0.90444562,-0.90444563,0.34687389,-0.34687389,0.13853943,-0.13853943,0.00922267,-0.00922267,0.87413017,-0.87413018,0.00000000,-0.00000000
-5.86193097,1.47125617,-1.47125617,0.87961670,-0.87961671,0.34299997,-0.34299997,0.13082551,-0.13082551,0.00897987,-0.00897987,0.85894276,-0.85894276,0.00000000,-0.00000000
-5.85592796,1.44292477,-1.44292477,0.85591125,-0.85591126,0.33971249,-0.33971249,0.12387656,-0.12387656,0.00874438,-0.00874438,0.84444783,-0.84444783,0.00000000,-0.00000000
-5.84992496,1.41726460,-1.41726461,0.83361085,-0.83361086,0.33707289,-0.33707289,0.11776822,-0.11776822,0.00852061,-0.00852061,0.83086295,-0.83086295,0.00000000,-0.00000000
-5.84392196,1.39454530,-1.39454530,0.81292002,-0.81292003,0.33511104,-0.33511104,0.11257718,-0.11257718,0.00831224,-0.00831224,0.81832066,-0.81832066,0.00000000,-0.00000000
-5.83791896,1.37490021,-1.37490022,0.79395980,-0.79395980,0.33382368,-0.33382368,0.10837737,-0.10837737,0.00812213,-0.00812213,0.80686472,-0.80686472,0.00000000,-0.00000000
-5.83191596,1.35832352,-1.35832352,0.77676561,-0.77676561,0.33317473,-0.33317473,0.10523620,-0.10523620,0.00795227,-0.00795227,0.79645142,-0.79645142,0.00000000,-0.00000000
-5.82591296,1.34467487,-1.34467487,0.76128961,-0.76128962,0.33309753,-0.33309753,0.10321096,-0.10321096,0.00780371,-0.00780371,0.78695572,-0.78695572,0.00000000,-0.00000000
-5.81990995,1.33369120,-1.33369120,0.74740715,-0.74740715,0.33349877,-0.33349877,0.10234558,-0.10234558,0.00767666,-0.00767666,0.77818186,-0.77818186,0.00000000,-0.00000000
-5.81390695,1.32500479,-1.32500479,0.73492688,-0.73492688,0.33426389,-0.33426389,0.10266774,-0.10266774,0.00757047,-0.00757047,0.76987783,-0.76987783,0.00000000,-0.00000000
