energy_ev,total_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,5.19359516,0.26906007,0.01143203,0.03030478,0.18520204,0.43421300,0.57712712,3.56618624
-5.99399700,4.86930025,0.25682297,0.01051668,0.02760600,0.17027385,0.40620791,0.54877891,3.34185043
-5.98799400,4.54465672,0.24428043,0.00960799,0.02497295,0.15546204,0.37815999,0.51989503,3.11756939
-5.98199100,4.22323539,0.23156789,0.00871714,0.02243377,0.14095027,0.35039974,0.49079305,2.89575681
-5.97598799,3.90819209,0.21880584,0.00785405,0.02001217,0.12690098,0.32321789,0.46175478,2.67854741
-5.96998499,3.60222593,0.20609911,0.00702722,0.01772719,0.11345284,0.29686202,0.43302403,2.46776719
-5.96398199,3.30756042,0.19353686,0.00624365,0.01559320,0.10071912,0.27153515,0.40480622,2.26491943
-5.95797899,3.02594507,0.18119331,0.00550879,0.01361998,0.08878720,0.24739605,0.37726973,2.07118494
-5.95197599,2.75867460,0.16912892,0.00482651,0.01181301,0.07771899,0.22456122,0.35054853,1.88743466
-5.94597299,2.50662230,0.15739207,0.00419923,0.01017383,0.06755219,0.20310793,0.32474569,1.71425189
-5.93996998,2.27028372,0.14602080,0.00362798,0.00870055,0.05830218,0.18307830,0.29993758,1.55196201
-5.93396698,2.04982711,0.13504468,0.00311259,0.00738831,0.04996446,0.16448393,0.27617820,1.40066668
-5.92796398,1.84514676,0.12448657,0.00265181,0.00622987,0.04251745,0.14731082,0.25350345,1.26028037
-5.92196098,1.65591647,0.11436414,0.00224352,0.00521610,0.03592539,0.13152432,0.23193514,1.13056690
-5.91595798,1.48164043,0.10469118,0.00188491,0.00433657,0.03014138,0.11707384,0.21148432,1.01117429
-5.90995498,1.32169943,0.09547859,0.00157264,0.00357996,0.02511026,0.10389722,0.19215417,0.90166654
-5.90395198,1.17539138,0.08673503,0.00130303,0.00293455,0.02077137,0.09192455,0.17394207,0.80155143
-5.89794897,1.04196506,0.07846732,0.00107219,0.00238856,0.01706101,0.08108145,0.15684108,0.71030375
-5.89194597,0.92064732,0.07068052,0.00087618,0.00193046,0.01391457,0.07129169,0.14084080,0.62738400
-5.88594297,0.81066356,0.06337788,0.00071110,0.00154923,0.01126835,0.06247928,0.12592775,0.55225256
-5.87993997,0.71125255,0.05656060,0.00057319,0.00123453,0.00906100,0.05456997,0.11208537,0.48437983
-5.87393697,0.62167610,0.05022756,0.00045889,0.00097682,0.00723466,0.04749232,0.09929377,0.42325297
-5.86793397,0.54122469,0.04437500,0.00036490,0.00076747,0.00573570,0.04117830,0.08752936,0.36837974
-5.86193097,0.46922008,0.03899629,0.00028822,0.00059874,0.00451526,0.03556365,0.07676447,0.31929026
-5.85592796,0.40501567,0.03408172,0.00022614,0.00046382,0.00352944,0.03058797,0.06696710,0.27553730
-5.84992496,0.34799569,0.02961845,0.00017626,0.00035677,0.00273942,0.02619468,0.05810075,0.23669563
-5.84392196,0.29757365,0.02559058,0.00013649,0.00027251,0.00211126,0.02233080,0.05012450,0.20236090
-5.83791896,0.25319071,0.02197932,0.00010501,0.00020668,0.00161569,0.01894681,0.04299328,0.17214849
-5.83191596,0.21431435,0.01876327,0.00008029,0.00015567,0.00122774,0.01599642,0.03665830,0.14569244
-5.82591296,0.18043735,0.01591887,0.00006101,0.00011644,0.00092639,0.01343639,0.03106776,0.12264473
-5.81990995,0.15107741,0.01342081,0.00004610,0.00008652,0.00069410,0.01122633,0.02616756,0.10267488
-5.81390695,0.12577716,0.01124258,0.00003467,0.00006387,0.00051640,0.00932863,0.02190221,0.08546988
-5.80790395,0.10410464,0.00935698,0.00002597,0.00004690,0.00038151,0.00770833,0.01821569,0.07073442
-5.80190095,0.08565396,0.00773666,0.00001944,0.00003430,0.00027988,0.00633306,0.01505242,0.05819126
-5.79589795,0.07004611,0.00635461,0.00001460,0.00002507,0.00020390,0.00517303,0.01235806,0.04758166
-5.78989495,0.05692967,0.00518458,0.00001112,0.00001844,0.00014751,0.00420096,0.01008032,0.03866585
-5.78389195,0.04598143,0.00420150,0.00000873,0.00001382,0.00010599,0.00339208,0.00816961,0.03122330
-5.77788894,0.03690662,0.00338172,0.00000726,0.00001080,0.00007564,0.00272410,0.00657960,0.02505286
-5.77188594,0.02943897,0.00270331,0.00000659,0.00000909,0.00005364,0.00217714,0.00526766,0.01997264
-5.76588294,0.02334026,0.00214616,0.00000671,0.00000854,0.00003781,0.00173374,0.00419514,0.01581971
-5.75987994,0.01839969,0.00169208,0.00000765,0.00000911,0.00002652,0.00137881,0.00332762,0.01244945
-5.75387694,0.01443279,0.00132484,0.00000954,0.00001085,0.00001856,0.00109955,0.00263498,0.00973478
-5.74787394,0.01128026,0.00103011,0.00001259,0.00001396,0.00001301,0.00088546,0.00209147,0.00756517
-5.74187094,0.00880651,0.00079539,0.00001712,0.00001875,0.00000922,0.00072832,0.00167573,0.00584543
-5.73586793,0.00689817,0.00060991,0.00002359,0.00002569,0.00000671,0.00062216,0.00137073,0.00449456
-5.72986493,0.00546264,0.00046447,0.00003261,0.00003542,0.00000515,0.00056337,0.00116383,0.00344438
-5.72386193,0.00442662,0.00035135,0.00004499,0.00004882,0.00000430,0.00055074,0.00104673,0.00263828
-5.71785893,0.00373491,0.00026406,0.00006179,0.00006702,0.00000404,0.00058562,0.00101565,0.00202995
-5.71185593,0.00334928,0.00019727,0.00008436,0.00009149,0.00000428,0.00067211,0.00107140,0.00158220
-5.70585293,0.00324774,0.00014664,0.00011443,0.00012408,0.00000500,0.00081737,0.00121966,0.00126586
-5.69984992,0.00342395,0.00010863,0.00015416,0.00016715,0.00000620,0.00103192,0.00147133,0.00105881
-5.69384692,0.00388701,0.00008045,0.00020624,0.00022358,0.00000795,0.00133006,0.00184291,0.00094515
-5.68784392,0.00466153,0.00005987,0.00027394,0.00029695,0.00001034,0.00173031,0.00235706,0.00091444
-5.68184092,0.00578789,0.00004516,0.00036129,0.00039157,0.00001349,0.00225600,0.00304317,0.00096115
-5.67583792,0.00732280,0.00003501,0.00047308,0.00051264,0.00001758,0.00293570,0.00393800,0.00108416
-5.66983492,0.00933993,0.00002841,0.00061503,0.00066634,0.00002281,0.00380391,0.00508632,0.00128638
-5.66383192,0.01193065,0.00002464,0.00079385,0.00085989,0.00002941,0.00490146,0.00654157,0.00157451
-5.65782891,0.01520471,0.00002316,0.00101734,0.00110171,0.00003767,0.00627609,0.00836640,0.00195876
-5.65182591,0.01929073,0.00002363,0.00129443,0.00140140,0.00004793,0.00798273,0.01063304,0.00245271
-5.64582291,0.02433641,0.00002582,0.00163520,0.00176980,0.00006055,0.01008372,0.01342350,0.00307317
-5.63981991,0.03050827,0.00002963,0.00205093,0.00221901,0.00007596,0.01264879,0.01682942,0.00383996
-5.63381691,0.03799076,0.00003502,0.00255398,0.00276226,0.00009462,0.01575477,0.02095161,0.00477578
-5.62781391,0.04698466,0.00004202,0.00315771,0.00341381,0.00011703,0.01948487,0.02589903,0.00590591
-5.62181091,0.05770452,0.00005071,0.00387631,0.00418876,0.00014371,0.02392772,0.03178729,0.00725790
-5.61580790,0.07037513,0.00006122,0.00472453,0.00510273,0.00017524,0.02917585,0.03873654,0.00886114
-5.60980490,0.08522685,0.00007367,0.00571735,0.00617151,0.00021217,0.03532371,0.04686869,0.01074632
-5.60380190,0.10248986,0.00008822,0.00686960,0.00741056,0.00025508,0.04246530,0.05630400,0.01294477
-5.59779890,0.12238727,0.00010501,0.00819541,0.00883452,0.00030451,0.05069119,0.06715699,0.01548771
-5.59179590,0.14512725,0.00012419,0.00970773,0.01045652,0.00036097,0.06008522,0.07953178,0.01840530
-5.58579290,0.17089427,0.00014587,0.01141763,0.01228752,0.00042491,0.07072081,0.09351697,0.02172572
-5.57978989,0.19983985,0.00017013,0.01333372,0.01433559,0.00049669,0.08265703,0.10918013,0.02547411
-5.57378689,0.23207292,0.00019703,0.01546142,0.01660510,0.00057657,0.09593452,0.12656221,0.02967142
