energy_ev,total_up,Sn_p_up,Sn_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,1.40649472,0.35150473,0.00083713,0.74064015,0.44178971,0.60503421,0.00000000
-5.99399700,1.35619641,0.33326884,0.00079888,0.70626534,0.42743294,0.58821579,0.00000000
-5.98799400,1.30657106,0.31630057,0.00075966,0.67225867,0.41356849,0.57099036,0.00000000
-5.98199100,1.25812262,0.30075522,0.00071995,0.63893326,0.40034787,0.55353506,0.00000000
-5.97598799,1.21125925,0.28673024,0.00068019,0.60656453,0.38787940,0.53601002,0.00000000
-5.96998499,1.16628717,0.27426497,0.00064080,0.57538504,0.37622720,0.51855482,0.00000000
-5.96398199,1.12340868,0.26334281,0.00060215,0.54558108,0.36541188,0.50128583,0.00000000
-5.95797899,1.08272432,0.25389531,0.00056457,0.51729123,0.35541292,0.48429470,0.00000000
-5.95197599,1.04423864,0.24580818,0.00052836,0.49060650,0.34617255,0.46764776,0.00000000
-5.94597299,1.00786932,0.23892871,0.00049376,0.46557210,0.33760090,0.45138646,0.00000000
-5.93996998,0.97345892,0.23307426,0.00046095,0.44219045,0.32958216,0.43552878,0.00000000
-5.93396698,0.94078880,0.22804144,0.00043008,0.42042541,0.32198144,0.42007134,0.00000000
-5.92796398,0.90959444,0.22361548,0.00040125,0.40020731,0.31465215,0.40499242,0.00000000
-5.92196098,0.87958163,0.21957955,0.00037450,0.38143875,0.30744339,0.39025537,0.00000000
-5.91595798,0.85044287,0.21572353,0.00034984,0.36400078,0.30020719,0.37581267,0.00000000
-5.90995498,0.82187325,0.21185194,0.00032723,0.34775943,0.29280541,0.36161011,0.00000000
-5.90395198,0.79358536,0.20779089,0.00030662,0.33257222,0.28511579,0.34759112,0.00000000
-5.89794897,0.76532273,0.20339360,0.00028790,0.31829460,0.27703718,0.33370108,0.00000000
-5.89194597,0.73687127,0.19854464,0.00027095,0.30478607,0.26849373,0.31989133,0.00000000
-5.88594297,0.70806860,0.19316264,0.00025563,0.29191585,0.25943789,0.30612280,0.00000000
-5.87993997,0.67881074,0.18720156,0.00024180,0.27956805,0.24985214,0.29236906,0.00000000
-5.87393697,0.64905646,0.18065053,0.00022931,0.26764605,0.23974962,0.27861885,0.00000000
-5.86793397,0.61882890,0.17353249,0.00021800,0.25607621,0.22917347,0.26487774,0.00000000
-5.86193097,0.58821492,0.16590166,0.00020774,0.24481073,0.21819525,0.25116912,0.00000000
-5.85592796,0.55736211,0.15784019,0.00019842,0.23382964,0.20691234,0.23753440,0.00000000
-5.84992496,0.52647395,0.14945414,0.00018993,0.22314195,0.19544466,0.22403246,0.00000000
-5.84392196,0.49580337,0.14086900,0.00018222,0.21278600,0.18393082,0.21073846,0.00000000
-5.83791896,0.46564507,0.13222509,0.00017522,0.20282897,0.17252391,0.19774201,0.00000000
-5.83191596,0.43632703,0.12367291,0.00016895,0.19336566,0.16138719,0.18514485,0.00000000
-5.82591296,0.40820164,0.11536878,0.00016343,0.18451665,0.15068967,0.17305827,0.00000000
-5.81990995,0.38163664,0.10747079,0.00015873,0.17642578,0.14060196,0.16160007,0.00000000
-5.81390695,0.35700624,0.10013521,0.00015493,0.16925725,0.13129236,0.15089156,0.00000000
-5.80790395,0.33468278,0.09351352,0.00015216,0.16319215,0.12292325,0.14105441,0.00000000
-5.80190095,0.31502876,0.08774989,0.00015060,0.15842470,0.11564800,0.13220758,0.00000000
-5.79589795,0.29838968,0.08297931,0.00015040,0.15515815,0.10960820,0.12446430,0.00000000
-5.78989495,0.28508748,0.07932604,0.00015179,0.15360044,0.10493126,0.11792932,0.00000000
-5.78389195,0.27541465,0.07690268,0.00015496,0.15395960,0.10172850,0.11269626,0.00000000
-5.77788894,0.26962891,0.07580932,0.00016014,0.15643899,0.10009338,0.10884520,0.00000000
-5.77188594,0.26794832,0.07613301,0.00016755,0.16123232,0.10010007,0.10644053,0.00000000
-5.76588294,0.27054691,0.07794724,0.00017741,0.16851862,0.10180217,0.10552903,0.00000000
-5.75987994,0.27755043,0.08131143,0.00018992,0.17845696,0.10523153,0.10613818,0.00000000
-5.75387694,0.28903253,0.08627022,0.00020525,0.19118130,0.11039724,0.10827473,0.00000000
-5.74787394,0.30501101,0.09285267,0.00022354,0.20679510,0.11728465,0.11192358,0.00000000
-5.74187094,0.32544449,0.10107116,0.00024492,0.22536626,0.12585455,0.11704694,0.00000000
-5.73586793,0.35022927,0.11092014,0.00026943,0.24692201,0.13604247,0.12358382,0.00000000
-5.72986493,0.37919682,0.12237463,0.00029710,0.27144429,0.14775821,0.13144987,0.00000000
-5.72386193,0.41211180,0.13538865,0.00032787,0.29886545,0.16088569,0.14053772,0.00000000
-5.71785893,0.44867106,0.14989357,0.00036164,0.32906469,0.17528310,0.15071772,0.00000000
-5.71185593,0.48850366,0.16579655,0.00039822,0.36186523,0.19078364,0.16183917,0.00000000
-5.70585293,0.53117223,0.18297929,0.00043738,0.39703257,0.20719673,0.17373215,0.00000000
-5.69984992,0.57617590,0.20129699,0.00047880,0.43427390,0.22430988,0.18620984,0.00000000
-5.69384692,0.62295490,0.22057801,0.00052209,0.47323892,0.24189126,0.19907146,0.00000000
-5.68784392,0.67089707,0.24062403,0.00056680,0.51352224,0.25969300,0.21210566,0.00000000
-5.68184092,0.71934626,0.26121111,0.00061242,0.55466747,0.27745514,0.22509445,0.00000000
-5.67583792,0.76761262,0.28209158,0.00065840,0.59617302,0.29491030,0.23781756,0.00000000
-5.66983492,0.81498479,0.30299695,0.00070414,0.63749976,0.31178891,0.25005708,0.00000000
-5.66383192,0.86074368,0.32364170,0.00074901,0.67808043,0.32782498,0.26160237,0.00000000
