energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.22346336,0.00465718,0.04598493,0.02011566,0.67815767,0.72395494,0.05745574,0.34633879,0.11668769
-5.99399700,1.19577425,0.00471696,0.04529647,0.02024034,0.66209718,0.69978298,0.05616993,0.33524697,0.11409617
-5.98799400,1.16940395,0.00486244,0.04447073,0.02033272,0.64699353,0.67731060,0.05494105,0.32467249,0.11169425
-5.98199100,1.14526057,0.00509713,0.04354175,0.02040289,0.63335734,0.65707759,0.05380939,0.31486847,0.10956753
-5.97598799,1.12429644,0.00542390,0.04254662,0.02046169,0.62172155,0.63963528,0.05281736,0.30610616,0.10780376
-5.96998499,1.10748569,0.00584494,0.04152438,0.02052020,0.61262942,0.62553672,0.05200845,0.29866966,0.10649065
-5.96398199,1.09579914,0.00636158,0.04051491,0.02058923,0.60662095,0.61532512,0.05142601,0.29284945,0.10571356
-5.95797899,1.09017704,0.00697422,0.03955778,0.02067875,0.60421799,0.60952086,0.05111200,0.28893497,0.10555303
-5.95197599,1.09150095,0.00768218,0.03869113,0.02079743,0.60590882,0.60860761,0.05110562,0.28720645,0.10608223
-5.94597299,1.10056562,0.00848357,0.03795068,0.02095219,0.61213253,0.61301794,0.05144204,0.28792624,0.10736456
-5.93996998,1.11805197,0.00937519,0.03736887,0.02114786,0.62326386,0.62311887,0.05215113,0.29133008,0.10945135
-5.93396698,1.14450219,0.01035238,0.03697411,0.02138694,0.63959909,0.63919802,0.05325633,0.29761833,0.11237983
-5.92796398,1.18029798,0.01140905,0.03679032,0.02166948,0.66134348,0.66145078,0.05477370,0.30694778,0.11617152
-5.92196098,1.22564252,0.01253756,0.03683660,0.02199312,0.68860062,0.68996903,0.05671108,0.31942408,0.12083087
-5.91595798,1.28054707,0.01372879,0.03712711,0.02235320,0.72136431,0.72473186,0.05906760,0.33509519,0.12634454
-5.90995498,1.34482247,0.01497221,0.03767116,0.02274311,0.75951302,0.76559862,0.06183331,0.35394607,0.13268108
-5.90395198,1.41807608,0.01625598,0.03847348,0.02315460,0.80280740,0.81230479,0.06498913,0.37589478,0.13979114
-5.89794897,1.49971395,0.01756712,0.03953464,0.02357836,0.85089069,0.86446067,0.06850709,0.40079027,0.14760817
-5.89194597,1.58894850,0.01889176,0.04085154,0.02400445,0.90329238,0.92155328,0.07235069,0.42841183,0.15604965
-5.88594297,1.68481123,0.02021537,0.04241802,0.02442298,0.95943473,0.98295144,0.07647566,0.45847043,0.16501869
-5.87993997,1.78617012,0.02152303,0.04422544,0.02482460,1.01864221,1.04791398,0.08083077,0.49061199,0.17440608
-5.87393697,1.89175127,0.02279980,0.04626328,0.02520109,1.08015357,1.11560109,0.08535897,0.52442240,0.18409256
