energy_ev,total_up,Hf_p_up,Hf_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.11470715,1.13952028,0.23148518,0.18891227,0.00000000,0.00757530,0.44030424,0.00686891,0.29343035
-5.99399700,1.24552453,1.27816739,0.25897402,0.20773084,0.00000000,0.00846997,0.49296143,0.00760701,0.32719496
-5.98799400,1.38533349,1.42554236,0.28819374,0.22843221,0.00000000,0.00940289,0.54887008,0.00841126,0.36360922
-5.98199100,1.53303218,1.58054206,0.31890719,0.25084034,0.00000000,0.01036425,0.60758777,0.00927342,0.40238736
-5.97598799,1.68728143,1.74180674,0.35082766,0.27474371,0.00000000,0.01134258,0.66857482,0.01018402,0.44318539
-5.96998499,1.84651728,1.90773163,0.38362170,0.29989829,0.00000000,0.01232496,0.73119956,0.01113236,0.48560444
-5.96398199,2.00897291,2.07648841,0.41691391,0.32603176,0.00000000,0.01329729,0.79474723,0.01210659,0.52919648
-5.95797899,2.17270978,2.24605634,0.45029359,0.35284912,0.00000000,0.01424461,0.85843256,0.01309380,0.57347267
-5.95197599,2.33565780,2.41426299,0.48332339,0.38003966,0.00000000,0.01515149,0.92141597,0.01408027,0.61791404
-5.94597299,2.49566363,2.57883350,0.51554954,0.40728498,0.00000000,0.01600246,0.98282295,0.01505163,0.66198433
-5.93996998,2.65054563,2.73744716,0.54651347,0.43426815,0.00000000,0.01678253,1.04176601,0.01599319,0.70514473
-5.93396698,2.79815386,2.88779933,0.57576445,0.46068336,0.00000000,0.01747763,1.09736861,0.01689023,0.74686987
-5.92796398,2.93643271,3.02766667,0.60287270,0.48624603,0.00000000,0.01807513,1.14879011,0.01772837,0.78666457
-5.92196098,3.06348385,3.15497298,0.62744248,0.51070277,0.00000000,0.01856424,1.19525074,0.01849390,0.82408046
-5.91595798,3.17762659,3.26785304,0.64912469,0.53384070,0.00000000,0.01893651,1.23605567,0.01917418,0.85873198
-5.90995498,3.27745321,3.36471170,0.66762827,0.55549586,0.00000000,0.01918605,1.27061699,0.01975797,0.89031072
-5.90395198,3.36187634,3.44427539,0.68272995,0.57556002,0.00000000,0.01930988,1.29847271,0.02023576,0.91859743
-5.89794897,3.43016619,3.50563389,0.69428189,0.59398565,0.00000000,0.01930802,1.31930186,0.02060005,0.94347109
-5.89194597,3.48197565,3.54827004,0.70221678,0.61078855,0.00000000,0.01918355,1.33293485,0.02084557,0.96491435
-5.88594297,3.51735176,3.57207616,0.70655012,0.62604800,0.00000000,0.01894255,1.33935885,0.02096948,0.98301489
-5.87993997,3.53673269,3.57735599,0.70737954,0.63990421,0.00000000,0.01859389,1.33871751,0.02097140,0.99796261
-5.87393697,3.54093021,3.56481222,0.70488118,0.65255310,0.00000000,0.01814898,1.33130531,0.02085347,1.01004240
-5.86793397,3.53109811,3.53551984,0.69930314,0.66423845,0.00000000,0.01762138,1.31755669,0.02062028,1.01962279
-5.86193097,3.50868788,3.49088660,0.69095648,0.67524183,0.00000000,0.01702636,1.29803034,0.02027873,1.02714084
-5.85592796,3.47539362,3.43260235,0.68020392,0.68587051,0.00000000,0.01638038,1.27338956,0.01983782,1.03308385
-5.84992496,3.43308863,3.36257965,0.66744697,0.69644406,0.00000000,0.01570058,1.24437948,0.01930839,1.03796866
-5.84392196,3.38375653,3.28288825,0.65311189,0.70728006,0.00000000,0.01500420,1.21180226,0.01870283,1.04231947
-5.83791896,3.32942017,3.19568656,0.63763527,0.71867979,0.00000000,0.01430808,1.17649138,0.01803471,1.04664523
-5.83191596,3.27207160,3.10315315,0.62144973,0.73091432,0.00000000,0.01362813,1.13928616,0.01731843,1.05141762
-5.82591296,3.21360611,3.00742118,0.60497049,0.74421203,0.00000000,0.01297889,1.10100770,0.01656886,1.05705071
-5.81990995,3.15576353,2.91051865,0.58858328,0.75874787,0.00000000,0.01237311,1.06243712,0.01580099,1.06388332
-5.81390695,3.10007906,2.81431663,0.57263416,0.77463517,0.00000000,0.01182151,1.02429695,0.01502960,1.07216490
-5.80790395,3.04784567,2.72048740,0.55742155,0.79192019,0.00000000,0.01133249,0.98723636,0.01426896,1.08204573
-5.80190095,3.00008941,2.63047369,0.54319076,0.81057996,0.00000000,0.01091204,0.95182049,0.01353262,1.09357183
