energy_ev,total_up,total_down,B_p_up,B_p_down,B_d_up,B_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.25551530,-0.25551530,0.03344352,-0.03344352,0.00000000,-0.00000000,0.03525582,-0.03525582,0.04866480,-0.04866480,0.00056621,-0.00056621,0.08154369,-0.08154369
-5.99399700,0.28399382,-0.28399382,0.03736903,-0.03736903,0.00000000,-0.00000000,0.04042149,-0.04042149,0.05428425,-0.05428425,0.00060411,-0.00060411,0.09010199,-0.09010199
-5.98799400,0.31603549,-0.31603549,0.04176058,-0.04176058,0.00000000,-0.00000000,0.04601478,-0.04601478,0.06060788,-0.06060788,0.00065155,-0.00065155,0.09979510,-0.09979510
-5.98199100,0.35144779,-0.35144779,0.04659395,-0.04659395,0.00000000,-0.00000000,0.05200919,-0.05200919,0.06760253,-0.06760253,0.00070814,-0.00070814,0.11055864,-0.11055864
-5.97598799,0.38995150,-0.38995150,0.05183339,-0.05183339,0.00000000,-0.00000000,0.05836556,-0.05836556,0.07521809,-0.07521809,0.00077329,-0.00077329,0.12230111,-0.12230111
-5.96998499,0.43117855,-0.43117855,0.05743124,-0.05743124,0.00000000,-0.00000000,0.06503158,-0.06503158,0.08338695,-0.08338695,0.00084626,-0.00084626,0.13490345,-0.13490345
-5.96398199,0.47467224,-0.47467224,0.06332791,-0.06332791,0.00000000,-0.00000000,0.07194177,-0.07194177,0.09202376,-0.09202376,0.00092610,-0.00092610,0.14821924,-0.14821924
-5.95797899,0.51989042,-0.51989042,0.06945226,-0.06945226,0.00000000,-0.00000000,0.07901797,-0.07901797,0.10102596,-0.10102596,0.00101169,-0.00101169,0.16207590,-0.16207590
-5.95197599,0.56621177,-0.56621177,0.07572237,-0.07572237,0.00000000,-0.00000000,0.08617036,-0.08617036,0.11027471,-0.11027471,0.00110173,-0.00110173,0.17627673,-0.17627673
-5.94597299,0.61294548,-0.61294548,0.08204686,-0.08204686,0.00000000,-0.00000000,0.09329899,-0.09329899,0.11963670,-0.11963670,0.00119480,-0.00119480,0.19060406,-0.19060406
-5.93996998,0.65934419,-0.65934419,0.08832652,-0.08832652,0.00000000,-0.00000000,0.10029586,-0.10029586,0.12896651,-0.12896651,0.00128930,-0.00128930,0.20482336,-0.20482336
-5.93396698,0.70462010,-0.70462010,0.09445652,-0.09445652,0.00000000,-0.00000000,0.10704751,-0.10704751,0.13810959,-0.13810959,0.00138355,-0.00138355,0.21868831,-0.21868831
-5.92796398,0.74796387,-0.74796387,0.10032890,-0.10032890,0.00000000,-0.00000000,0.11343794,-0.11343794,0.14690597,-0.14690597,0.00147581,-0.00147581,0.23194667,-0.23194667
-5.92196098,0.78856569,-0.78856569,0.10583542,-0.10583542,0.00000000,-0.00000000,0.11935195,-0.11935195,0.15519428,-0.15519428,0.00156429,-0.00156429,0.24434686,-0.24434686
-5.91595798,0.82563780,-0.82563780,0.11087059,-0.11087059,0.00000000,-0.00000000,0.12467859,-0.12467859,0.16281622,-0.16281622,0.00164723,-0.00164723,0.25564486,-0.25564486
-5.90995498,0.85843771,-0.85843771,0.11533484,-0.11533484,0.00000000,-0.00000000,0.12931467,-0.12931467,0.16962119,-0.16962119,0.00172291,-0.00172291,0.26561137,-0.26561137
-5.90395198,0.88629101,-0.88629101,0.11913757,-0.11913757,0.00000000,-0.00000000,0.13316822,-0.13316822,0.17547086,-0.17547086,0.00178974,-0.00178974,0.27403879,-0.27403879
-5.89794897,0.90861290,-0.90861290,0.12220016,-0.12220016,0.00000000,-0.00000000,0.13616163,-0.13616163,0.18024360,-0.18024360,0.00184627,-0.00184627,0.28074775,-0.28074775
-5.89194597,0.92492736,-0.92492736,0.12445857,-0.12445857,0.00000000,-0.00000000,0.13823445,-0.13823445,0.18383843,-0.18383843,0.00189124,-0.00189124,0.28559289,-0.28559289
-5.88594297,0.93488325,-0.93488325,0.12586558,-0.12586558,0.00000000,-0.00000000,0.13934564,-0.13934564,0.18617846,-0.18617846,0.00192365,-0.00192365,0.28846767,-0.28846767
-5.87993997,0.93826629,-0.93826629,0.12639247,-0.12639247,0.00000000,-0.00000000,0.13947524,-0.13947524,0.18721349,-0.18721349,0.00194275,-0.00194275,0.28930791,-0.28930791
-5.87393697,0.93500660,-0.93500660,0.12603015,-0.12603015,0.00000000,-0.00000000,0.13862525,-0.13862525,0.18692182,-0.18692182,0.00194809,-0.00194809,0.28809386,-0.28809386
-5.86793397,0.92518130,-0.92518130,0.12478960,-0.12478960,0.00000000,-0.00000000,0.13681987,-0.13681987,0.18531099,-0.18531099,0.00193951,-0.00193951,0.28485088,-0.28485088
-5.86193097,0.90901205,-0.90901205,0.12270158,-0.12270158,0.00000000,-0.00000000,0.13410492,-0.13410492,0.18241761,-0.18241761,0.00191718,-0.00191718,0.27964839,-0.27964839
-5.85592796,0.88685762,-0.88685762,0.11981581,-0.11981581,0.00000000,-0.00000000,0.13054655,-0.13054655,0.17830610,-0.17830610,0.00188155,-0.00188155,0.27259741,-0.27259741
-5.84992496,0.85920203,-0.85920203,0.11619938,-0.11619938,0.00000000,-0.00000000,0.12622936,-0.12622936,0.17306660,-0.17306660,0.00183338,-0.00183338,0.26384674,-0.26384674
-5.84392196,0.82663854,-0.82663854,0.11193473,-0.11193473,0.00000000,-0.00000000,0.12125389,-0.12125389,0.16681192,-0.16681192,0.00177365,-0.00177365,0.25357779,-0.25357779
-5.83791896,0.78985050,-0.78985050,0.10711713,-0.10711713,0.00000000,-0.00000000,0.11573368,-0.11573368,0.15967390,-0.15967390,0.00170359,-0.00170359,0.24199862,-0.24199862
-5.83191596,0.74958986,-0.74958986,0.10185181,-0.10185181,0.00000000,-0.00000000,0.10979210,-0.10979210,0.15179920,-0.15179920,0.00162460,-0.00162460,0.22933713,-0.22933713
-5.82591296,0.70665428,-0.70665428,0.09625094,-0.09625094,0.00000000,-0.00000000,0.10355890,-0.10355890,0.14334479,-0.14334479,0.00153822,-0.00153822,0.21583404,-0.21583404
-5.81990995,0.66186385,-0.66186385,0.09043051,-0.09043051,0.00000000,-0.00000000,0.09716682,-0.09716682,0.13447327,-0.13447327,0.00144607,-0.00144607,0.20173565,-0.20173565
-5.81390695,0.61603843,-0.61603843,0.08450721,-0.08450721,0.00000000,-0.00000000,0.09074826,-0.09074826,0.12534830,-0.12534830,0.00134982,-0.00134982,0.18728690,-0.18728690
-5.80790395,0.56997634,-0.56997634,0.07859552,-0.07859552,0.00000000,-0.00000000,0.08443216,-0.08443216,0.11613025,-0.11613025,0.00125112,-0.00125112,0.17272497,-0.17272497
-5.80190095,0.52443529,-0.52443529,0.07280504,-0.07280504,0.00000000,-0.00000000,0.07834115,-0.07834115,0.10697224,-0.10697224,0.00115160,-0.00115160,0.15827355,-0.15827355
-5.79589795,0.48011603,-0.48011603,0.06723812,-0.06723812,0.00000000,-0.00000000,0.07258917,-0.07258917,0.09801674,-0.09801674,0.00105278,-0.00105278,0.14413804,-0.14413804
