energy_ev,total_up,Ga_p_up,Ga_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,0.45196201,0.15199982,0.00000000,0.17902313,0.08792578,0.02355378,0.00000000
-5.99399700,0.44032161,0.14577501,0.00000000,0.17518306,0.08630548,0.02524406,0.00000000
-5.98799400,0.42867261,0.13921119,0.00000000,0.17150481,0.08478712,0.02730012,0.00000000
-5.98199100,0.41751780,0.13246721,0.00000000,0.16820371,0.08347114,0.02975723,0.00000000
-5.97598799,0.40736880,0.12570754,0.00000000,0.16550207,0.08245927,0.03264947,0.00000000
-5.96998499,0.39873085,0.11909800,0.00000000,0.16362343,0.08185140,0.03600814,0.00000000
-5.96398199,0.39208848,0.11280185,0.00000000,0.16278715,0.08174250,0.03986005,0.00000000
-5.95797899,0.38789265,0.10697639,0.00000000,0.16320352,0.08221990,0.04422598,0.00000000
-5.95197599,0.38654959,0.10177000,0.00000000,0.16506960,0.08336086,0.04911920,0.00000000
-5.94597299,0.38841183,0.09731998,0.00000000,0.16856575,0.08523064,0.05454421,0.00000000
-5.93996998,0.39377146,0.09375079,0.00000000,0.17385306,0.08788102,0.06049581,0.00000000
-5.93396698,0.40285587,0.09117303,0.00000000,0.18107151,0.09134934,0.06695834,0.00000000
-5.92796398,0.41582569,0.08968286,0.00000000,0.19033897,0.09565808,0.07390549,0.00000000
-5.92196098,0.43277502,0.08936183,0.00000000,0.20175076,0.10081488,0.08130030,0.00000000
-5.91595798,0.45373347,0.09027704,0.00000000,0.21537979,0.10681310,0.08909576,0.00000000
-5.90995498,0.47866979,0.09248141,0.00000000,0.23127698,0.11363268,0.09723567,0.00000000
-5.90395198,0.50749667,0.09601407,0.00000000,0.24947186,0.12124136,0.10565596,0.00000000
-5.89794897,0.54007614,0.10090055,0.00000000,0.26997308,0.12959608,0.11428630,0.00000000
-5.89194597,0.57622532,0.10715283,0.00000000,0.29276862,0.13864445,0.12305197,0.00000000
-5.88594297,0.61572176,0.11476914,0.00000000,0.31782562,0.14832627,0.13187587,0.00000000
-5.87993997,0.65830835,0.12373335,0.00000000,0.34508971,0.15857489,0.14068065,0.00000000
-5.87393697,0.70369711,0.13401415,0.00000000,0.37448357,0.16931839,0.14939072,0.00000000
