energy_ev,total_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,0.31869358,0.10328714,0.16374520,0.01057490,0.06720260,0.08594202,0.00000000
-5.99399700,0.31082751,0.09890104,0.15924625,0.00991974,0.06728248,0.08072775,0.00000000
-5.98799400,0.30359255,0.09487178,0.15498414,0.00926266,0.06755029,0.07568424,0.00000000
-5.98199100,0.29731425,0.09135286,0.15112107,0.00861332,0.06806449,0.07093217,0.00000000
-5.97598799,0.29232887,0.08850126,0.14782412,0.00798079,0.06888764,0.06659201,0.00000000
-5.96998499,0.28897952,0.08647547,0.14526343,0.00737342,0.07008589,0.06278229,0.00000000
-5.96398199,0.28761266,0.08543366,0.14361065,0.00679862,0.07172841,0.05961811,0.00000000
-5.95797899,0.28857495,0.08553191,0.14303760,0.00626285,0.07388678,0.05720993,0.00000000
-5.95197599,0.29221016,0.08692257,0.14371491,0.00577150,0.07663424,0.05566264,0.00000000
-5.94597299,0.29885595,0.08975244,0.14581081,0.00532896,0.08004490,0.05507469,0.00000000
-5.93996998,0.30884041,0.09416099,0.14948963,0.00493859,0.08419268,0.05553739,0.00000000
-5.93396698,0.32247809,0.10027829,0.15491020,0.00460288,0.08915016,0.05713423,0.00000000
-5.92796398,0.34006534,0.10822278,0.16222383,0.00432348,0.09498716,0.05994007,0.00000000
-5.92196098,0.36187496,0.11809869,0.17157197,0.00410133,0.10176912,0.06402034,0.00000000
-5.91595798,0.38815003,0.12999332,0.18308343,0.00393683,0.10955535,0.06942998,0.00000000
-5.90995498,0.41909707,0.14397405,0.19687116,0.00382986,0.11839700,0.07621236,0.00000000
-5.90395198,0.45487853,0.16008523,0.21302872,0.00377998,0.12833505,0.08439788,0.00000000
-5.89794897,0.49560495,0.17834512,0.23162646,0.00378648,0.13939810,0.09400263,0.00000000
-5.89194597,0.54132708,0.19874290,0.25270757,0.00384844,0.15160038,0.10502689,0.00000000
