energy_ev,total_up,Al_p_up,Al_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,0.62193588,0.02336544,0.00000000,0.41093479,0.19242446,0.00518759,0.16880412
-5.99399700,0.68920979,0.02599759,0.00000000,0.45499138,0.21353169,0.00574503,0.18623715
-5.98799400,0.75842159,0.02872546,0.00000000,0.50024123,0.23530331,0.00631779,0.20401463
-5.98199100,0.82875453,0.03151936,0.00000000,0.54614018,0.25748992,0.00689899,0.22190640
-5.97598799,0.89929081,0.03434523,0.00000000,0.59207918,0.27980939,0.00748095,0.23965925
-5.96998499,0.96902950,0.03716521,0.00000000,0.63739647,0.30195226,0.00805528,0.25700240
-5.96398199,1.03690927,0.03993844,0.00000000,0.68139272,0.32358854,0.00861310,0.27365425
-5.95797899,1.10183523,0.04262200,0.00000000,0.72334889,0.34437602,0.00914528,0.28932993
-5.95197599,1.16270911,0.04517201,0.00000000,0.76254616,0.36396954,0.00964265,0.30374970
-5.94597299,1.21846177,0.04754487,0.00000000,0.79828722,0.38203122,0.01009630,0.31664750
-5.93996998,1.26808685,0.04969857,0.00000000,0.82991816,0.39824106,0.01049784,0.32777966
-5.93396698,1.31067404,0.05159402,0.00000000,0.85685005,0.41230760,0.01083968,0.33693321
-5.92796398,1.34544080,0.05319633,0.00000000,0.87857924,0.42397812,0.01111525,0.34393343
-5.92196098,1.37176103,0.05447607,0.00000000,0.89470556,0.43304811,0.01131928,0.34865040
-5.91595798,1.38918935,0.05541028,0.00000000,0.90494758,0.43936930,0.01144795,0.35100407
-5.90995498,1.39747999,0.05598344,0.00000000,0.90915416,0.44285624,0.01149906,0.35096782
-5.90395198,1.39659930,0.05618808,0.00000000,0.90731177,0.44349076,0.01147209,0.34857018
-5.89794897,1.38673125,0.05602521,0.00000000,0.89954730,0.44132440,0.01136827,0.34389469
-5.89194597,1.36827574,0.05550440,0.00000000,0.88612606,0.43647840,0.01119054,0.33707786
-5.88594297,1.34183948,0.05464364,0.00000000,0.86744507,0.42914150,0.01094346,0.32830534
-5.87993997,1.30822008,0.05346887,0.00000000,0.84402206,0.41956529,0.01063307,0.31780651
-5.87393697,1.26838372,0.05201326,0.00000000,0.81648036,0.40805762,0.01026672,0.30584764
-5.86793397,1.22343737,0.05031621,0.00000000,0.78553055,0.39497401,0.00985285,0.29272392
-5.86193097,1.17459665,0.04842223,0.00000000,0.75194942,0.38070762,0.00940068,0.27875076
-5.85592796,1.12315062,0.04637957,0.00000000,0.71655727,0.36567793,0.00891999,0.26425464
-5.84992496,1.07042455,0.04423878,0.00000000,0.68019416,0.35031868,0.00842082,0.24956386
-5.84392196,1.01774234,0.04205131,0.00000000,0.64369617,0.33506552,0.00791314,0.23499950
-5.83791896,0.96638954,0.03986791,0.00000000,0.60787241,0.32034352,0.00740667,0.22086699
-5.83191596,0.91757830,0.03773731,0.00000000,0.57348350,0.30655534,0.00691052,0.20744835
-5.82591296,0.87241537,0.03570482,0.00000000,0.54122220,0.29406996,0.00643304,0.19499553
-5.81990995,0.83187380,0.03381118,0.00000000,0.51169665,0.28321277,0.00598164,0.18372486
-5.81390695,0.79676937,0.03209153,0.00000000,0.48541669,0.27425684,0.00556256,0.17381273
-5.80790395,0.76774208,0.03057461,0.00000000,0.46278357,0.26741600,0.00518088,0.16539264
-5.80190095,0.74524313,0.02928215,0.00000000,0.44408302,0.26283961,0.00484034,0.15855353
-5.79589795,0.72952773,0.02822851,0.00000000,0.42948205,0.26060934,0.00454341,0.15333945
-5.78989495,0.72065373,0.02742053,0.00000000,0.41902914,0.26073794,0.00429126,0.14975050
-5.78389195,0.71848596,0.02685766,0.00000000,0.41265792,0.26317016,0.00408380,0.14774497
-5.77788894,0.72270639,0.02653223,0.00000000,0.41019407,0.26778561,0.00391981,0.14724254
-5.77188594,0.73282941,0.02643002,0.00000000,0.41136522,0.27440379,0.00379701,0.14812852
-5.76588294,0.74822230,0.02653094,0.00000000,0.41581356,0.28279091,0.00371223,0.15025904
-5.75987994,0.76813002,0.02680996,0.00000000,0.42311080,0.29266858,0.00366153,0.15346693
-5.75387694,0.79170388,0.02723807,0.00000000,0.43277521,0.30372404,0.00364039,0.15756827
-5.74787394,0.81803342,0.02778351,0.00000000,0.44429007,0.31562163,0.00364391,0.16236946
-5.74187094,0.84618048,0.02841290,0.00000000,0.45712335,0.32801540,0.00366691,0.16767460
-5.73586793,0.87521464,0.02909261,0.00000000,0.47074787,0.34056225,0.00370419,0.17329297
-5.72986493,0.90424895,0.02978999,0.00000000,0.48466145,0.35293533,0.00375068,0.17904658
-5.72386193,0.93247482,0.03047465,0.00000000,0.49840654,0.36483721,0.00380156,0.18477739
-5.71785893,0.95919490,0.03111968,0.00000000,0.51158860,0.37601243,0.00385246,0.19035402
-5.71185593,0.98385275,0.03170276,0.00000000,0.52389269,0.38625875,0.00389956,0.19567787
-5.70585293,1.00605817,0.03220713,0.00000000,0.53509762,0.39543689,0.00393971,0.20068827
-5.69984992,1.02560710,0.03262242,0.00000000,0.54508727,0.40347812,0.00397047,0.20536647
-5.69384692,1.04249524,0.03294526,0.00000000,0.55385833,0.41038944,0.00399024,0.20973837
-5.68784392,1.05692446,0.03317972,0.00000000,0.56152431,0.41625597,0.00399820,0.21387572
-5.68184092,1.06930163,0.03333747,0.00000000,0.56831539,0.42124038,0.00399436,0.21789579
-5.67583792,1.08022959,0.03343770,0.00000000,0.57457402,0.42557926,0.00397949,0.22195925
-5.66983492,1.09049015,0.03350682,0.00000000,0.58074620,0.42957635,0.00395509,0.22626643
-5.66383192,1.10101956,0.03357790,0.00000000,0.58736857,0.43359291,0.00392327,0.23105190
-5.65782891,1.11287703,0.03368986,0.00000000,0.59505169,0.43803536,0.00388666,0.23657743
-5.65182591,1.12720721,0.03388644,0.00000000,0.60445972,0.44334061,0.00384827,0.24312354
-5.64582291,1.14519770,0.03421496,0.00000000,0.61628729,0.44995956,0.00381135,0.25097984
