energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
-6.00000000,8.55110737,2.56264743,5.05625745,0.02210189,0.51841098,0.79486493,0.00000000,0.09062810,1.89074727
-5.99399700,8.71898013,2.57849459,5.17438572,0.02277244,0.50697954,0.80971205,0.00000000,0.09343384,1.93958319
-5.98799400,8.90536743,2.59978840,5.30396305,0.02351557,0.49708672,0.82600513,0.00000000,0.09640360,1.99189877
-5.98199100,9.10880320,2.62636802,5.44392022,0.02433127,0.48868152,0.84376413,0.00000000,0.09949531,2.04739073
-5.97598799,9.32743951,2.65789837,5.59299558,0.02521653,0.48168488,0.86296614,0.00000000,0.10266225,2.10566420
-5.96998499,9.55907041,2.69387939,5.74974904,0.02616521,0.47599385,0.88354361,0.00000000,0.10585387,2.16623655
-5.96398199,9.80116239,2.73366047,5.91257821,0.02716807,0.47148615,0.90538379,0.00000000,0.10901670,2.22854333
-5.95797899,10.05089125,2.77645928,6.07973669,0.02821287,0.46802480,0.92832949,0.00000000,0.11209551,2.29194632
-5.95197599,10.30518502,2.82138448,6.24935472,0.02928462,0.46546284,0.95218104,0.00000000,0.11503444,2.35574346
-5.94597299,10.56077262,2.86746125,6.41946232,0.03036592,0.46364789,0.97669948,0.00000000,0.11777829,2.41918070
-5.93996998,10.81423750,2.91365889,6.58801511,0.03143739,0.46242651,1.00161089,0.00000000,0.12027375,2.48146534
-5.93396698,11.06207585,2.95891942,6.75292271,0.03247822,0.46164812,1.02661167,0.00000000,0.12247072,2.54178088
-5.92796398,11.30075841,3.00218610,6.91207995,0.03346676,0.46116844,1.05137463,0.00000000,0.12432346,2.59930290
-5.92196098,11.52679516,3.04243107,7.06340047,0.03438114,0.46085240,1.07555591,0.00000000,0.12579175,2.65321576
-5.91595798,11.73680172,3.07868116,7.20485275,0.03520000,0.46057638,1.09880226,0.00000000,0.12684184,2.70272977
-5.90995498,11.92756653,3.11004107,7.33449792,0.03590310,0.46022989,1.12075875,0.00000000,0.12744723,2.74709839
-5.90395198,12.09611723,3.13571345,7.45052887,0.03647200,0.45971657,1.14107662,0.00000000,0.12758930,2.78563504
-5.89794897,12.23978508,3.15501523,7.55130986,0.03689069,0.45895467,1.15942108,0.00000000,0.12725766,2.81772920
-5.89194597,12.35626555,3.16739005,7.63541545,0.03714608,0.45787689,1.17547883,0.00000000,0.12645032,2.84286111
-5.88594297,12.44367370,3.17241651,7.70166787,0.03722846,0.45642992,1.18896529,0.00000000,0.12517360,2.86061484
-5.87993997,12.50059215,3.16981235,7.74917121,0.03713185,0.45457349,1.19963106,0.00000000,0.12344187,2.87068906
-5.87393697,12.52611034,3.15943456,7.77734118,0.03685422,0.45227916,1.20726774,0.00000000,0.12127700,2.87290532
-5.86793397,12.51985285,3.14127579,7.78592891,0.03639755,0.44952899,1.21171268,0.00000000,0.11870776,2.86721320
-5.86193097,12.48199561,3.11545731,7.77503739,0.03576781,0.44631396,1.21285275,0.00000000,0.11576899,2.85369228
-5.85592796,12.41326849,3.08221900,7.74512930,0.03497479,0.44263249,1.21062676,0.00000000,0.11250070,2.83255061
-5.84992496,12.31494337,3.04190680,7.69702513,0.03403176,0.43848884,1.20502672,0.00000000,0.10894710,2.80411959
-5.84392196,12.18880725,2.99495825,7.63189099,0.03295513,0.43389170,1.19609759,0.00000000,0.10515557,2.76884540
-5.83791896,12.03712046,2.94188654,7.55121555,0.03176388,0.42885280,1.18393584,0.00000000,0.10117562,2.72727711
-5.83191596,11.86256070,2.88326379,7.45677649,0.03047903,0.42338571,1.16868650,0.00000000,0.09705791,2.68005186
-5.82591296,11.66815414,2.81970398,7.35059684,0.02912300,0.41750476,1.15053919,0.00000000,0.09285329,2.62787758
-5.81990995,11.45719561,2.75184624,7.23489248,0.02771895,0.41122417,1.12972290,0.00000000,0.08861188,2.57151388
-5.81390695,11.23316050,2.68033891,7.11201221,0.02629013,0.40455735,1.10650005,0.00000000,0.08438223,2.51175174
