energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.99835196,4.45379269,1.09252174,0.00001018,1.94159906,0.00419891,0.37026024
-5.99399700,3.67938890,4.10089815,1.00538980,0.00000932,1.78807590,0.00387358,0.33998551
-5.98799400,3.36359250,3.75145908,0.91906676,0.00000847,1.63595226,0.00354837,0.31005890
-5.98199100,3.05505922,3.41010001,0.83466979,0.00000765,1.48724882,0.00322755,0.28084394
-5.97598799,2.75743628,3.08095727,0.75319266,0.00000686,1.34377386,0.00291502,0.25265893
-5.96998499,2.47387356,2.76762482,0.67549235,0.00000610,1.20709903,0.00261412,0.22577293
-5.96398199,2.20699672,2.47312352,0.60228153,0.00000539,1.07854551,0.00232769,0.20040366
-5.95797899,1.95890035,2.19989244,0.53412654,0.00000474,0.95917982,0.00205795,0.17671731
-5.95197599,1.73115910,1.94980000,0.47145041,0.00000413,0.84981840,0.00180656,0.15483006
-5.94597299,1.52485393,1.72417160,0.41454004,0.00000358,0.75103947,0.00157464,0.13481100
-5.93996998,1.34061043,1.52383034,0.36355673,0.00000309,0.66320078,0.00136276,0.11668625
-5.93396698,1.17864553,1.34914676,0.31854920,0.00000265,0.58646129,0.00117103,0.10044387
-5.92796398,1.03881949,1.20009392,0.27946804,0.00000226,0.52080541,0.00099916,0.08603939
-5.92196098,0.92068955,1.07630396,0.24618070,0.00000192,0.46606788,0.00084649,0.07340152
-5.91595798,0.82356264,0.97712306,0.21848644,0.00000163,0.42195810,0.00071209,0.06243787
-5.90995498,0.74654451,0.90166204,0.19613019,0.00000139,0.38808264,0.00059483,0.05304043
-5.90395198,0.68858363,0.84884067,0.17881521,0.00000119,0.36396500,0.00049342,0.04509066
-5.89794897,0.64850847,0.81742435,0.16621385,0.00000103,0.34906215,0.00040648,0.03846402
-5.89194597,0.62505769,0.80605273,0.15797653,0.00000091,0.34277756,0.00033258,0.03303383
-5.88594297,0.61690321,0.81326038,0.15373862,0.00000082,0.34447070,0.00027031,0.02867453
-5.87993997,0.62266659,0.83749036,0.15312560,0.00000077,0.35346353,0.00021830,0.02526429
-5.87393697,0.64092993,0.87710205,0.15575655,0.00000076,0.36904424,0.00017525,0.02268689
-5.86793397,0.67024229,0.93037482,0.16124637,0.00000079,0.39046932,0.00013993,0.02083323
-5.86193097,0.70912338,0.99550971,0.16920706,0.00000086,0.41696445,0.00011125,0.01960218
-5.85592796,0.75606596,1.07063084,0.17924857,0.00000099,0.44772525,0.00008821,0.01890121
-5.84992496,0.80953861,1.15378885,0.19097943,0.00000117,0.48191870,0.00006992,0.01864662
-5.84392196,0.86799015,1.24296773,0.20400770,0.00000143,0.51868593,0.00005564,0.01876372
