energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.44434623,-1.44434862,0.00137735,-0.00137735,0.06070514,-0.06070530,0.42031391,-0.42031455,0.22846374,-0.22846414,0.52296831,-0.52296928,0.29345616,-0.29345672,0.80790480,-0.80790603,0.00000000,-0.00000000
-5.99399700,1.52448172,-1.52448400,0.00156824,-0.00156825,0.06530570,-0.06530585,0.44327883,-0.44327945,0.24197604,-0.24197643,0.55841798,-0.55841893,0.30981976,-0.30982031,0.85169082,-0.85169198,0.00000000,-0.00000000
-5.98799400,1.60137374,-1.60137590,0.00178672,-0.00178673,0.06985864,-0.06985878,0.46546890,-0.46546948,0.25502991,-0.25503027,0.59335321,-0.59335413,0.32552672,-0.32552725,0.89363562,-0.89363670,0.00000000,-0.00000000
-5.98199100,1.67418728,-1.67418928,0.00203560,-0.00203561,0.07430964,-0.07430978,0.48664549,-0.48664604,0.26749742,-0.26749776,0.62736467,-0.62736555,0.34040322,-0.34040372,0.93328467,-0.93328566,0.00000000,-0.00000000
-5.97598799,1.74213984,-1.74214167,0.00231757,-0.00231757,0.07860401,-0.07860416,0.50657469,-0.50657519,0.27926074,-0.27926105,0.66003368,-0.66003451,0.35428793,-0.35428842,0.97021092,-0.97021181,0.00000000,-0.00000000
-5.96998499,1.80452068,-1.80452231,0.00263503,-0.00263504,0.08268819,-0.08268833,0.52503206,-0.52503250,0.29021504,-0.29021532,0.69094130,-0.69094206,0.36703682,-0.36703727,1.00402471,-1.00402549,0.00000000,-0.00000000
-5.96398199,1.86070868,-1.86071010,0.00299004,-0.00299005,0.08651128,-0.08651141,0.54180759,-0.54180798,0.30027095,-0.30027119,0.71967815,-0.71967884,0.37852778,-0.37852820,1.03438299,-1.03438363,0.00000000,-0.00000000
-5.95797899,1.91018848,-1.91018967,0.00338412,-0.00338413,0.09002670,-0.09002682,0.55671067,-0.55671099,0.30935648,-0.30935668,0.74585471,-0.74585531,0.38866508,-0.38866547,1.06099756,-1.06099808,0.00000000,-0.00000000
-5.95197599,1.95256381,-1.95256478,0.00381813,-0.00381814,0.09319377,-0.09319390,0.56957466,-0.56957492,0.31741830,-0.31741847,0.76911162,-0.76911213,0.39738315,-0.39738351,1.08364201,-1.08364239,0.00000000,-0.00000000
-5.94597299,1.98756776,-1.98756850,0.00429217,-0.00429218,0.09597928,-0.09597940,0.58026120,-0.58026138,0.32442228,-0.32442241,0.78912968,-0.78913009,0.40464983,-0.40465016,1.10215681,-1.10215705,0.00000000,-0.00000000
-5.93996998,2.01506919,-2.01506970,0.00480540,-0.00480541,0.09835881,-0.09835892,0.58866376,-0.58866387,0.33035324,-0.33035333,0.80563895,-0.80563925,0.41046861,-0.41046892,1.11645263,-1.11645273,0.00000000,-0.00000000
-5.93396698,2.03507517,-2.03507546,0.00535595,-0.00535596,0.10031793,-0.10031804,0.59471044,-0.59471048,0.33521405,-0.33521409,0.81842673,-0.81842692,0.41488004,-0.41488033,1.12651144,-1.12651141,0.00000000,-0.00000000
-5.92796398,2.04772915,-2.04772924,0.00594088,-0.00594090,0.10185309,-0.10185320,0.59836579,-0.59836576,0.33902395,-0.33902396,0.82734396,-0.82734404,0.41796188,-0.41796215,1.13238554,-1.13238537,0.00000000,-0.00000000
-5.92196098,2.05330496,-2.05330486,0.00655606,-0.00655607,0.10297218,-0.10297229,0.59963158,-0.59963147,0.34181641,-0.34181639,0.83230977,-0.83230975,0.41982818,-0.41982844,1.13419436,-1.13419407,0.00000000,-0.00000000
-5.91595798,2.05219678,-2.05219652,0.00719618,-0.00719619,0.10369471,-0.10369482,0.59854645,-0.59854627,0.34363638,-0.34363633,0.83331393,-0.83331379,0.42062710,-0.42062737,1.13211933,-1.13211893,0.00000000,-0.00000000
-5.90995498,2.04490550,-2.04490510,0.00785478,-0.00785479,0.10405161,-0.10405172,0.59518453,-0.59518429,0.34453738,-0.34453730,0.83041702,-0.83041678,0.42053759,-0.42053787,1.12639689,-1.12639639,0.00000000,-0.00000000
-5.90395198,2.03202198,-2.03202147,0.00852430,-0.00852431,0.10408456,-0.10408468,0.58965292,-0.58965262,0.34457834,-0.34457823,0.82374850,-0.82374816,0.41976486,-0.41976517,1.11731009,-1.11730949,0.00000000,-0.00000000
