energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.92796398,2.50267501,-2.50263095,0.00542093,-0.00542086,0.36856020,-0.36854847,0.01468752,-0.01468740,0.00000000,-0.00000000,1.14581419,-1.14579397,0.83706696,-0.83704626,0.01237945,-0.01237929,1.03092321,-1.03091252
-5.92196098,2.59914788,-2.59910439,0.00583711,-0.00583703,0.38984584,-0.38983438,0.01510697,-0.01510686,0.00000000,-0.00000000,1.20504020,-1.20502039,0.86812371,-0.86810332,0.01298973,-0.01298957,1.06488857,-1.06487789
-5.91595798,2.69327514,-2.69323306,0.00628791,-0.00628781,0.41049400,-0.41048305,0.01551789,-0.01551778,0.00000000,-0.00000000,1.26286790,-1.26284879,0.89806509,-0.89804544,0.01360819,-0.01360803,1.09833222,-1.09832178
-5.90995498,2.78335939,-2.78331961,0.00676829,-0.00676818,0.43011084,-0.43010063,0.01591478,-0.01591468,0.00000000,-0.00000000,1.31848103,-1.31846292,0.92623139,-0.92621290,0.01422574,-0.01422558,1.13072247,-1.13071245
-5.90395198,2.86771200,-2.86767535,0.00727304,-0.00727291,0.44830689,-0.44829765,0.01629188,-0.01629178,0.00000000,-0.00000000,1.37105302,-1.37103621,0.95197678,-0.95195986,0.01483321,-0.01483306,1.16152217,-1.16151279
-5.89794897,2.94469505,-2.94466234,0.00779689,-0.00779676,0.46470795,-0.46469990,0.01664326,-0.01664317,0.00000000,-0.00000000,1.41976568,-1.41975045,0.97468718,-0.97467222,0.01542159,-0.01542144,1.19020039,-1.19019183
-5.89194597,3.01276462,-3.01273658,0.00833475,-0.00833461,0.47896608,-0.47895940,0.01696297,-0.01696289,0.00000000,-0.00000000,1.46382906,-1.46381570,0.99379788,-0.99378523,0.01598224,-0.01598210,1.21624504,-1.21623750
-5.88594297,3.07051374,-3.07049100,0.00888180,-0.00888166,0.49076995,-0.49076482,0.01724515,-0.01724508,0.00000000,-0.00000000,1.50250207,-1.50249080,1.00881032,-1.00880028,0.01650720,-0.01650707,1.23917619,-1.23916982
-5.87993997,3.11671354,-3.11669664,0.00943377,-0.00943363,0.49985450,-0.49985106,0.01748418,-0.01748412,0.00000000,-0.00000000,1.53511282,-1.53510387,1.01930743,-1.01930024,0.01698937,-0.01698925,1.25855950,-1.25855445
-5.87393697,3.15035097,-3.15034031,0.00998706,-0.00998691,0.50600924,-0.50600757,0.01767488,-0.01767485,0.00000000,-0.00000000,1.56107827,-1.56107181,1.02496684,-1.02496267,0.01742281,-0.01742270,1.27401937,-1.27401576
