energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,5.23813583,0.01137322,0.83154651,0.09271295,2.35446757,1.61354047,0.54924268,1.04133623,1.00961534
-5.99399700,5.24228508,0.01149405,0.81791269,0.09422123,2.37288342,1.65647498,0.56241614,1.02264926,0.96928742
-5.98799400,5.24822105,0.01162870,0.80866957,0.09543570,2.38731259,1.69558099,0.57460452,1.00838597,0.93413282
-5.98199100,5.25570562,0.01177544,0.80374152,0.09635682,2.39776980,1.73016162,0.58574087,0.99865928,0.90440884
-5.97598799,5.26468142,0.01193306,0.80307048,0.09699610,2.40436592,1.75958160,0.59578340,0.99361466,0.88032554
-5.96998499,5.27527646,0.01210078,0.80661324,0.09737613,2.40731265,1.78329073,0.60471642,0.99342290,0.86204305
-5.96398199,5.28780320,0.01227828,0.81433816,0.09753021,2.40692440,1.80084569,0.61255048,0.99827231,0.84967025
-5.95797899,5.30275128,0.01246561,0.82622118,0.09750168,2.40361689,1.81192883,0.61932159,1.00836058,0.84326474
-5.95197599,5.32077354,0.01266317,0.84224145,0.09734285,2.39790208,1.81636311,0.62508972,1.02388630,0.84283364
-5.94597299,5.34266521,0.01287166,0.86237652,0.09711367,2.39037925,1.81412220,0.62993639,1.04504032,0.84833513
-5.93996998,5.36933642,0.01309201,0.88659709,0.09688014,2.38172247,1.80533525,0.63396167,1.07199693,0.85968032
-5.93396698,5.40177866,0.01332537,0.91486174,0.09671244,2.37266437,1.79028596,0.63728063,1.10490505,0.87673534
-5.92796398,5.44102614,0.01357301,0.94711134,0.09668302,2.36397713,1.76940582,0.64001932,1.14387942,0.89932333
-5.92196098,5.48811317,0.01383632,0.98326372,0.09686446,2.35645085,1.74326182,0.64231065,1.18899201,0.92722633
-5.91595798,5.54402926,0.01411667,1.02320841,0.09732743,2.35087043,1.71253919,0.64429004,1.24026376,0.96018690
-5.90995498,5.60967332,0.01441543,1.06680179,0.09813853,2.34799168,1.67801980,0.64609132,1.29765680,0.99790960
-5.90395198,5.68580892,0.01473382,1.11386290,0.09935831,2.34851746,1.64055726,0.64784268,1.36106740,1.04006226
-5.89794897,5.77302220,0.01507290,1.16416985,0.10103938,2.35307499,1.60104980,0.64966313,1.43031976,1.08627726
-5.89194597,5.87168413,0.01543347,1.21745726,0.10322473,2.36219491,1.56041216,0.65165918,1.50516099,1.13615287
-5.88594297,5.98191856,0.01581598,1.27341464,0.10594618,2.37629308,1.51954757,0.65392209,1.58525737,1.18925485
-5.87993997,6.10357718,0.01622049,1.33168596,0.10922321,2.39565562,1.47932118,0.65652554,1.67019210,1.24511840
-5.87393697,6.23622262,0.01664659,1.39187044,0.11306203,2.42042781,1.44053582,0.65952382,1.75946472,1.30325062
-5.86793397,6.37912012,0.01709336,1.45352450,0.11745487,2.45060725,1.40391110,0.66295046,1.85249237,1.36313357
-5.86193097,6.53123826,0.01755928,1.51616507,0.12237981,2.48604140,1.37006659,0.66681738,1.94861289,1.42422795
-5.85592796,6.69125892,0.01804230,1.57927400,0.12780075,2.52642979,1.33950958,0.67111443,2.04708992,1.48597749
-5.84992496,6.85759627,0.01853971,1.64230366,0.13366792,2.57133079,1.31262766,0.67580947,2.14711998,1.54781397
-5.84392196,7.02842444,0.01904822,1.70468357,0.13991863,2.62017275,1.28968634,0.68084889,2.24784161,1.60916292
-5.83791896,7.20171334,0.01956397,1.76582803,0.14647849,2.67226941,1.27083141,0.68615866,2.34834638,1.66944990
-5.83191596,7.37527190,0.02008256,1.82514460,0.15326290,2.72683903,1.25609587,0.69164587,2.44769200,1.72810728
-5.82591296,7.54679778,0.02059908,1.88204333,0.16017896,2.78302700,1.24541074,0.69720096,2.54491709,1.78458153
-5.81990995,7.71393260,0.02110826,1.93594671,0.16712757,2.83993114,1.23861938,0.70270037,2.63905793,1.83834082
-5.81390695,7.87432144,0.02160450,1.98630018,0.17400590,2.89662929,1.23549432,0.70800996,2.72916656,1.88888301
-5.80790395,8.02567527,0.02208201,2.03258306,0.18070997,2.95220814,1.23575599,0.71298893,2.81433050,1.93574379
-5.80190095,8.16583496,0.02253490,2.07431993,0.18713741,3.00579276,1.23909243,0.71749427,2.89369341,1.97850501
-5.79589795,8.29283497,0.02295738,2.11109206,0.19319017,3.05657567,1.24517908,0.72138562,2.96647661,2.01680302
-5.78989495,8.40496521,0.02334385,2.14254899,0.19877732,3.10384464,1.25369797,0.72453047,3.03200091,2.05033681
-5.78389195,8.50082885,0.02368909,2.16841978,0.20381756,3.14700800,1.26435542,0.72680940,3.08970810,2.07887597
-5.77788894,8.57939429,0.02398839,2.18852371,0.20824159,3.18561664,1.27689749,0.72812116,3.13918162,2.10226806
-5.77188594,8.64003904,0.02423775,2.20278015,0.21199410,3.21938155,1.29112270,0.72838742,3.18016549,2.12044517
-5.76588294,8.68258358,0.02443400,2.21121701,0.21503533,3.24818597,1.30689139,0.72755687,3.21258075,2.13342941
-5.75987994,8.70731313,0.02457500,2.21397752,0.21734216,3.27209153,1.32413132,0.72560838,3.23653841,2.14133691
-5.75387694,8.71498572,0.02465969,2.21132461,0.21890863,3.29133756,1.34283936,0.72255308,3.25234803,2.14438005
-5.74787394,8.70682530,0.02468831,2.20364261,0.21974588,3.30633345,1.36307902,0.71843509,3.26052119,2.14286745
-5.74187094,8.68449871,0.02466239,2.19143566,0.21988149,3.31764380,1.38497403,0.71333088,3.26176875,2.13720148
-5.73586793,8.65007651,0.02458486,2.17532247,0.21935824,3.32596675,1.40869802,0.70734705,3.25699162,2.12787298
-5.72986493,8.60597780,0.02446001,2.15602721,0.21823235,3.33210597,1.43446094,0.70061676,3.24726437,2.11545295
-5.72386193,8.55490007,0.02429349,2.13436624,0.21657119,3.33693734,1.46249252,0.69329475,3.23381169,2.10058129
-5.71785893,8.49973606,0.02409219,2.11123085,0.21445072,3.34137145,1.49302361,0.68555126,3.21797786,2.08395251
-5.71185593,8.44347983,0.02386412,2.08756610,0.21195248,3.34631343,1.52626634,0.67756509,3.20118975,2.06629875
-5.70585293,8.38912549,0.02361817,2.06434629,0.20916065,3.35262191,1.56239372,0.66951610,3.18491422,2.04837045
