energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.36815623,-0.36543308,0.11064403,-0.13064356,0.03105110,-0.01955164,0.00051081,-0.00047842,0.04484251,-0.04072129,0.07328400,-0.06182685,0.05467656,-0.05308425,0.00278430,-0.00272188,0.17331876,-0.17568087
-5.99399700,0.37564161,-0.35803494,0.10805836,-0.12419236,0.03400319,-0.02107692,0.00055717,-0.00050801,0.04654021,-0.04039585,0.07729751,-0.06212992,0.05575724,-0.05206093,0.00282324,-0.00266651,0.17618482,-0.17180471
-5.98799400,0.38647482,-0.35320014,0.10648449,-0.11839066,0.03721464,-0.02287121,0.00060642,-0.00054296,0.04866621,-0.04039792,0.08213526,-0.06303707,0.05727339,-0.05138898,0.00288369,-0.00262891,0.18058806,-0.16912446
-5.98199100,0.40062057,-0.35128217,0.10593609,-0.11337173,0.04066887,-0.02494933,0.00065800,-0.00058338,0.05121415,-0.04076751,0.08780530,-0.06462295,0.05920834,-0.05111292,0.00296473,-0.00261125,0.18651048,-0.16780750
-5.97598799,0.41797565,-0.35257025,0.10640675,-0.10924812,0.04434428,-0.02732186,0.00071120,-0.00062926,0.05416843,-0.04153696,0.09430190,-0.06695256,0.06153473,-0.05126672,0.00306492,-0.00261516,0.19390324,-0.16799051
-5.96998499,0.43837654,-0.35728417,0.10787271,-0.10611050,0.04821494,-0.02999472,0.00076525,-0.00068043,0.05750469,-0.04273017,0.10160597,-0.07007987,0.06421582,-0.05187307,0.00318233,-0.00264172,0.20269071,-0.16977728
-5.96398199,0.46160900,-0.36557176,0.11029623,-0.10402739,0.05225155,-0.03296888,0.00081926,-0.00073652,0.06119059,-0.04436202,0.10968566,-0.07404682,0.06720720,-0.05294304,0.00331471,-0.00269141,0.21277558,-0.17323779
-5.95797899,0.48741932,-0.37750885,0.11362921,-0.10304573,0.05642256,-0.03624025,0.00087231,-0.00079704,0.06518675,-0.04643807,0.11849732,-0.07888261,0.07045876,-0.05447615,0.00345952,-0.00276416,0.22404471,-0.17840854
-5.95197599,0.51552683,-0.39310164,0.11781711,-0.10319221,0.06069556,-0.03979983,0.00092341,-0.00086129,0.06944786,-0.04895446,0.12798658,-0.08460327,0.07391681,-0.05646079,0.00361410,-0.00285932,0.23637564,-0.18529420
-5.94597299,0.54563697,-0.41229146,0.12280277,-0.10447525,0.06503876,-0.04363411,0.00097158,-0.00092842,0.07392388,-0.05189813,0.13808968,-0.09121152,0.07752642,-0.05887508,0.00377579,-0.00297575,0.24964325,-0.19387025
