energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,3.35591071,1.05686946,0.89869929,0.00451964,0.05170137,0.03500726,2.11982327,0.48100790,0.16280199
-5.99399700,3.31763524,1.03830168,0.89039254,0.00470722,0.04991679,0.03481474,2.09896159,0.47529905,0.16028960
-5.98799400,3.27324850,1.01812486,0.87993415,0.00487965,0.04811126,0.03454045,2.07426526,0.46895967,0.15756127
-5.98199100,3.22316386,0.99661367,0.86740144,0.00503423,0.04630280,0.03418741,2.04596798,0.46204187,0.15464266
-5.97598799,3.16775842,0.97402948,0.85287254,0.00516846,0.04450726,0.03375826,2.01428093,0.45459106,0.15155528
-5.96998499,3.10737960,0.95061904,0.83642839,0.00528017,0.04273853,0.03325532,1.97939742,0.44664730,0.14831681
-5.96398199,3.04235585,0.92661438,0.81815549,0.00536755,0.04100870,0.03268067,1.94149988,0.43824702,0.14494163
-5.95797899,2.97301033,0.90223367,0.79814925,0.00542926,0.03932853,0.03203627,1.90076878,0.42942528,0.14144161
-5.95197599,2.89967626,0.87768290,0.77651749,0.00546443,0.03770776,0.03132414,1.85739252,0.42021806,0.13782705
-5.94597299,2.82271281,0.85315802,0.75338390,0.00547271,0.03615564,0.03054652,1.81157761,0.41066464,0.13410766
-5.93996998,2.74251997,0.82884724,0.72889102,0.00545431,0.03468131,0.02970603,1.76355825,0.40080983,0.13029360
-5.93396698,2.65955134,0.80493319,0.70320252,0.00540998,0.03329422,0.02880587,1.71360452,0.39070573,0.12639642
-5.92796398,2.57432368,0.78159471,0.67650448,0.00534096,0.03200439,0.02784987,1.66202850,0.38041317,0.12242992
-5.92196098,2.48742231,0.75900802,0.64900551,0.00524898,0.03082266,0.02684268,1.60918781,0.37000236,0.11841079
-5.91595798,2.39950173,0.73734707,0.62093558,0.00513618,0.02976074,0.02578972,1.55548609,0.35955306,0.11435905
-5.90995498,2.31128134,0.71678307,0.59254345,0.00500505,0.02883113,0.02469724,1.50137039,0.34915388,0.11029821
-5.90395198,2.22353596,0.69748307,0.56409294,0.00485832,0.02804694,0.02357228,1.44732530,0.33890101,0.10625521
-5.89794897,2.13708176,0.67960768,0.53585787,0.00469890,0.02742154,0.02242249,1.39386416,0.32889629,0.10226003
-5.89194597,2.05275810,0.66330802,0.50811617,0.00452977,0.02696810,0.02125610,1.34151765,0.31924470,0.09834512
-5.88594297,1.97140600,0.64872215,0.48114316,0.00435389,0.02669901,0.02008166,1.29082037,0.31005156,0.09454458
-5.87993997,1.89384461,0.63597098,0.45520447,0.00417414,0.02662523,0.01890791,1.24229597,0.30141929,0.09089315
-5.87393697,1.82084648,0.62515424,0.43054884,0.00399319,0.02675560,0.01774353,1.19644175,0.29344425,0.08742513
-5.86793397,1.75311323,0.61634647,0.40740118,0.00381348,0.02709615,0.01659699,1.15371326,0.28621356,0.08417324
