energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,3.90543044,0.01273749,0.27156856,1.29419185,1.50352050,1.75987874,0.00000000
-5.99399700,4.04593740,0.01301866,0.26714668,1.35815799,1.59157012,1.79777446,0.00000000
-5.98799400,4.19357465,0.01333576,0.26303724,1.42450002,1.68340583,1.83744873,0.00000000
-5.98199100,4.34547255,0.01368065,0.25910775,1.49218064,1.77779085,1.87770860,0.00000000
-5.97598799,4.49865261,0.01404409,0.25522353,1.56013178,1.87343674,1.91732905,0.00000000
-5.96998499,4.65010759,0.01441596,0.25125385,1.62727957,1.96903402,1.95508919,0.00000000
-5.96398199,4.79688073,0.01478560,0.24707755,1.69256932,2.06328289,1.98980762,0.00000000
-5.95797899,4.93614097,0.01514212,0.24258797,1.75498928,2.15492265,2.02037553,0.00000000
-5.95197599,5.06525129,0.01547467,0.23769698,1.81359257,2.24275859,2.04578642,0.00000000
-5.94597299,5.18182744,0.01577285,0.23233784,1.86751617,2.32568528,2.06516125,0.00000000
-5.93996998,5.28378523,0.01602697,0.22646696,1.91599656,2.40270543,2.07776833,0.00000000
-5.93396698,5.36937480,0.01622837,0.22006446,1.95838126,2.47294357,2.08303733,0.00000000
-5.92796398,5.43720136,0.01636962,0.21313361,1.99413622,2.53565434,2.08056731,0.00000000
-5.92196098,5.48623246,0.01644479,0.20569922,2.02284880,2.59022542,2.07012876,0.00000000
-5.91595798,5.51579247,0.01644954,0.19780520,2.04422676,2.63617544,2.05166002,0.00000000
-5.90995498,5.52554593,0.01638123,0.18951139,2.05809351,2.67314752,2.02525869,0.00000000
-5.90395198,5.51547153,0.01623894,0.18089005,2.06438026,2.70089945,1.99116872,0.00000000
-5.89794897,5.48582927,0.01602343,0.17202195,2.06311581,2.71929160,1.94976427,0.00000000
-5.89194597,5.43712319,0.01573705,0.16299264,2.05441487,2.72827370,1.90153107,0.00000000
-5.88594297,5.37006238,0.01538360,0.15388870,2.03846568,2.72787182,1.84704649,0.00000000
-5.87993997,5.28552266,0.01496813,0.14479455,2.01551773,2.71817659,1.78695917,0.00000000
-5.87393697,5.18451101,0.01449674,0.13578957,1.98587037,2.69933364,1.72196902,0.00000000
-5.86793397,5.06813454,0.01397634,0.12694591,1.94986288,2.67153690,1.65280849,0.00000000
-5.86193097,4.93757509,0.01341439,0.11832693,1.90786629,2.63502519,1.58022544,0.00000000
