energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,3.23179532,0.12561100,0.07479098,0.66000786,0.42471555,0.96952832,0.49493839,0.11864075,1.74641626
-5.99399700,3.17171591,0.12379527,0.07479210,0.65299765,0.42025085,0.95164436,0.47859246,0.11437462,1.71110686
-5.98799400,3.12358602,0.12279349,0.07485416,0.64867874,0.41745472,0.93823537,0.46418543,0.11036779,1.68209968
-5.98199100,3.08764248,0.12256604,0.07497730,0.64697992,0.41630087,0.92944130,0.45180622,0.10664999,1.65960604
-5.97598799,3.06385345,0.12305791,0.07515918,0.64776624,0.41673076,0.92532592,0.44149611,0.10324315,1.64368811
-5.96998499,3.05191749,0.12420021,0.07539491,0.65084198,0.41865430,0.92587568,0.43324842,0.10016098,1.63425657
-5.96398199,3.05126952,0.12591203,0.07567693,0.65595522,0.42195142,0.93099970,0.42700964,0.09740891,1.63107239
-5.95797899,3.06109366,0.12810259,0.07599506,0.66280395,0.42647423,0.94053072,0.42268190,0.09498416,1.63375264
-5.95197599,3.08034259,0.13067357,0.07633659,0.67104359,0.43204994,0.95422724,0.42012666,0.09287612,1.64178020
-5.94597299,3.10776283,0.13352162,0.07668644,0.68029557,0.43848435,0.97177662,0.41916940,0.09106693,1.65451697
-5.93996998,3.14192542,0.13654083,0.07702742,0.69015688,0.44556593,0.99279938,0.41960520,0.08953219,1.67122037
-5.93396698,3.18126096,0.13962533,0.07734058,0.70021032,0.45307034,1.01685454,0.42120489,0.08824189,1.69106239
-5.92796398,3.22409802,0.14267160,0.07760562,0.71003502,0.46076522,1.04344608,0.42372167,0.08716155,1.71315081
-5.92196098,3.26870391,0.14558084,0.07780143,0.71921711,0.46841526,1.07203039,0.42689786,0.08625327,1.73655177
-5.91595798,3.31332644,0.14826091,0.07790664,0.72736009,0.47578728,1.10202474,0.43047158,0.08547705,1.76031309
-5.90995498,3.35623561,0.15062816,0.07790028,0.73409467,0.48265527,1.13281664,0.43418326,0.08479195,1.78348768
-5.90395198,3.39576399,0.15260881,0.07776238,0.73908774,0.48880511,1.16377391,0.43778169,0.08415736,1.80515624
-5.89794897,3.43034473,0.15414012,0.07747472,0.74205027,0.49403912,1.19425545,0.44102945,0.08353413,1.82444872
-5.89194597,3.45854619,0.15517108,0.07702140,0.74274396,0.49817997,1.22362247,0.44370773,0.08288564,1.84056397
-5.88594297,3.47910248,0.15566287,0.07638954,0.74098628,0.50107419,1.25125000,0.44562037,0.08217871,1.85278711
-5.87993997,3.49093933,0.15558895,0.07556976,0.73665412,0.50259500,1.27653852,0.44659707,0.08138446,1.86050429
-5.87393697,3.49319469,0.15493482,0.07455675,0.72968566,0.50264461,1.29892556,0.44649582,0.08047892,1.86321462
-5.86793397,3.48523410,0.15369757,0.07334954,0.72008073,0.50115570,1.31789692,0.44520457,0.07944351,1.86053907
-5.86193097,3.46666070,0.15188520,0.07195189,0.70789961,0.49809245,1.33299738,0.44264216,0.07826541,1.85222645
-5.85592796,3.43731990,0.14951576,0.07037232,0.69326036,0.49345082,1.34384070,0.43875858,0.07693768,1.83815641
-5.84992496,3.39729910,0.14661644,0.06862423,0.67633493,0.48725828,1.35011856,0.43353471,0.07545935,1.81833968
-5.84392196,3.34692280,0.14322246,0.06672574,0.65734417,0.47957305,1.35160828,0.42698145,0.07383529,1.79291569
-5.83791896,3.28674325,0.13937609,0.06469952,0.63655200,0.47048278,1.34817902,0.41913855,0.07207597,1.76214781
-5.83191596,3.21752731,0.13512551,0.06257241,0.61425883,0.46010281,1.33979632,0.41007300,0.07019719,1.72641639
-5.82591296,3.14023966,0.13052381,0.06037505,0.59079465,0.44857400,1.32652459,0.39987710,0.06821961,1.68620985
-5.81990995,3.05602282,0.12562797,0.05814133,0.56651175,0.43606015,1.30852761,0.38866630,0.06616830,1.64211399
-5.81390695,2.96617426,0.12049788,0.05590784,0.54177744,0.42274510,1.28606663,0.37657672,0.06407211,1.59479974
-5.80790395,2.87212083,0.11519540,0.05371321,0.51696676,0.40882945,1.25949617,0.36376245,0.06196308,1.54500940
-5.80190095,2.77539080,0.10978348,0.05159740,0.49245542,0.39452693,1.22925751,0.35039258,0.05987573,1.49354172
-5.79589795,2.67758388,0.10432528,0.04960102,0.46861302,0.38006052,1.19586974,0.33664803,0.05784625,1.44123575
-5.78989495,2.58033929,0.09888329,0.04776452,0.44579657,0.36565824,1.15991874,0.32271798,0.05591174,1.38895388
-5.78389195,2.48530252,0.09351848,0.04612745,0.42434442,0.35154871,1.12204422,0.30879630,0.05410931,1.33756399
-5.77788894,2.39409105,0.08828948,0.04472764,0.40457060,0.33795657,1.08292511,0.29507753,0.05247522,1.28792131
-5.77188594,2.30825967,0.08325169,0.04360039,0.38675967,0.32509777,1.04326374,0.28175288,0.05104386,1.24084995
-5.76588294,2.22926603,0.07845647,0.04277771,0.37116191,0.31317483,1.00376930,0.26900607,0.04984692,1.19712475
-5.75987994,2.15843716,0.07395033,0.04228747,0.35798916,0.30237225,0.96514101,0.25700914,0.04891238,1.15745360
-5.75387694,2.09693791,0.06977417,0.04215270,0.34741107,0.29285210,0.92805151,0.24591848,0.04826364,1.12246093
-5.74787394,2.04574206,0.06596259,0.04239078,0.33955208,0.28475002,0.89313108,0.23587097,0.04791870,1.09267261
-5.74187094,2.00560716,0.06254326,0.04301286,0.33448891,0.27817165,0.86095311,0.22698054,0.04788945,1.06850289
-5.73586793,1.97705391,0.05953647,0.04402320,0.33224888,0.27318975,0.83202122,0.21933522,0.04818104,1.05024383
-5.72986493,1.96035096,0.05695473,0.04541870,0.33280900,0.26984204,0.80675851,0.21299480,0.04879145,1.03805748
-5.72386193,1.95550581,0.05480265,0.04718857,0.33609597,0.26812994,0.78549910,0.20798919,0.04971125,1.03197142
-5.71785893,1.96226238,0.05307690,0.04931414,0.34198712,0.26801818,0.76848225,0.20431760,0.05092357,1.03187763
-5.71185593,1.98010557,0.05176639,0.05176880,0.35031243,0.26943546,0.75584913,0.20194865,0.05240427,1.03753504
-5.70585293,2.00827289,0.05085265,0.05451823,0.36085756,0.27227608,0.74764215,0.20082130,0.05412240,1.04857574
-5.69984992,2.04577308,0.05031043,0.05752085,0.37336802,0.27640254,0.74380692,0.20084676,0.05604081,1.06451461
-5.69384692,2.09141132,0.05010839,0.06072840,0.38755441,0.28164911,0.74419659,0.20191116,0.05811705,1.08476232
-5.68784392,2.14382025,0.05021002,0.06408685,0.40309860,0.28782613,0.74857831,0.20387909,0.06030447,1.10864127
-5.68184092,2.20149612,0.05057466,0.06753755,0.41966085,0.29472513,0.75664166,0.20659777,0.06255336,1.13540387
-5.67583792,2.26283880,0.05115862,0.07101846,0.43688768,0.30212435,0.76800870,0.20990174,0.06481241,1.16425283
-5.66983492,2.32619456,0.05191636,0.07446568,0.45442022,0.30979472,0.78224531,0.21361792,0.06703001,1.19436260
-5.66383192,2.38990012,0.05280173,0.07781504,0.47190291,0.31750600,0.79887347,0.21757083,0.06915576,1.22490144
-5.65782891,2.45232670,0.05376913,0.08100379,0.48899220,0.32503283,0.81738437,0.22158788,0.07114185,1.25505332
-5.65182591,2.51192254,0.05477468,0.08397228,0.50536504,0.33216065,0.83725173,0.22550434,0.07294430,1.28403902
-5.64582291,2.56725259,0.05577731,0.08666565,0.52072680,0.33869109,0.85794529,0.22916809,0.07452419,1.31113567
