energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.48305426,0.01617956,0.00404456,0.33676500,0.15009247,0.00554238,0.32047655,0.21357533,0.02932080
-5.99399700,0.48517905,0.01539497,0.00466561,0.33463009,0.15185903,0.00561864,0.32121730,0.20706489,0.03004901
-5.98799400,0.49095908,0.01459626,0.00537403,0.33552246,0.15443093,0.00575414,0.32443139,0.20082218,0.03121107
-5.98199100,0.50048443,0.01378691,0.00617012,0.33950539,0.15784944,0.00594920,0.33017973,0.19491357,0.03280706
-5.97598799,0.51382209,0.01297141,0.00705279,0.34662490,0.16214922,0.00620358,0.33850863,0.18941605,0.03483341
-5.96998499,0.53100323,0.01215516,0.00801933,0.35690252,0.16735396,0.00651626,0.34944159,0.18441383,0.03728193
-5.96398199,0.55201064,0.01134434,0.00906508,0.37032800,0.17347223,0.00688535,0.36297110,0.17999465,0.04013887
-5.95797899,0.57676691,0.01054572,0.01018331,0.38685225,0.18049346,0.00730794,0.37905102,0.17624579,0.04338409
-5.95197599,0.60512417,0.00976653,0.01136504,0.40638106,0.18838456,0.00778000,0.39758976,0.17325003,0.04699039
-5.94597299,0.63685593,0.00901422,0.01259902,0.42876976,0.19708716,0.00829633,0.41844489,0.17108171,0.05092303
-5.93996998,0.67165173,0.00829634,0.01387174,0.45381941,0.20651589,0.00885054,0.44141939,0.16980308,0.05513950
-5.93396698,0.70911510,0.00762033,0.01516759,0.48127477,0.21655778,0.00943506,0.46626011,0.16946113,0.05958963
-5.92796398,0.74876537,0.00699336,0.01646911,0.51082446,0.22707283,0.01004124,0.49265864,0.17008510,0.06421592
-5.92196098,0.79004337,0.00642225,0.01775734,0.54210341,0.23789603,0.01065946,0.52025463,0.17168469,0.06895432
-5.91595798,0.83232136,0.00591329,0.01901224,0.57469778,0.24884067,0.01127935,0.54864194,0.17424914,0.07373527
-5.90995498,0.87491676,0.00547221,0.02021323,0.60815240,0.25970282,0.01188999,0.57737720,0.17774717,0.07848513
-5.90395198,0.91710948,0.00510409,0.02133981,0.64198042,0.27026711,0.01248025,0.60599076,0.18212783,0.08312783
-5.89794897,0.95816218,0.00481329,0.02237216,0.67567507,0.28031322,0.01303901,0.63399957,0.18732211,0.08758686
-5.89194597,0.99734277,0.00460345,0.02329185,0.70872303,0.28962321,0.01355557,0.66092162,0.19324536,0.09178732
