energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down
-6.00000000,1.70491441,-1.70491379,0.00637348,-0.00637347,0.09941278,-0.09941269,0.63948600,-0.63948583,0.39866394,-0.39866369,0.00713515,-0.00713514,0.91284202,-0.91284177,0.44435559,-0.44435551,0.06900974,-0.06900972
-5.99399700,1.81094525,-1.81094462,0.00748093,-0.00748093,0.10906641,-0.10906632,0.69058734,-0.69058716,0.42013493,-0.42013468,0.00781066,-0.00781066,0.96750334,-0.96750308,0.47338977,-0.47338969,0.07504453,-0.07504451
-5.98799400,1.92013255,-1.92013192,0.00873138,-0.00873137,0.11907618,-0.11907609,0.74384372,-0.74384352,0.44166541,-0.44166516,0.00854287,-0.00854287,1.02392230,-1.02392204,0.50355947,-0.50355939,0.08151532,-0.08151530
-5.98199100,2.03192683,-2.03192619,0.01013075,-0.01013074,0.12934894,-0.12934885,0.79893657,-0.79893636,0.46309020,-0.46308995,0.00933135,-0.00933134,1.08187824,-1.08187798,0.53476089,-0.53476081,0.08840681,-0.08840679
-5.97598799,2.14565282,-2.14565219,0.01168304,-0.01168303,0.13977695,-0.13977686,0.85546641,-0.85546619,0.48422710,-0.48422685,0.01017485,-0.01017484,1.14108434,-1.14108408,0.56684888,-0.56684880,0.09569190,-0.09569187
-5.96998499,2.26050139,-2.26050077,0.01338979,-0.01338978,0.15023952,-0.15023943,0.91295134,-0.91295111,0.50487805,-0.50487780,0.01107118,-0.01107117,1.20118038,-1.20118012,0.59963308,-0.59963301,0.10333071,-0.10333068
-5.96398199,2.37552757,-2.37552696,0.01524967,-0.01524966,0.16060536,-0.16060527,0.97082886,-0.97082862,0.52483150,-0.52483127,0.01201696,-0.01201695,1.26172844,-1.26172819,0.63287576,-0.63287569,0.11127006,-0.11127003
-5.95797899,2.48965540,-2.48965481,0.01725799,-0.01725798,0.17073567,-0.17073560,1.02846134,-1.02846110,0.54386624,-0.54386601,0.01300754,-0.01300753,1.32221218,-1.32221193,0.66629160,-0.66629153,0.11944345,-0.11944342
-5.95197599,2.60169035,-2.60168978,0.01940636,-0.01940635,0.18048787,-0.18048780,1.08514545,-1.08514520,0.56175640,-0.56175620,0.01403685,-0.01403685,1.38204013,-1.38203988,0.69954972,-0.69954967,0.12777157,-0.12777154
-5.94597299,2.71033923,-2.71033870,0.02168241,-0.02168240,0.18971981,-0.18971975,1.14012534,-1.14012509,0.57827785,-0.57827766,0.01509736,-0.01509735,1.44055319,-1.44055295,0.73227807,-0.73227802,0.13616339,-0.13616336
-5.93996998,2.81423754,-2.81423705,0.02406957,-0.02406955,0.19829446,-0.19829441,1.19260955,-1.19260930,0.59321545,-0.59321527,0.01618003,-0.01618002,1.49703634,-1.49703612,0.76407003,-0.76406998,0.14451786,-0.14451782
-5.93396698,2.91198338,-2.91198293,0.02654701,-0.02654699,0.20608479,-0.20608475,1.24179099,-1.24179074,0.60637115,-0.60637100,0.01727435,-0.01727433,1.55073439,-1.55073418,0.79449333,-0.79449330,0.15272607,-0.15272604
-5.92796398,3.00217688,-3.00217648,0.02908974,-0.02908973,0.21297870,-0.21297866,1.28686942,-1.28686918,0.61757251,-0.61757238,0.01836846,-0.01836845,1.60087118,-1.60087099,0.82310091,-0.82310088,0.16067398,-0.16067395
