energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,3.78140070,0.82707981,2.13067134,0.00071393,0.46469910,1.37664178,0.60527000,0.02616016,0.41755124
-5.99399700,3.76377339,0.82879856,2.11294217,0.00072781,0.46220729,1.38099302,0.60743477,0.02656250,0.41327942
-5.98799400,3.74061852,0.82747063,2.09193073,0.00073752,0.45940255,1.38278970,0.60878867,0.02702314,0.40830067
-5.98199100,3.71104510,0.82277797,2.06724315,0.00074283,0.45618365,1.38162440,0.60913491,0.02752694,0.40252879
-5.97598799,3.67428931,0.81449610,2.03857007,0.00074363,0.45244553,1.37712335,0.60829343,0.02805671,0.39589759
-5.96998499,3.62973962,0.80249931,2.00569685,0.00073995,0.44808379,1.36896012,0.60610635,0.02859375,0.38836341
-5.96398199,3.57695530,0.78676247,1.96850958,0.00073194,0.44299909,1.35686766,0.60244244,0.02911842,0.37990658
-5.95797899,3.51567808,0.76735905,1.92699697,0.00071991,0.43710134,1.34064821,0.59720053,0.02961080,0.37053184
-5.95197599,3.44583697,0.74445579,1.88124849,0.00070428,0.43031342,1.32018065,0.59031190,0.03005130,0.36026777
-5.94597299,3.36754679,0.71830434,1.83144910,0.00068562,0.42257445,1.29542522,0.58174148,0.03042123,0.34916534
-5.93996998,3.28110094,0.68923011,1.77787131,0.00066457,0.41384228,1.26642523,0.57148814,0.03070347,0.33729574
-5.93396698,3.18695952,0.65761919,1.72086521,0.00064189,0.40409548,1.23330619,0.55958395,0.03088292,0.32474757
-5.92796398,3.08573349,0.62390387,1.66084703,0.00061837,0.39333445,1.19627218,0.54609273,0.03094702,0.31162376
-5.92196098,2.97816613,0.58854733,1.59828706,0.00059491,0.38158183,1.15560001,0.53110782,0.03088608,0.29803814
-5.91595798,2.86511266,0.55202839,1.53369740,0.00057238,0.36888228,1.11163139,0.51474942,0.03069361,0.28411208
-5.90995498,2.74751876,0.51482680,1.46761992,0.00055171,0.35530149,1.06476351,0.49716132,0.03036647,0.26997113
-5.90395198,2.62639892,0.47740966,1.40061492,0.00053377,0.34092467,1.01543854,0.47850756,0.02990496,0.25574193
-5.89794897,2.50281496,0.44021946,1.33325055,0.00051944,0.32585444,0.96413239,0.45896862,0.02931275,0.24154933
-5.89194597,2.37785520,0.40366404,1.26609316,0.00050950,0.31020832,0.91134318,0.43873764,0.02859676,0.22751394
-5.88594297,2.25261463,0.36810880,1.19969859,0.00050468,0.29411588,0.85757981,0.41801651,0.02776690,0.21374996
-5.87993997,2.12817606,0.33387107,1.13460424,0.00050561,0.27771559,0.80335097,0.39701189,0.02683566,0.20036343
-5.87393697,2.00559264,0.30121683,1.07132204,0.00051280,0.26115156,0.74915478,0.37593132,0.02581777,0.18745081
-5.86793397,1.88587153,0.27035958,1.01033206,0.00052664,0.24457019,0.69546943,0.35497942,0.02472962,0.17509788
-5.86193097,1.76995921,0.24146106,0.95207679,0.00054736,0.22811693,0.64274494,0.33435421,0.02358877,0.16337898
-5.85592796,1.65872824,0.21463377,0.89695610,0.00057506,0.21193313,0.59139615,0.31424371,0.02241337,0.15235642
-5.84992496,1.55296595,0.18994481,0.84532299,0.00060967,0.19615320,0.54179713,0.29482277,0.02122160,0.14208028
-5.84392196,1.45336524,0.16742075,0.79748018,0.00065097,0.18090206,0.49427688,0.27625044,0.02003116,0.13258831
-5.83791896,1.36051778,0.14705327,0.75367773,0.00069855,0.16629301,0.44911660,0.25866766,0.01885875,0.12390612
-5.83191596,1.27490997,0.12880518,0.71411194,0.00075188,0.15242611,0.40654827,0.24219574,0.01771968,0.11604758
-5.82591296,1.19692187,0.11261659,0.67892565,0.00081025,0.13938699,0.36675461,0.22693537,0.01662748,0.10901545
-5.81990995,1.12682946,0.09841095,0.64821016,0.00087284,0.12724627,0.32987032,0.21296641,0.01559371,0.10280222
-5.81390695,1.06481008,0.08610072,0.62200876,0.00093871,0.11605948,0.29598444,0.20034848,0.01462776,0.09739121
-5.80790395,1.01095120,0.07559261,0.60032206,0.00100684,0.10586752,0.26514374,0.18912233,0.01373685,0.09275785
-5.80190095,0.96526216,0.06679215,0.58311471,0.00107614,0.09669750,0.23735698,0.17931187,0.01292600,0.08887125
-5.79589795,0.92768836,0.05960757,0.57032357,0.00114551,0.08856413,0.21259968,0.17092694,0.01219825,0.08569582
-5.78989495,0.89812738,0.05395290,0.56186674,0.00121387,0.08147125,0.19081946,0.16396658,0.01155481,0.08319315
-5.78389195,0.87644612,0.04975034,0.55765306,0.00128018,0.07541372,0.17194148,0.15842264,0.01099538,0.08132387
-5.77788894,0.86249796,0.04693178,0.55759150,0.00134352,0.07037927,0.15587383,0.15428360,0.01051844,0.08004957
-5.77188594,0.85613890,0.04543961,0.56159968,0.00140308,0.06635051,0.14251274,0.15153828,0.01012160,0.07933452
-5.76588294,0.85724159,0.04522678,0.56961109,0.00145825,0.06330661,0.13174722,0.15017934,0.00980196,0.07914738
-5.75987994,0.86570622,0.04625617,0.58158010,0.00150860,0.06122494,0.12346304,0.15020614,0.00955643,0.07946248
-5.75387694,0.88146720,0.04849934,0.59748444,0.00155395,0.06008224,0.11754598,0.15162696,0.00938202,0.08026084
-5.74787394,0.90449509,0.05193478,0.61732462,0.00159436,0.05985549,0.11388402,0.15446020,0.00927607,0.08153072
-5.74187094,0.93479318,0.05654565,0.64111999,0.00163014,0.06052229,0.11236858,0.15873454,0.00923647,0.08326775
-5.73586793,0.97238851,0.06231713,0.66890155,0.00166186,0.06206079,0.11289479,0.16448786,0.00926171,0.08547443
-5.72986493,1.01731767,0.06923358,0.70070157,0.00169032,0.06444913,0.11536067,0.17176498,0.00935095,0.08815928
-5.72386193,1.06960775,0.07727545,0.73654043,0.00171655,0.06766455,0.11966561,0.18061416,0.00950394,0.09133532
-5.71785893,1.12925342,0.08641631,0.77641147,0.00174173,0.07168202,0.12570793,0.19108260,0.00972091,0.09501827
-5.71185593,1.19619146,0.09661986,0.82026451,0.00176720,0.07647270,0.13338207,0.20321093,0.01000236,0.09922424
-5.70585293,1.27027402,0.10783729,0.86798924,0.00179434,0.08200219,0.14257543,0.21702717,0.01034884,0.10396730
-5.69984992,1.35124254,0.12000500,0.91939942,0.00182459,0.08822879,0.15316511,0.23254026,0.01076064,0.10925686
-5.69384692,1.43870400,0.13304288,0.97421930,0.00185932,0.09510180,0.16501498,0.24973362,0.01123748,0.11509504
-5.68784392,1.53211133,0.14685324,1.03207309,0.00189981,0.10256014,0.17797319,0.26855909,0.01177826,0.12147432
-5.68184092,1.63074969,0.16132052,1.09247885,0.00194717,0.11053128,0.19187036,0.28893167,0.01238070,0.12837538
-5.67583792,1.73373017,0.17631187,1.15484740,0.00200229,0.11893066,0.20651888,0.31072538,0.01304111,0.13576548
-5.66983492,1.83999196,0.19167861,1.21848707,0.00206582,0.12766172,0.22171311,0.33377056,0.01375425,0.14359744
-5.66383192,1.94831380,0.20725867,1.28261443,0.00213810,0.13661650,0.23723102,0.35785307,0.01451310,0.15180926
-5.65782891,2.05733507,0.22287986,1.34637125,0.00221917,0.14567701,0.25283695,0.38271532,0.01530894,0.16032453
-5.65182591,2.16558617,0.23836411,1.40884716,0.00230878,0.15471718,0.26828566,0.40805955,0.01613126,0.16905362
-5.64582291,2.27152752,0.25353229,1.46910732,0.00240637,0.16360547,0.28332754,0.43355314,0.01696802,0.17789572
-5.63981991,2.37359592,0.26820981,1.52622428,0.00251114,0.17220804,0.29771470,0.45883599,0.01780581,0.18674152
-5.63381691,2.47025637,0.28223245,1.57931248,0.00262210,0.18039235,0.31120789,0.48352979,0.01863017,0.19547663
-5.62781391,2.56005746,0.29545251,1.62756408,0.00273809,0.18803103,0.32358377,0.50724872,0.01942598,0.20398555
-5.62181091,2.64168767,0.30774484,1.67028435,0.00285793,0.19500588,0.33464229,0.52961135,0.02017795,0.21215592
-5.61580790,2.71403013,0.31901263,1.70692489,0.00298045,0.20121186,0.34421387,0.55025314,0.02087103,0.21988307
-5.60980490,2.77621299,0.32919254,1.73711308,0.00310461,0.20656079,0.35216590,0.56883905,0.02149098,0.22707450
-5.60380190,2.82765307,0.33825912,1.76067603,0.00322959,0.21098466,0.35840839,0.58507567,0.02202487,0.23365413
-5.59779890,2.86809022,0.34622803,1.77765779,0.00335488,0.21443831,0.36289824,0.59872230,0.02246151,0.23956612
-5.59179590,2.89761044,0.35315812,1.78832860,0.00348036,0.21690140,0.36564218,0.60960043,0.02279196,0.24477806
-5.58579290,2.91665632,0.35915197,1.79318548,0.00360634,0.21837955,0.36669782,0.61760118,0.02300982,0.24928327
-5.57978989,2.92602357,0.36435486,1.79294370,0.00373364,0.21890445,0.36617303,0.62269022,0.02311154,0.25310218
-5.57378689,2.92684351,0.36895210,1.78851921,0.00386357,0.21853313,0.36422344,0.62490998,0.02309662,0.25628259
-5.56778389,2.92055148,0.37316471,1.78100235,0.00399796,0.21734612,0.36104807,0.62437890,0.02296764,0.25889871
-5.56178089,2.90884222,0.37724349,1.77162375,0.00413909,0.21544478,0.35688340,0.62128779,0.02273023,0.26104912
-5.55577789,2.89361357,0.38146155,1.76171345,0.00428960,0.21294780,0.35199587,0.61589335,0.02239290,0.26285352
-5.54977489,2.87690068,0.38610562,1.75265489,0.00445247,0.20998695,0.34667323,0.60850915,0.02196681,0.26444843
-5.54377189,2.86080292,0.39146626,1.74583528,0.00463078,0.20670238,0.34121504,0.59949444,0.02146533,0.26598204
-5.53776888,2.84740664,0.39782733,1.74259440,0.00482766,0.20323748,0.33592254,0.58924126,0.02090367,0.26760831
-5.53176588,2.83870659,0.40545514,1.74417386,0.00504604,0.19973370,0.33108847,0.57816047,0.02029830,0.26948063
-5.52576288,2.83652936,0.41458747,1.75166860,0.00528853,0.19632542,0.32698707,0.56666724,0.01966642,0.27174525
-5.51975988,2.84246181,0.42542316,1.76598285,0.00555720,0.19313503,0.32386470,0.55516667,0.01902538,0.27453482
