energy_ev,total_up,Ag_p_up,Ag_d_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.07011700,0.57376460,1.21112658,0.01286639,0.00000000,0.02059067,0.03859273,0.01317521,0.55859799
-5.99399700,2.10735998,0.58667484,1.23838282,0.01305982,0.00000000,0.02122648,0.04082861,0.01351333,0.56313636
-5.98799400,2.14658415,0.60031676,1.26697344,0.01326739,0.00000000,0.02187535,0.04310144,0.01386013,0.56816519
-5.98199100,2.18753213,0.61466288,1.29658451,0.01348992,0.00000000,0.02253285,0.04539034,0.01421443,0.57373431
-5.97598799,2.22984114,0.62963556,1.32686694,0.01372687,0.00000000,0.02319283,0.04767130,0.01457400,0.57984872
-5.96998499,2.27304894,0.64510760,1.35744224,0.01397630,0.00000000,0.02384757,0.04991760,0.01493564,0.58646859
-5.96398199,2.31660663,0.66090557,1.38791082,0.01423494,0.00000000,0.02448797,0.05210034,0.01529533,0.59351204
-5.95797899,2.35989782,0.67681583,1.41786262,0.01449839,0.00000000,0.02510393,0.05418916,0.01564846,0.60086054
-5.95197599,2.40226393,0.69259306,1.44688992,0.01476131,0.00000000,0.02568469,0.05615314,0.01599018,0.60836671
-5.94597299,2.44303422,0.70797083,1.47460195,0.01501770,0.00000000,0.02621937,0.05796168,0.01631564,0.61586411
-5.93996998,2.48155918,0.72267366,1.50064052,0.01526124,0.00000000,0.02669742,0.05958564,0.01662044,0.62317837
-5.93396698,2.51724529,0.73642999,1.52469601,0.01548562,0.00000000,0.02710920,0.06099829,0.01690091,0.63013902
-5.92796398,2.54958919,0.74898527,1.54652246,0.01568490,0.00000000,0.02744645,0.06217643,0.01715450,0.63659142
-5.92196098,2.57820888,0.76011449,1.56595108,0.01585381,0.00000000,0.02770274,0.06310127,0.01738004,0.64240779
-5.91595798,2.60286995,0.76963341,1.58290075,0.01598809,0.00000000,0.02787383,0.06375930,0.01757800,0.64749692
-5.90995498,2.62350480,0.77740775,1.59738493,0.01608472,0.00000000,0.02795794,0.06414289,0.01775064,0.65181173
-5.90395198,2.64022336,0.78336004,1.60951389,0.01614207,0.00000000,0.02795592,0.06425078,0.01790203,0.65535422
-5.89794897,2.65331400,0.78747336,1.61949197,0.01616004,0.00000000,0.02787121,0.06408827,0.01803807,0.65817745
-5.89194597,2.66323438,0.78979218,1.62760949,0.01614009,0.00000000,0.02770973,0.06366715,0.01816629,0.66038448
-5.88594297,2.67059209,0.79041988,1.63422951,0.01608514,0.00000000,0.02747961,0.06300545,0.01829561,0.66212399
-5.87993997,2.67611587,0.78951337,1.63976990,0.01599947,0.00000000,0.02719082,0.06212688,0.01843600,0.66358318
-5.87393697,2.68061891,0.78727500,1.64468142,0.01588850,0.00000000,0.02685468,0.06106010,0.01859805,0.66497794
-5.86793397,2.68495602,0.78394237,1.64942317,0.01575850,0.00000000,0.02648328,0.05983782,0.01879246,0.66654109
-5.86193097,2.68997709,0.77977653,1.65443648,0.01561636,0.00000000,0.02608891,0.05849574,0.01902955,0.66850928
-5.85592796,2.69647941,0.77504937,1.66011898,0.01546916,0.00000000,0.02568345,0.05707146,0.01931869,0.67110926
-5.84992496,2.70516183,0.77003097,1.66680024,0.01532391,0.00000000,0.02527777,0.05560332,0.01966778,0.67454434
-5.84392196,2.71658329,0.76497754,1.67472074,0.01518719,0.00000000,0.02488120,0.05412935,0.02008278,0.67898187
-5.83791896,2.73112828,0.76012068,1.68401519,0.01506488,0.00000000,0.02450112,0.05268618,0.02056733,0.68454234
-5.83191596,2.74898145,0.75565854,1.69470168,0.01496186,0.00000000,0.02414263,0.05130821,0.02112236,0.69129089
-5.82591296,2.77011279,0.75174934,1.70667722,0.01488189,0.00000000,0.02380831,0.05002685,0.02174600,0.69923157
-5.81990995,2.79427444,0.74850743,1.71972013,0.01482742,0.00000000,0.02349822,0.04886996,0.02243338,0.70830480
-5.81390695,2.82100933,0.74600206,1.73349930,0.01479959,0.00000000,0.02320994,0.04786149,0.02317681,0.71838800
-5.80790395,2.84967123,0.74425885,1.74758980,0.01479818,0.00000000,0.02293877,0.04702130,0.02396588,0.72929965
-5.80190095,2.87945505,0.74326351,1.76149410,0.01482174,0.00000000,0.02267809,0.04636513,0.02478781,0.74080616
-5.79589795,2.90943576,0.74296769,1.77466764,0.01486770,0.00000000,0.02241977,0.04590475,0.02562790,0.75263152
-5.78989495,2.93861357,0.74329627,1.78654740,0.01493258,0.00000000,0.02215467,0.04564821,0.02647000,0.76446897
-5.78389195,2.96596308,0.74415564,1.79658177,0.01501219,0.00000000,0.02187319,0.04560015,0.02729718,0.77599418
-5.77788894,2.99048349,0.74544231,1.80426016,0.01510188,0.00000000,0.02156580,0.04576221,0.02809231,0.78687918
-5.77188594,3.01124734,0.74705133,1.80914068,0.01519681,0.00000000,0.02122365,0.04613340,0.02883874,0.79680635
-5.76588294,3.02744517,0.74888398,1.81087448,0.01529218,0.00000000,0.02083899,0.04671049,0.02952092,0.80548179
-5.75987994,3.03842400,0.75085426,1.80922545,0.01538345,0.00000000,0.02040568,0.04748831,0.03012500,0.81264736
-5.75387694,3.04371771,0.75289392,1.80408440,0.01546656,0.00000000,0.01991951,0.04846006,0.03063936,0.81809097
-5.74787394,3.04306832,0.75495571,1.79547721,0.01553808,0.00000000,0.01937847,0.04961751,0.03105502,0.82165462
-5.74187094,3.03643729,0.75701496,1.78356660,0.01559530,0.00000000,0.01878290,0.05095112,0.03136598,0.82323987
-5.73586793,3.02400690,0.75906940,1.76864783,0.01563636,0.00000000,0.01813554,0.05245017,0.03156938,0.82281073
-5.72986493,3.00617211,0.76113747,1.75113867,0.01566020,0.00000000,0.01744150,0.05410277,0.03166560,0.82039396
-5.72386193,2.98352389,0.76325540,1.73156451,0.01566661,0.00000000,0.01670811,0.05589592,0.03165818,0.81607678
-5.71785893,2.95682531,0.76547336,1.71053949,0.01565614,0.00000000,0.01594471,0.05781551,0.03155368,0.81000255
-5.71185593,2.92698201,0.76785112,1.68874479,0.01563004,0.00000000,0.01516238,0.05984640,0.03136138,0.80236450
-5.70585293,2.89500879,0.77045342,1.66690510,0.01559013,0.00000000,0.01437361,0.06197247,0.03109293,0.79339813
-5.69984992,2.86199400,0.77334570,1.64576454,0.01553871,0.00000000,0.01359201,0.06417674,0.03076190,0.78337269
-5.69384692,2.82906353,0.77659009,1.62606287,0.01547842,0.00000000,0.01283189,0.06644161,0.03038335,0.77258208
-5.68784392,2.79734567,0.78024221,1.60851290,0.01541213,0.00000000,0.01210799,0.06874903,0.02997330,0.76133583
-5.68184092,2.76793825,0.78434870,1.59377981,0.01534287,0.00000000,0.01143509,0.07108080,0.02954826,0.74995023
-5.67583792,2.74187869,0.78894555,1.58246279,0.01527365,0.00000000,0.01082776,0.07341890,0.02912471,0.73874022
-5.66983492,2.72011786,0.79405723,1.57507929,0.01520746,0.00000000,0.01030009,0.07574574,0.02871870,0.72801192
-5.66383192,2.70349772,0.79969647,1.57205203,0.01514720,0.00000000,0.00986538,0.07804450,0.02834543,0.71805622
-5.65782891,2.69273295,0.80586446,1.57369879,0.01509556,0.00000000,0.00953603,0.08029937,0.02801891,0.70914321
-5.65182591,2.68839636,0.81255138,1.58022469,0.01505507,0.00000000,0.00932325,0.08249571,0.02775163,0.70151760
-5.64582291,2.69090782,0.81973687,1.59171705,0.01502805,0.00000000,0.00923694,0.08462017,0.02755440,0.69539495
-5.63981991,2.70052622,0.82739052,1.60814249,0.01501654,0.00000000,0.00928553,0.08666070,0.02743614,0.69095861
-5.63381691,2.71734440,0.83547195,1.62934620,0.01502236,0.00000000,0.00947576,0.08860644,0.02740375,0.68835721
-5.62781391,2.74128660,0.84393064,1.65505335,0.01504702,0.00000000,0.00981260,0.09044759,0.02746209,0.68770265
-5.62181091,2.77210834,0.85270531,1.68487260,0.01509173,0.00000000,0.01029903,0.09217508,0.02761392,0.68906835
-5.61580790,2.80939889,0.86172304,1.71830172,0.01515738,0.00000000,0.01093592,0.09378034,0.02785992,0.69248791
-5.60980490,2.85258618,0.87089821,1.75473559,0.01524445,0.00000000,0.01172181,0.09525490,0.02819879,0.69795396
-5.60380190,2.90094467,0.88013141,1.79347643,0.01535304,0.00000000,0.01265283,0.09659014,0.02862727,0.70541739
-5.59779890,2.95360619,0.88930861,1.83374663,0.01548276,0.00000000,0.01372254,0.09777695,0.02914029,0.71478699
-5.59179590,3.00957416,0.89830066,1.87470395,0.01563274,0.00000000,0.01492182,0.09880558,0.02973108,0.72592961
-5.58579290,3.06774125,0.90696354,1.91545917,0.01580157,0.00000000,0.01623881,0.09966555,0.03039134,0.73867102
-5.57978989,3.12691068,0.91513932,1.95509591,0.01598728,0.00000000,0.01765896,0.10034565,0.03111137,0.75279760
-5.57378689,3.18582076,0.92265815,1.99269217,0.01618733,0.00000000,0.01916506,0.10083414,0.03188033,0.76805897
-5.56778389,3.24317255,0.92934105,2.02734319,0.01639863,0.00000000,0.02073739,0.10111905,0.03268635,0.78417169
-5.56178089,3.29765990,0.93500379,2.05818483,0.01661756,0.00000000,0.02235398,0.10118857,0.03351683,0.80082400
-5.55577789,3.34800103,0.93946144,2.08441664,0.01684002,0.00000000,0.02399094,0.10103163,0.03435862,0.81768170
-5.54977489,3.39297073,0.94253356,2.10532387,0.01706151,0.00000000,0.02562286,0.10063843,0.03519823,0.83439493
-5.54377189,3.43143191,0.94404976,2.12029739,0.01727721,0.00000000,0.02722331,0.10000109,0.03602212,0.85060581
-5.53776888,3.46236542,0.94385528,2.12885070,0.01748211,0.00000000,0.02876542,0.09911422,0.03681684,0.86595669
-5.53176588,3.48489674,0.94181626,2.13063324,0.01767109,0.00000000,0.03022247,0.09797546,0.03756934,0.88009868
-5.52576288,3.49831861,0.93782458,2.12543942,0.01783910,0.00000000,0.03156857,0.09658595,0.03826709,0.89270027
-5.51975988,3.50210856,0.93180167,2.11321295,0.01798128,0.00000000,0.03277931,0.09495060,0.03889832,0.90345552
-5.51375688,3.49594055,0.92370142,2.09404625,0.01809305,0.00000000,0.03383237,0.09307828,0.03945216,0.91209177
-5.50775388,3.47969044,0.91351179,2.06817504,0.01817026,0.00000000,0.03470816,0.09098182,0.03991878,0.91837626
-5.50175088,3.45343503,0.90125517,2.03596845,0.01820931,0.00000000,0.03539030,0.08867780,0.04028951,0.92212162
-5.49574787,3.41744480,0.88698740,1.99791507,0.01820721,0.00000000,0.03586610,0.08618623,0.04055693,0.92318996
-5.48974487,3.37217096,0.87079572,1.95460580,0.01816165,0.00000000,0.03612687,0.08353012,0.04071498,0.92149526
-5.48374187,3.31822738,0.85279552,1.90671415,0.01807106,0.00000000,0.03616812,0.08073480,0.04075893,0.91700432
-5.47773887,3.25636833,0.83312643,1.85497508,0.01793462,0.00000000,0.03598966,0.07782735,0.04068547,0.90973589
-5.47173587,3.18746315,0.81194763,1.80016319,0.01775226,0.00000000,0.03559558,0.07483582,0.04049270,0.89975836
-5.46573287,3.11246886,0.78943301,1.74307122,0.01752465,0.00000000,0.03499401,0.07178855,0.04018012,0.88718599
-5.45972986,3.03240194,0.76576614,1.68448956,0.01725314,0.00000000,0.03419693,0.06871346,0.03974861,0.87217393
-5.45372686,2.94831023,0.74113544,1.62518751,0.01693971,0.00000000,0.03321970,0.06563744,0.03920041,0.85491233
-5.44772386,2.86124606,0.71572975,1.56589678,0.01658691,0.00000000,0.03208069,0.06258580,0.03853901,0.83561973
-5.44172086,2.77224142,0.68973440,1.50729761,0.01619776,0.00000000,0.03080069,0.05958179,0.03776917,0.81453611
-5.43571786,2.68228573,0.66332802,1.45000760,0.01577569,0.00000000,0.02940243,0.05664632,0.03689678,0.79191586
-5.42971486,2.59230692,0.63667996,1.39457339,0.01532441,0.00000000,0.02790996,0.05379770,0.03592879,0.76802102
-5.42371186,2.50315617,0.60994865,1.34146515,0.01484788,0.00000000,0.02634816,0.05105150,0.03487310,0.74311492
-5.41770885,2.41559633,0.58328051,1.29107362,0.01435018,0.00000000,0.02474220,0.04842060,0.03373846,0.71745670
-5.41170585,2.33029444,0.55680973,1.24370953,0.01383546,0.00000000,0.02311707,0.04591517,0.03253429,0.69129660
-5.40570285,2.24781802,0.53065859,1.19960530,0.01330788,0.00000000,0.02149722,0.04354286,0.03127062,0.66487235
-5.39969985,2.16863525,0.50493834,1.15891860,0.01277152,0.00000000,0.01990620,0.04130899,0.02995785,0.63840673
-5.39369685,2.09311870,0.47975049,1.12173770,0.01223037,0.00000000,0.01836644,0.03921671,0.02860669,0.61210618
-5.38769385,2.02155246,0.45518853,1.08808843,0.01168827,0.00000000,0.01689906,0.03726734,0.02722794,0.58616056
-5.38169085,1.95414226,0.43133972,1.05794257,0.01114892,0.00000000,0.01552383,0.03546058,0.02583236,0.56074390
-5.37568784,1.89102829,0.40828720,1.03122758,0.01061583,0.00000000,0.01425906,0.03379478,0.02443055,0.53601597
-5.36968484,1.83230017,0.38611199,1.00783755,0.01009234,0.00000000,0.01312173,0.03226725,0.02303280,0.51212450
-5.36368184,1.77801367,0.36489508,0.98764519,0.00958161,0.00000000,0.01212747,0.03087454,0.02164897,0.48920789
-5.35767884,1.72820854,0.34471925,0.97051474,0.00908665,0.00000000,0.01129073,0.02961265,0.02028843,0.46739804
-5.35167584,1.68292675,0.32567084,0.95631555,0.00861030,0.00000000,0.01062484,0.02847739,0.01895993,0.44682313
-5.34567284,1.64223053,0.30784116,0.94493588,0.00815526,0.00000000,0.01014210,0.02746457,0.01767160,0.42761018
-5.33966983,1.60621932,0.29132760,0.93629663,0.00772410,0.00000000,0.00985391,0.02657030,0.01643086,0.40988698
-5.33366683,1.57504491,0.27623432,0.93036444,0.00731925,0.00000000,0.00977072,0.02579119,0.01524445,0.39378337
-5.32766383,1.54892384,0.26267247,0.92716346,0.00694304,0.00000000,0.00990205,0.02512458,0.01411841,0.37943167
-5.32166083,1.52814640,0.25076000,0.92678526,0.00659763,0.00000000,0.01025641,0.02456875,0.01305811,0.36696612
-5.31565783,1.51308131,0.24062074,0.92939603,0.00628507,0.00000000,0.01084109,0.02412300,0.01206828,0.35652136
-5.30965483,1.50417564,0.23238308,0.93524048,0.00600722,0.00000000,0.01166201,0.02378777,0.01115302,0.34822994
-5.30365183,1.50194928,0.22617793,0.94464178,0.00576576,0.00000000,0.01272337,0.02356464,0.01031592,0.34221895
-5.29764882,1.50698390,0.22213613,0.95799695,0.00556214,0.00000000,0.01402734,0.02345629,0.00956006,0.33860586
-5.29164582,1.51990612,0.22038528,0.97576742,0.00539755,0.00000000,0.01557368,0.02346631,0.00888805,0.33749386
-5.28564282,1.54136525,0.22104606,0.99846452,0.00527289,0.00000000,0.01735930,0.02359900,0.00830215,0.33896683
-5.27963982,1.57200606,0.22422808,1.02663009,0.00518870,0.00000000,0.01937789,0.02385907,0.00780424,0.34308424
-5.27363682,1.61243735,0.23002535,1.06081247,0.00514518,0.00000000,0.02161952,0.02425122,0.00739590,0.34987620
-5.26763382,1.66319733,0.23851161,1.10153865,0.00514209,0.00000000,0.02407032,0.02477968,0.00707843,0.35933898
-5.26163082,1.72471731,0.24973548,1.14928342,0.00517880,0.00000000,0.02671224,0.02544777,0.00685287,0.37143128
-5.25562781,1.79728507,0.26371575,1.20443685,0.00525420,0.00000000,0.02952285,0.02625731,0.00671998,0.38607130
-5.24962481,1.88100970,0.28043694,1.26727145,0.00536675,0.00000000,0.03247539,0.02720819,0.00668025,0.40313507
-5.24362181,1.97578971,0.29984532,1.33791078,0.00551446,0.00000000,0.03553881,0.02829782,0.00673385,0.42245589
-5.23761881,2.08128619,0.32184561,1.41630104,0.00569490,0.00000000,0.03867813,0.02952083,0.00688062,0.44382517
-5.23161581,2.19690272,0.34629858,1.50218745,0.00590526,0.00000000,0.04185479,0.03086866,0.00711997,0.46699464
-5.22561281,2.32177363,0.37301962,1.59509714,0.00614233,0.00000000,0.04502730,0.03232949,0.00745081,0.49167975
-5.21960980,2.45476173,0.40177856,1.69432973,0.00640262,0.00000000,0.04815196,0.03388809,0.00787146,0.51756446
-5.21360680,2.59446653,0.43230086,1.79895705,0.00668234,0.00000000,0.05118373,0.03552602,0.00837957,0.54430688
-5.20760380,2.73924332,0.46427012,1.90783251,0.00697751,0.00000000,0.05407720,0.03722187,0.00897200,0.57154600
-5.20160080,2.88723315,0.49733208,2.01961054,0.00728401,0.00000000,0.05678764,0.03895164,0.00964468,0.59890888
-5.19559780,3.03640304,0.53110002,2.13277596,0.00759764,0.00000000,0.05927212,0.04068939,0.01039256,0.62601840
-5.18959480,3.18459541,0.56516152,2.24568242,0.00791418,0.00000000,0.06149055,0.04240783,0.01120949,0.65250106
-5.18359180,3.32958518,0.59908632,2.35659882,0.00822946,0.00000000,0.06340672,0.04407914,0.01208818,0.67799477
-5.17758879,3.46914241,0.63243529,2.46376190,0.00853946,0.00000000,0.06498934,0.04567580,0.01302010,0.70215624
-5.17158579,3.60109818,0.66477004,2.56543291,0.00884030,0.00000000,0.06621279,0.04717136,0.01399554,0.72466797
-5.16558279,3.72341094,0.69566302,2.65995596,0.00912834,0.00000000,0.06705786,0.04854137,0.01500363,0.74524445
-5.15957979,3.83423077,0.72470776,2.74581529,0.00940024,0.00000000,0.06751228,0.04976404,0.01603241,0.76363759
-5.15357679,3.93195845,0.75152886,2.82168887,0.00965298,0.00000000,0.06757099,0.05082098,0.01706897,0.77964121
-5.14757379,4.01529705,0.77579145,2.88649579,0.00988393,0.00000000,0.06723629,0.05169771,0.01809967,0.79309456
-5.14157079,4.08329339,0.79720973,2.93943492,0.01009088,0.00000000,0.06651772,0.05238408,0.01911036,0.80388486
-5.13556778,4.13536774,0.81555434,2.98001301,0.01027207,0.00000000,0.06543173,0.05287452,0.02008667,0.81194876
-5.12956478,4.17133007,0.83065824,3.00806072,0.01042627,0.00000000,0.06400120,0.05316814,0.02101435,0.81727288
-5.12356178,4.19138222,0.84242084,3.02373565,0.01055274,0.00000000,0.06225475,0.05326862,0.02187964,0.81989331
-5.11755878,4.19610576,0.85081037,3.02751218,0.01065131,0.00000000,0.06022588,0.05318401,0.02266958,0.81989421
-5.11155578,4.18643598,0.85586416,3.02015860,0.01072237,0.00000000,0.05795208,0.05292634,0.02337248,0.81740550
-5.10555278,4.16362323,0.85768700,3.00270242,0.01076688,0.00000000,0.05547377,0.05251116,0.02397817,0.81259965
-5.09954977,4.12918314,0.85644746,2.97638580,0.01078638,0.00000000,0.05283322,0.05195693,0.02447841,0.80568765
-5.09354677,4.08483803,0.85237242,2.94261296,0.01078293,0.00000000,0.05007351,0.05128444,0.02486708,0.79691411
-5.08754377,4.03245197,0.84573976,2.90289233,0.01075912,0.00000000,0.04723743,0.05051606,0.02514043,0.78655169
-5.08154077,3.97396230,0.83686969,2.85877615,0.01071797,0.00000000,0.04436655,0.04967508,0.02529719,0.77489465
-5.07553777,3.91131052,0.82611479,2.81180021,0.01066290,0.00000000,0.04150026,0.04878502,0.02533858,0.76225195
-5.06953477,3.84637536,0.81384917,2.76342670,0.01059758,0.00000000,0.03867502,0.04786896,0.02526828,0.74893961
-5.06353177,3.78091077,0.80045705,2.71499264,0.01052588,0.00000000,0.03592370,0.04694894,0.02509226,0.73527283
