energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.54003566,0.00556686,0.13673798,0.47750918,0.35473067,0.01763180,0.84796662,0.22973765,0.15110740
-5.99399700,1.53750718,0.00531034,0.13914218,0.47994386,0.35439065,0.01837056,0.84358102,0.22306364,0.15157056
-5.98799400,1.53470974,0.00505154,0.14223181,0.48296488,0.35533959,0.01902752,0.83812764,0.21657642,0.15169639
-5.98199100,1.53189195,0.00479636,0.14589063,0.48668765,0.35744221,0.01959133,0.83195319,0.21050479,0.15151550
-5.97598799,1.52939512,0.00455133,0.15000366,0.49123970,0.36058042,0.02005212,0.82546409,0.20509996,0.15107007
-5.96998499,1.52764571,0.00432350,0.15445918,0.49675801,0.36465464,0.02040184,0.81911833,0.20062992,0.15041329
-5.96398199,1.52714593,0.00412030,0.15915058,0.50338667,0.36958455,0.02063453,0.81341622,0.19737325,0.14960865
-5.95797899,1.52846264,0.00394947,0.16397825,0.51127488,0.37530938,0.02074654,0.80889002,0.19561276,0.14872894
-5.95197599,1.53221458,0.00381892,0.16885131,0.52057515,0.38178767,0.02073670,0.80609257,0.19562874,0.14785490
-5.94597299,1.53905761,0.00373662,0.17368932,0.53144171,0.38899658,0.02060631,0.80558485,0.19769208,0.14707365
-5.93996998,1.54966814,0.00371052,0.17842361,0.54402860,0.39693056,0.02035923,0.80792253,0.20205728,0.14647681
-5.93396698,1.56472440,0.00374841,0.18299846,0.55848753,0.40559938,0.02000166,0.81364159,0.20895533,0.14615822
-5.92796398,1.58488560,0.00385784,0.18737179,0.57496487,0.41502535,0.01954202,0.82324304,0.21858668,0.14621151
-5.92196098,1.61076910,0.00404598,0.19151535,0.59359793,0.42523983,0.01899069,0.83717707,0.23111423,0.14672736
-5.91595798,1.64292593,0.00431949,0.19541440,0.61450999,0.43627885,0.01835963,0.85582680,0.24665663,0.14779055
-5.90995498,1.68181508,0.00468442,0.19906680,0.63780429,0.44817805,0.01766208,0.87949218,0.26528200,0.14947696
-5.90395198,1.72777746,0.00514600,0.20248139,0.66355692,0.46096688,0.01691210,0.90837456,0.28700228,0.15185051
-5.89794897,1.78101053,0.00570851,0.20567595,0.69180881,0.47466249,0.01612417,0.94256256,0.31176851,0.15496030
-5.89194597,1.84154478,0.00637510,0.20867456,0.72255726,0.48926335,0.01531278,0.98202002,0.33946727,0.15883790
-5.88594297,1.90922341,0.00714761,0.21150455,0.75574731,0.50474308,0.01449201,1.02657678,0.36991867,0.16349506
-5.87993997,1.98368677,0.00802641,0.21419333,0.79126373,0.52104480,0.01367521,1.07592314,0.40287610,0.16892200
-5.87393697,2.06436278,0.00901021,0.21676505,0.82892407,0.53807642,0.01287463,1.12960859,0.43802800,0.17508624
-5.86793397,2.15046469,0.01009597,0.21923745,0.86847361,0.55570725,0.01210121,1.18704543,0.47500190,0.18193228
-5.86193097,2.24099716,0.01127877,0.22161898,0.90958265,0.57376628,0.01136433,1.24751770,0.51337079,0.18938205
-5.85592796,2.33477121,0.01255177,0.22390649,0.95184691,0.59204239,0.01067177,1.31019554,0.55266184,0.19733632
-5.84992496,2.43042829,0.01390623,0.22608360,0.99479126,0.61028673,0.01002956,1.37415470,0.59236735,0.20567690
-5.84392196,2.52647310,0.01533157,0.22811979,1.03787699,0.62821733,0.00944206,1.43840107,0.63195758,0.21426976
-5.83791896,2.62131430,0.01681549,0.22997048,1.08051288,0.64552575,0.00891199,1.50189907,0.67089526,0.22296887
-5.83191596,2.71331169,0.01834425,0.23157796,1.12206949,0.66188582,0.00844056,1.56360324,0.70865104,0.23162066
-5.82591296,2.80082800,0.01990286,0.23287322,1.16189648,0.67696387,0.00802764,1.62249140,0.74471930,0.24006890
-5.81990995,2.88228296,0.02147551,0.23377863,1.19934213,0.69043013,0.00767197,1.67759817,0.77863373,0.24815990
-5.81390695,2.95620719,0.02304590,0.23421124,1.23377429,0.70197079,0.00737131,1.72804711,0.80998179,0.25574761
-5.80790395,3.02129313,0.02459773,0.23408658,1.26460159,0.71130000,0.00712273,1.77307983,0.83841735,0.26269854
-5.80190095,3.07644046,0.02611508,0.23332283,1.29129406,0.71817116,0.00692277,1.81208079,0.86367082,0.26889623
-5.79589795,3.12079353,0.02758288,0.23184497,1.31340184,0.72238706,0.00676769,1.84459620,0.88555626,0.27424497
-5.78989495,3.15376874,0.02898732,0.22958877,1.33057107,0.72380807,0.00665359,1.87034612,0.90397494,0.27867269
-5.78389195,3.17507049,0.03031623,0.22650441,1.34255611,0.72235807,0.00657660,1.88922898,0.91891509,0.28213283
-5.77788894,3.18469448,0.03155930,0.22255953,1.34922731,0.71802770,0.00653295,1.90131836,0.93044793,0.28460505
-5.77188594,3.18291851,0.03270840,0.21774148,1.35057396,0.71087478,0.00651909,1.90685205,0.93871995,0.28609487
-5.76588294,3.17028109,0.03375757,0.21205870,1.34670218,0.70102183,0.00653171,1.90621403,0.94394208,0.28663214
-5.75987994,3.14754908,0.03470313,0.20554121,1.33782806,0.68865092,0.00656774,1.89991039,0.94637603,0.28626856
-5.75387694,3.11567632,0.03554355,0.19824011,1.32426621,0.67399595,0.00662435,1.88854057,0.94631886,0.28507425
-5.74787394,3.07575550,0.03627925,0.19022619,1.30641467,0.65733305,0.00669887,1.87276541,0.94408640,0.28313369
-5.74187094,3.02896601,0.03691237,0.18158771,1.28473681,0.63896945,0.00678877,1.85327396,0.93999658,0.28054129
-5.73586793,2.97652066,0.03744643,0.17242751,1.25974142,0.61923142,0.00689157,1.83075073,0.93435356,0.27739662
-5.72986493,2.91961413,0.03788599,0.16285958,1.23196202,0.59845211,0.00700478,1.80584529,0.92743354,0.27379981
-5.72386193,2.85937583,0.03823620,0.15300529,1.20193647,0.57695967,0.00712582,1.77914559,0.91947297,0.26984723
-5.71785893,2.79682946,0.03850249,0.14298950,1.17018800,0.55506636,0.00725199,1.75115649,0.91065980,0.26562767
-5.71185593,2.73286115,0.03869020,0.13293663,1.13720840,0.53305917,0.00738045,1.72228442,0.90112816,0.26121919
-5.70585293,2.66819731,0.03880424,0.12296702,1.10344431,0.51119223,0.00750819,1.69282854,0.89095658,0.25668683
-5.69984992,2.60339276,0.03884892,0.11319356,1.06928679,0.48968132,0.00763202,1.66297868,0.88016977,0.25208118
-5.69384692,2.53882917,0.03882773,0.10371890,1.03506474,0.46870058,0.00774867,1.63281969,0.86874356,0.24743782
-5.68784392,2.47472286,0.03874325,0.09463311,1.00104191,0.44838144,0.00785481,1.60234154,0.85661273,0.24277769
-5.68184092,2.41114096,0.03859718,0.08601202,0.96741738,0.42881355,0.00794711,1.57145400,0.84368087,0.23810811
-5.67583792,2.34802412,0.03839037,0.07791621,0.93432915,0.41004750,0.00802235,1.54000500,0.82983168,0.23342454
-5.66983492,2.28521381,0.03812293,0.07039056,0.90186017,0.39209905,0.00807752,1.50780089,0.81494091,0.22871276
-5.66383192,2.22248227,0.03779443,0.06346439,0.87004620,0.37495441,0.00810989,1.47462760,0.79888811,0.22395139
-5.65782891,2.15956301,0.03740403,0.05715214,0.83888488,0.35857616,0.00811712,1.44027104,0.78156757,0.21911449
-5.65182591,2.09617995,0.03695076,0.05145443,0.80834518,0.34290954,0.00809733,1.40453577,0.76289765,0.21417416
-5.64582291,2.03207363,0.03643366,0.04635950,0.77837679,0.32788858,0.00804917,1.36726092,0.74282826,0.20910297
-5.63981991,1.96702335,0.03585200,0.04184489,0.74891882,0.31344186,0.00797183,1.32833262,0.72134601,0.20387607
-5.63381691,1.90086431,0.03520543,0.03787923,0.71990739,0.29949765,0.00786513,1.28769260,0.69847689,0.19847295
-5.62781391,1.83349938,0.03449414,0.03442418,0.69128201,0.28598818,0.00772945,1.24534290,0.67428667,0.19287872
-5.62181091,1.76490562,0.03371891,0.03143625,0.66299039,0.27285305,0.00756575,1.20134675,0.64887897,0.18708510
-5.61580790,1.69513582,0.03288124,0.02886868,0.63499196,0.26004170,0.00737553,1.15582617,0.62239150,0.18109079
-5.60980490,1.62431580,0.03198331,0.02667306,0.60725990,0.24751493,0.00716075,1.10895676,0.59499082,0.17490168
-5.60380190,1.55263825,0.03102802,0.02480095,0.57978214,0.23524569,0.00692380,1.06096041,0.56686602,0.16853066
-5.59779890,1.48035424,0.03001897,0.02320511,0.55256140,0.22321917,0.00666738,1.01209678,0.53822191,0.16199716
-5.59179590,1.40776324,0.02896045,0.02184073,0.52561450,0.21143229,0.00639445,0.96265408,0.50927206,0.15532664
-5.58579290,1.33520262,0.02785734,0.02066632,0.49897138,0.19989293,0.00610813,0.91294004,0.48023223,0.14854995
-5.57978989,1.26303753,0.02671512,0.01964440,0.47267374,0.18861882,0.00581166,0.86327352,0.45131445,0.14170265
-5.57378689,1.19165158,0.02553979,0.01874207,0.44677383,0.17763634,0.00550829,0.81397712,0.42272204,0.13482442
-5.56778389,1.12143897,0.02433787,0.01793133,0.42133313,0.16697939,0.00520122,0.76537120,0.39464568,0.12795843
-5.56178089,1.05279812,0.02311626,0.01718919,0.39642136,0.15668823,0.00489358,0.71776935,0.36726068,0.12115089
-5.55577789,0.98612693,0.02188231,0.01649773,0.37211548,0.14680847,0.00458836,0.67147525,0.34072538,0.11445059
-5.54977489,0.92181947,0.02064365,0.01584396,0.34849893,0.13739024,0.00428841,0.62678081,0.31518053,0.10790853
-5.54377189,0.86026390,0.01940824,0.01521953,0.32566094,0.12848738,0.00399637,0.58396546,0.29074966,0.10157758
