energy_ev,total_up,Ga_p_up,Ga_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,0.42431657,0.00759085,0.00000000,0.32498240,0.18769520,0.23499541,0.00000000
-5.99399700,0.43167678,0.00816300,0.00000000,0.33737015,0.19098097,0.24175362,0.00000000
-5.98799400,0.44536825,0.00886652,0.00000000,0.35455764,0.19723433,0.25203547,0.00000000
-5.98199100,0.46485629,0.00968940,0.00000000,0.37614218,0.20619942,0.26555176,0.00000000
-5.97598799,0.48954710,0.01061816,0.00000000,0.40166815,0.21759377,0.28197509,0.00000000
-5.96998499,0.51878674,0.01163777,0.00000000,0.43062526,0.23110792,0.30093898,0.00000000
-5.96398199,0.55186143,0.01273161,0.00000000,0.46244826,0.24640573,0.32203805,0.00000000
-5.95797899,0.58799992,0.01388151,0.00000000,0.49651848,0.26312564,0.34482950,0.00000000
-5.95197599,0.62637841,0.01506784,0.00000000,0.53216782,0.28088302,0.36883633,0.00000000
-5.94597299,0.66612846,0.01626973,0.00000000,0.56868546,0.29927400,0.39355238,0.00000000
-5.93996998,0.70634807,0.01746535,0.00000000,0.60532741,0.31788051,0.41844927,0.00000000
-5.93396698,0.74611582,0.01863225,0.00000000,0.64132894,0.33627684,0.44298523,0.00000000
-5.92796398,0.78450793,0.01974784,0.00000000,0.67591947,0.35403741,0.46661561,0.00000000
-5.92196098,0.82061749,0.02078990,0.00000000,0.70833953,0.37074547,0.48880472,0.00000000
-5.91595798,0.85357541,0.02173709,0.00000000,0.73785923,0.38600261,0.50903863,0.00000000
-5.90995498,0.88257206,0.02256957,0.00000000,0.76379730,0.39943846,0.52683831,0.00000000
-5.90395198,0.90687861,0.02326951,0.00000000,0.78553995,0.41072037,0.54177259,0.00000000
-5.89794897,0.92586712,0.02382165,0.00000000,0.80255862,0.41956232,0.55347034,0.00000000
-5.89194597,0.93902835,0.02421373,0.00000000,0.81442563,0.42573297,0.56163119,0.00000000
-5.88594297,0.94598624,0.02443693,0.00000000,0.82082714,0.42906204,0.56603430,0.00000000
-5.87993997,0.94650839,0.02448606,0.00000000,0.82157244,0.42944503,0.56654463,0.00000000
-5.87393697,0.94051200,0.02435978,0.00000000,0.81659927,0.42684569,0.56311655,0.00000000
-5.86793397,0.92806465,0.02406059,0.00000000,0.80597478,0.42129637,0.55579430,0.00000000
-5.86193097,0.90938013,0.02359475,0.00000000,0.78989198,0.41289598,0.54470950,0.00000000
-5.85592796,0.88480925,0.02297199,0.00000000,0.76866196,0.40180574,0.53007561,0.00000000
-5.84992496,0.85482613,0.02220520,0.00000000,0.74270211,0.38824288,0.51217973,0.00000000
-5.84392196,0.82001063,0.02130997,0.00000000,0.71252091,0.37247263,0.49137207,0.00000000
-5.83791896,0.78102768,0.02030404,0.00000000,0.67870011,0.35479876,0.46805358,0.00000000
-5.83191596,0.73860450,0.01920672,0.00000000,0.64187503,0.33555323,0.44266227,0.00000000
-5.82591296,0.69350676,0.01803825,0.00000000,0.60271385,0.31508533,0.41565892,0.00000000
-5.81990995,0.64651463,0.01681924,0.00000000,0.56189695,0.29375077,0.38751279,0.00000000
-5.81390695,0.59839977,0.01556999,0.00000000,0.52009694,0.27190128,0.35868783,0.00000000
-5.80790395,0.54990427,0.01431004,0.00000000,0.47796036,0.24987497,0.32963002,0.00000000
-5.80190095,0.50172194,0.01305761,0.00000000,0.43609157,0.22798791,0.30075626,0.00000000
-5.79589795,0.45448298,0.01182925,0.00000000,0.39503938,0.20652712,0.27244512,0.00000000
-5.78989495,0.40874200,0.01063949,0.00000000,0.35528674,0.18574515,0.24502974,0.00000000
-5.78389195,0.36496983,0.00950071,0.00000000,0.31724359,0.16585639,0.21879290,0.00000000
-5.77788894,0.32354899,0.00842292,0.00000000,0.28124304,0.14703501,0.19396435,0.00000000
-5.77188594,0.28477262,0.00741383,0.00000000,0.24754042,0.12941448,0.17072017,0.00000000
-5.76588294,0.24884664,0.00647884,0.00000000,0.21631523,0.11308857,0.14918409,0.00000000
-5.75987994,0.21589462,0.00562123,0.00000000,0.18767535,0.09811353,0.12943038,0.00000000
-5.75387694,0.18596478,0.00484228,0.00000000,0.16166323,0.08451135,0.11148815,0.00000000
-5.74787394,0.15903872,0.00414157,0.00000000,0.13826352,0.07227364,0.09534650,0.00000000
-5.74187094,0.13504119,0.00351718,0.00000000,0.11741158,0.06136614,0.08096046,0.00000000
-5.73586793,0.11385044,0.00296600,0.00000000,0.09900260,0.05173338,0.06825715,0.00000000
-5.72986493,0.09530863,0.00248398,0.00000000,0.08290065,0.04330337,0.05714205,0.00000000
-5.72386193,0.07923186,0.00206642,0.00000000,0.06894764,0.03599220,0.04750504,0.00000000
-5.71785893,0.06541962,0.00170821,0.00000000,0.05697152,0.02970828,0.03922605,0.00000000
-5.71185593,0.05366325,0.00140406,0.00000000,0.04679389,0.02435614,0.03218017,0.00000000
-5.70585293,0.04375337,0.00114870,0.00000000,0.03823662,0.01983978,0.02624206,0.00000000
-5.69984992,0.03548615,0.00093707,0.00000000,0.03112756,0.01606548,0.02128980,0.00000000
-5.69384692,0.02866847,0.00076443,0.00000000,0.02530522,0.01294407,0.01720794,0.00000000
-5.68784392,0.02312189,0.00062655,0.00000000,0.02062265,0.01039269,0.01388989,0.00000000
-5.68184092,0.01868569,0.00051971,0.00000000,0.01695037,0.00833605,0.01123979,0.00000000
-5.67583792,0.01521897,0.00044087,0.00000000,0.01417861,0.00670736,0.00917376,0.00000000
-5.66983492,0.01260194,0.00038767,0.00000000,0.01221895,0.00544878,0.00762072,0.00000000
-5.66383192,0.01073670,0.00035849,0.00000000,0.01100540,0.00451167,0.00652283,0.00000000
-5.65782891,0.00954744,0.00035250,0.00000000,0.01049510,0.00385661,0.00583562,0.00000000
-5.65182591,0.00898023,0.00036965,0.00000000,0.01066866,0.00345318,0.00552790,0.00000000
-5.64582291,0.00900259,0.00041072,0.00000000,0.01153024,0.00327971,0.00558150,0.00000000
-5.63981991,0.00960279,0.00047732,0.00000000,0.01310740,0.00332283,0.00599078,0.00000000
-5.63381691,0.01078900,0.00057189,0.00000000,0.01545060,0.00357708,0.00676217,0.00000000
-5.62781391,0.01258817,0.00069769,0.00000000,0.01863252,0.00404438,0.00791339,0.00000000
-5.62181091,0.01504483,0.00085882,0.00000000,0.02274692,0.00473348,0.00947274,0.00000000
-5.61580790,0.01821962,0.00106013,0.00000000,0.02790718,0.00565944,0.01147805,0.00000000
-5.60980490,0.02218750,0.00130724,0.00000000,0.03424421,0.00684292,0.01397556,0.00000000
-5.60380190,0.02703571,0.00160644,0.00000000,0.04190377,0.00830952,0.01701851,0.00000000
