energy_ev,total_up,Ag_p_up,Ag_d_up,Al_p_up,Al_d_up,S_s_up,S_p_up
-6.00000000,10.38179385,1.94000675,6.04918247,0.38546781,0.00000000,0.08027742,1.37602155
-5.99399700,10.32159515,1.93144730,6.02165811,0.38400314,0.00000000,0.08128837,1.34665678
-5.98799400,10.21859224,1.91415688,5.96977194,0.38074105,0.00000000,0.08207465,1.31199592
-5.98199100,10.07474946,1.88843795,5.89468072,0.37573181,0.00000000,0.08263626,1.27250763
-5.97598799,9.89262894,1.85471341,5.79789325,0.36905178,0.00000000,0.08297576,1.22871291
-5.96998499,9.67533727,1.81351783,5.68123901,0.36080169,0.00000000,0.08309807,1.18117438
-5.96398199,9.42646025,1.76548648,5.54682965,0.35110445,0.00000000,0.08301033,1.13048485
-5.95797899,9.14998746,1.71134234,5.39701419,0.34010247,0.00000000,0.08272171,1.07725565
-5.95197599,8.85022878,1.65188149,5.23432917,0.32795452,0.00000000,0.08224324,1.02210491
-5.94597299,8.53172486,1.58795718,5.06144520,0.31483237,0.00000000,0.08158761,0.96564618
-5.93996998,8.19915413,1.52046295,4.88111118,0.30091713,0.00000000,0.08076905,0.90847755
-5.93396698,7.85723858,1.45031518,4.69609779,0.28639549,0.00000000,0.07980311,0.85117164
-5.92796398,7.51065075,1.37843555,4.50914152,0.27145588,0.00000000,0.07870651,0.79426671
-5.92196098,7.16392418,1.30573367,4.32289087,0.25628475,0.00000000,0.07749696,0.73825902
-5.91595798,6.82136947,1.23309033,4.13985581,0.24106293,0.00000000,0.07619298,0.68359662
-5.90995498,6.48699782,1.16134177,3.96236178,0.22596229,0.00000000,0.07481366,0.63067466
-5.90395198,6.16445386,1.09126521,3.79250936,0.21114263,0.00000000,0.07337846,0.57983233
-5.89794897,5.85695905,1.02356613,3.63214035,0.19674904,0.00000000,0.07190700,0.53135127
-5.89194597,5.56726690,0.95886734,3.48281116,0.18290966,0.00000000,0.07041873,0.48545552
-5.88594297,5.29763084,0.89770037,3.34577390,0.16973395,0.00000000,0.06893271,0.44231281
-5.87993997,5.04978521,0.84049908,3.22196569,0.15731149,0.00000000,0.06746731,0.40203710
-5.87393697,4.82493970,0.78759583,3.11200626,0.14571132,0.00000000,0.06603990,0.36469210
-5.86793397,4.62378694,0.73922020,3.01620378,0.13498190,0.00000000,0.06466662,0.33029566
-5.86193097,4.44652291,0.69550017,2.93456874,0.12515147,0.00000000,0.06336206,0.29882477
-5.85592796,4.29287927,0.65646585,2.86683529,0.11622915,0.00000000,0.06213911,0.27022091
-5.84992496,4.16216641,0.62205544,2.81248938,0.10820631,0.00000000,0.06100868,0.24439568
