energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.44749934,0.03328772,0.22775310,0.03011933,0.00000000,0.11523127,3.15747244,1.40875140,0.47783567
-5.99399700,5.57570040,0.03389677,0.22963678,0.03103143,0.00000000,0.11785731,3.23851002,1.44082870,0.49005840
-5.98799400,5.69647845,0.03461904,0.23095092,0.03198292,0.00000000,0.12013393,3.31561555,1.46960136,0.50182411
-5.98199100,5.80860109,0.03544112,0.23169170,0.03295720,0.00000000,0.12204144,3.38800149,1.49478345,0.51304193
-5.97598799,5.91110332,0.03635028,0.23187360,0.03393847,0.00000000,0.12356758,3.45502497,1.51617379,0.52364209
-5.96998499,6.00329957,0.03733467,0.23152916,0.03491207,0.00000000,0.12470747,3.51619597,1.53365813,0.53357655
-5.96398199,6.08478330,0.03838350,0.23070810,0.03586479,0.00000000,0.12546331,3.57117846,1.54720837,0.54281859
-5.95797899,6.15541561,0.03948707,0.22947590,0.03678507,0.00000000,0.12584385,3.61978529,1.55687889,0.55136155
-5.95197599,6.21530421,0.04063667,0.22791185,0.03766307,0.00000000,0.12586368,3.66196773,1.56280060,0.55921685
-5.94597299,6.26477510,0.04182444,0.22610677,0.03849068,0.00000000,0.12554235,3.69780072,1.56517299,0.56641142
-5.93996998,6.30433891,0.04304316,0.22416037,0.03926145,0.00000000,0.12490345,3.72746516,1.56425472,0.57298484
-5.93396698,6.33465451,0.04428599,0.22217854,0.03997040,0.00000000,0.12397365,3.75122859,1.56035325,0.57898640
-5.92796398,6.35649193,0.04554625,0.22027060,0.04061385,0.00000000,0.12278169,3.76942538,1.55381401,0.58447220
-5.92196098,6.37069668,0.04681725,0.21854655,0.04118917,0.00000000,0.12135746,3.78243773,1.54500941,0.58950258
-5.91595798,6.37815737,0.04809210,0.21711460,0.04169449,0.00000000,0.11973120,3.79067850,1.53432826,0.59413997
-5.90995498,6.37977781,0.04936366,0.21607881,0.04212852,0.00000000,0.11793274,3.79457644,1.52216580,0.59844722
-5.90395198,6.37645469,0.05062460,0.21553713,0.04249029,0.00000000,0.11599087,3.79456465,1.50891458,0.60248665
-5.89794897,6.36906115,0.05186751,0.21557977,0.04277900,0.00000000,0.11393289,3.79107218,1.49495644,0.60631960
-5.89194597,6.35843649,0.05308514,0.21628795,0.04299389,0.00000000,0.11178417,3.78451911,1.48065563,0.61000666
-5.88594297,6.34538147,0.05427075,0.21773300,0.04313423,0.00000000,0.10956798,3.77531459,1.46635319,0.61360836
-5.87993997,6.33065834,0.05541846,0.21997589,0.04319931,0.00000000,0.10730530,3.76385749,1.45236251,0.61718626
-5.87393697,6.31499489,0.05652377,0.22306703,0.04318858,0.00000000,0.10501476,3.75053907,1.43896610,0.62080433
-5.86793397,6.29909069,0.05758393,0.22704643,0.04310173,0.00000000,0.10271269,3.73574674,1.42641343,0.62453034
-5.86193097,6.28362465,0.05859845,0.23194403,0.04293895,0.00000000,0.10041324,3.71986830,1.41491980,0.62843715
-5.85592796,6.26926197,0.05956942,0.23778023,0.04270110,0.00000000,0.09812844,3.70329565,1.40466604,0.63260372
-5.84992496,6.25665944,0.06050182,0.24456649,0.04239000,0.00000000,0.09586848,3.68642727,1.39579889,0.63711561
-5.84392196,6.24646758,0.06140361,0.25230591,0.04200856,0.00000000,0.09364184,3.66966884,1.38843206,0.64206479
-5.83791896,6.23932884,0.06228576,0.26099370,0.04156102,0.00000000,0.09145556,3.65343135,1.38264757,0.64754873
-5.83191596,6.23587096,0.06316203,0.27061750,0.04105307,0.00000000,0.08931542,3.63812646,1.37849736,0.65366861
-5.82591296,6.23669522,0.06404856,0.28115747,0.04049187,0.00000000,0.08722619,3.62415892,1.37600508,0.66052656
-5.81990995,6.24235963,0.06496332,0.29258608,0.03988602,0.00000000,0.08519187,3.61191614,1.37516772,0.66822210
-5.81390695,6.25335735,0.06592533,0.30486757,0.03924547,0.00000000,0.08321578,3.60175524,1.37595708,0.67684769
-5.80790395,6.27009117,0.06695380,0.31795718,0.03858129,0.00000000,0.08130084,3.59398800,1.37832100,0.68648368
-5.80190095,6.29284524,0.06806710,0.33179997,0.03790535,0.00000000,0.07944960,3.58886447,1.38218417,0.69719269
-5.79589795,6.32175539,0.06928169,0.34632960,0.03723000,0.00000000,0.07766436,3.58655607,1.38744852,0.70901379
-5.78989495,6.35677965,0.07061107,0.36146683,0.03656757,0.00000000,0.07594722,3.58713901,1.39399327,0.72195677
-5.78389195,6.39767094,0.07206473,0.37711813,0.03592995,0.00000000,0.07430004,3.59057914,1.40167450,0.73599667
-5.77788894,6.44395349,0.07364723,0.39317435,0.03532812,0.00000000,0.07272442,3.59671916,1.41032450,0.75106908
-5.77188594,6.49490504,0.07535743,0.40950974,0.03477163,0.00000000,0.07122157,3.60526896,1.41975096,0.76706634
-5.76588294,6.54954623,0.07718792,0.42598131,0.03426818,0.00000000,0.06979219,3.61580026,1.42973605,0.78383514
-5.75987994,6.60663863,0.07912469,0.44242883,0.03382326,0.00000000,0.06843629,3.62774571,1.44003588,0.80117557
-5.75387694,6.66469243,0.08114710,0.45867549,0.03343983,0.00000000,0.06715302,3.64040344,1.45038022,0.81884199
-5.74787394,6.72198435,0.08322805,0.47452931,0.03311814,0.00000000,0.06594052,3.65294681,1.46047289,0.83654570
-5.74187094,6.77658589,0.08533457,0.48978542,0.03285562,0.00000000,0.06479567,3.66443965,1.46999307,0.85395953
-5.73586793,6.82640155,0.08742850,0.50422910,0.03264690,0.00000000,0.06371403,3.67385660,1.47859758,0.87072429
-5.72986493,6.86921619,0.08946758,0.51763967,0.03248398,0.00000000,0.06268966,3.68010805,1.48592433,0.88645692
-5.72386193,6.90274998,0.09140659,0.52979502,0.03235646,0.00000000,0.06171514,3.68206882,1.49159714,0.90076005
-5.71785893,6.92471945,0.09319876,0.54047673,0.03225192,0.00000000,0.06078154,3.67860983,1.49523174,0.91323272
-5.71185593,6.93290222,0.09479717,0.54947554,0.03215632,0.00000000,0.05987850,3.66863140,1.49644312,0.92348185
-5.70585293,6.92520317,0.09615623,0.55659697,0.03205458,0.00000000,0.05899442,3.65109716,1.49485392,0.93113401
-5.69984992,6.89971952,0.09723313,0.56166689,0.03193108,0.00000000,0.05811666,3.62506716,1.49010376,0.93584700
-5.69384692,6.85480225,0.09798917,0.56453684,0.03177026,0.00000000,0.05723181,3.58972892,1.48185912,0.93732082
-5.68784392,6.78911140,0.09839095,0.56508873,0.03155720,0.00000000,0.05632608,3.54442531,1.46982351,0.93530758
-5.68184092,6.70166311,0.09841144,0.56323889,0.03127816,0.00000000,0.05538567,3.48867807,1.45374747,0.92961985
-5.67583792,6.59186643,0.09803068,0.55894114,0.03092107,0.00000000,0.05439718,3.42220607,1.43343800,0.92013723
-5.66983492,6.45954854,0.09723642,0.55218889,0.03047600,0.00000000,0.05334807,3.34493769,1.40876696,0.90681080
-5.66383192,6.30496731,0.09602435,0.54301602,0.02993542,0.00000000,0.05222705,3.25701677,1.37967803,0.88966530
-5.65782891,6.12881088,0.09439813,0.53149665,0.02929451,0.00000000,0.05102450,3.15880198,1.34619195,0.86879896
-5.65182591,5.93218423,0.09236922,0.51774371,0.02855130,0.00000000,0.04973285,3.05085971,1.30840957,0.84438108
-5.64582291,5.71658339,0.08995642,0.50190640,0.02770663,0.00000000,0.04834689,2.93395073,1.26651266,0.81664734
-5.63981991,5.48385857,0.08718523,0.48416670,0.02676417,0.00000000,0.04686399,2.80901132,1.22076234,0.78589326
-5.63381691,5.23616749,0.08408704,0.46473502,0.02573018,0.00000000,0.04528432,2.67712951,1.17149496,0.75246594
-5.62781391,4.97592097,0.08069825,0.44384515,0.02461330,0.00000000,0.04361092,2.53951753,1.11911585,0.71675449
-5.62181091,4.70572296,0.07705922,0.42174876,0.02342417,0.00000000,0.04184971,2.39748149,1.06409089,0.67917959
-5.61580790,4.42830708,0.07321321,0.39870965,0.02217512,0.00000000,0.04000945,2.25238932,1.00693633,0.64018252
-5.60980490,4.14647227,0.06920534,0.37499795,0.02087970,0.00000000,0.03810156,2.10563847,0.94820727,0.60021411
-5.60380190,3.86301958,0.06508149,0.35088436,0.01955225,0.00000000,0.03613995,1.95862412,0.88848534,0.55972398
-5.59779890,3.58069244,0.06088734,0.32663487,0.01820749,0.00000000,0.03414073,1.81270931,0.82836585,0.51915048
-5.59179590,3.30212202,0.05666743,0.30250585,0.01686007,0.00000000,0.03212186,1.66919765,0.76844523,0.47891153
-5.58579290,3.02977950,0.05246437,0.27873976,0.01552419,0.00000000,0.03010287,1.52930967,0.70930897,0.43939678
-5.57978989,2.76593632,0.04831807,0.25556157,0.01421328,0.00000000,0.02810441,1.39416317,0.65152079,0.40096103
-5.57378689,2.51263319,0.04426524,0.23317603,0.01293969,0.00000000,0.02614795,1.26475815,0.59561320,0.36391932
-5.56778389,2.27165836,0.04033887,0.21176558,0.01171446,0.00000000,0.02425532,1.14196638,0.54207985,0.32854346
