energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.62980075,0.45817511,0.07347982,0.00749629,0.06536939,0.33195184,0.00000000,0.27406756,0.04796366
-5.99399700,0.64641379,0.49060838,0.07227928,0.00713285,0.07107856,0.34007373,0.00000000,0.27959714,0.04788893
-5.98799400,0.66668695,0.52444054,0.07149699,0.00697545,0.07724020,0.34989734,0.00000000,0.28617044,0.04819125
-5.98199100,0.69063771,0.55954286,0.07116437,0.00701858,0.08385527,0.36139765,0.00000000,0.29376013,0.04887563
-5.97598799,0.71823620,0.59577280,0.07130457,0.00725634,0.09091816,0.37453025,0.00000000,0.30232800,0.04994270
-5.96998499,0.74940216,0.63297326,0.07193191,0.00768244,0.09841571,0.38923083,0.00000000,0.31182525,0.05138846
-5.96398199,0.78400200,0.67097145,0.07305151,0.00829017,0.10632641,0.40541442,0.00000000,0.32219247,0.05320409
-5.95797899,0.82184614,0.70957777,0.07465912,0.00907223,0.11461967,0.42297460,0.00000000,0.33335940,0.05537576
-5.95197599,0.86268706,0.74858490,0.07674104,0.01002051,0.12325543,0.44178273,0.00000000,0.34524445,0.05788441
-5.94597299,0.90621825,0.78776732,0.07927424,0.01112587,0.13218403,0.46168736,0.00000000,0.35775420,0.06070569
-5.93996998,0.95207454,0.82688169,0.08222664,0.01237789,0.14134650,0.48251408,0.00000000,0.37078278,0.06380989
-5.93396698,0.99983425,0.86566828,0.08555765,0.01376460,0.15067527,0.50406600,0.00000000,0.38421161,0.06716206
-5.92796398,1.04902327,0.90385379,0.08921876,0.01527228,0.16009535,0.52612499,0.00000000,0.39790933,0.07072221
-5.92196098,1.09912152,0.94115560,0.09315451,0.01688532,0.16952595,0.54845388,0.00000000,0.41173233,0.07444577
-5.91595798,1.14957168,0.97728760,0.09730349,0.01858616,0.17888258,0.57079968,0.00000000,0.42552583,0.07828416
-5.90995498,1.19979032,1.01196741,0.10159967,0.02035524,0.18807945,0.59289795,0.00000000,0.43912568,0.08218556
-5.90395198,1.24918100,1.04492467,0.10597385,0.02217119,0.19703221,0.61447806,0.00000000,0.45236093,0.08609592
-5.89794897,1.29714899,1.07591022,0.11035521,0.02401102,0.20566078,0.63526939,0.00000000,0.46505708,0.08996003
-5.89194597,1.34311707,1.10470534,0.11467301,0.02585043,0.21389213,0.65500816,0.00000000,0.47703995,0.09372281
-5.88594297,1.38654151,1.13113059,0.11885833,0.02766428,0.22166297,0.67344451,0.00000000,0.48814001,0.09733059
-5.87993997,1.42692755,1.15505361,0.12284571,0.02942701,0.22892193,0.69034958,0.00000000,0.49819703,0.10073251
-5.87393697,1.46384337,1.17639494,0.12657479,0.03111326,0.23563130,0.70552209,0.00000000,0.50706465,0.10388172
-5.86793397,1.49693174,1.19513156,0.12999170,0.03269844,0.24176806,0.71879413,0.00000000,0.51461476,0.10673664
-5.86193097,1.52591857,1.21129740,0.13305023,0.03415933,0.24732415,0.73003560,0.00000000,0.52074132,0.10926194
-5.85592796,1.55061782,1.22498062,0.13571272,0.03547468,0.25230580,0.73915718,0.00000000,0.52536342,0.11142930
-5.84992496,1.57093221,1.23631750,0.13795060,0.03662571,0.25673211,0.74611152,0.00000000,0.52842728,0.11321798
-5.84392196,1.58684980,1.24548311,0.13974456,0.03759663,0.26063277,0.75089250,0.00000000,0.52990723,0.11461494
-5.83791896,1.59843649,1.25267918,0.14108434,0.03837496,0.26404506,0.75353260,0.00000000,0.52980537,0.11561487
-5.83191596,1.60582487,1.25811976,0.14196819,0.03895182,0.26701041,0.75409867,0.00000000,0.52815005,0.11621969
-5.82591296,1.60920019,1.26201552,0.14240200,0.03932208,0.26957056,0.75268603,0.00000000,0.52499330,0.11643800
-5.81990995,1.60878438,1.26455775,0.14239817,0.03948434,0.27176370,0.74941174,0.00000000,0.52040721,0.11628416
-5.81390695,1.60481914,1.26590312,0.14197435,0.03944083,0.27362084,0.74440701,0.00000000,0.51447972,0.11577730
-5.80790395,1.59754935,1.26616029,0.14115206,0.03919721,0.27516257,0.73780972,0.00000000,0.50730990,0.11494022
-5.80190095,1.58720796,1.26537941,0.13995531,0.03876221,0.27639654,0.72975718,0.00000000,0.49900319,0.11379829
-5.79589795,1.57400336,1.26354528,0.13840932,0.03814725,0.27731587,0.72037989,0.00000000,0.48966687,0.11237837
-5.78989495,1.55811016,1.26057500,0.13653945,0.03736597,0.27789854,0.70979663,0.00000000,0.47940592,0.11070796
-5.78389195,1.53966404,1.25632025,0.13437030,0.03643374,0.27810793,0.69811107,0.00000000,0.46831978,0.10881444
-5.77788894,1.51876094,1.25057434,0.13192516,0.03536712,0.27789440,0.68541037,0.00000000,0.45649995,0.10672458
