energy_ev,total_up,Al_p_up,Al_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,2.59571348,0.06155574,0.00000000,0.76129675,1.07449463,0.02628020,1.44069060
-5.99399700,2.56493608,0.06101673,0.00000000,0.73678242,1.05943768,0.02666814,1.40708426
-5.98799400,2.53370015,0.06053131,0.00000000,0.71313930,1.04429652,0.02700801,1.37342220
-5.98199100,2.50233034,0.06011523,0.00000000,0.69080991,1.02920870,0.02729057,1.34012876
-5.97598799,2.47110581,0.05978178,0.00000000,0.67019947,1.01429631,0.02750739,1.30759334
-5.96998499,2.44026595,0.05954172,0.00000000,0.65166922,0.99966800,0.02765127,1.27616832
-5.96398199,2.41001832,0.05940326,0.00000000,0.63553094,0.98542192,0.02771667,1.24616870
-5.95797899,2.38054751,0.05937217,0.00000000,0.62204265,0.97164886,0.02770006,1.21787261
-5.95197599,2.35202346,0.05945182,0.00000000,0.61140528,0.95843521,0.02760027,1.19152226
-5.94597299,2.32460827,0.05964334,0.00000000,0.60376013,0.94586509,0.02741874,1.16732465
-5.93996998,2.29846024,0.05994567,0.00000000,0.59918701,0.93402145,0.02715968,1.14545172
-5.93396698,2.27373493,0.06035565,0.00000000,0.59770312,0.92298582,0.02683012,1.12603970
-5.92796398,2.25058266,0.06086805,0.00000000,0.59926252,0.91283664,0.02643989,1.10918745
-5.92196098,2.22914284,0.06147557,0.00000000,0.60375642,0.90364627,0.02600146,1.09495400
-5.91595798,2.20953557,0.06216884,0.00000000,0.61101435,0.89547693,0.02552965,1.08335550
-5.90995498,2.19185136,0.06293640,0.00000000,0.62080638,0.88837593,0.02504128,1.07436202
-5.90395198,2.17614005,0.06376477,0.00000000,0.63284664,0.88237057,0.02455472,1.06789463
-5.89794897,2.16240009,0.06463846,0.00000000,0.64679818,0.87746333,0.02408939,1.06382335
-5.89194597,2.15056929,0.06554012,0.00000000,0.66227935,0.87362780,0.02366512,1.06196637
-5.88594297,2.14051836,0.06645079,0.00000000,0.67887179,0.87080571,0.02330162,1.06209113
-5.87993997,2.13204770,0.06735017,0.00000000,0.69612976,0.86890564,0.02301778,1.06391744
-5.87393697,2.12488845,0.06821703,0.00000000,0.71359092,0.86780347,0.02283112,1.06712280
-5.86793397,2.11870770,0.06902972,0.00000000,0.73078801,0.86734467,0.02275717,1.07134993
-5.86193097,2.11311788,0.06976667,0.00000000,0.74726130,0.86734855,0.02280892,1.07621633
-5.85592796,2.10768991,0.07040703,0.00000000,0.76257109,0.86761412,0.02299631,1.08132534
-5.84992496,2.10196911,0.07093121,0.00000000,0.77630993,0.86792717,0.02332586,1.08627829
-5.84392196,2.09549317,0.07132156,0.00000000,0.78811399,0.86806831,0.02380028,1.09068705
-5.83791896,2.08781067,0.07156280,0.00000000,0.79767298,0.86782133,0.02441825,1.09418625
-5.83191596,2.07849931,0.07164254,0.00000000,0.80473818,0.86698136,0.02517428,1.09644462
-5.82591296,2.06718244,0.07155160,0.00000000,0.80912827,0.86536239,0.02605871,1.09717459
-5.81990995,2.05354300,0.07128421,0.00000000,0.81073261,0.86280360,0.02705776,1.09613989
-5.81390695,2.03733424,0.07083819,0.00000000,0.80951194,0.85917431,0.02815379,1.09316054
-5.80790395,2.01838651,0.07021483,0.00000000,0.80549645,0.85437708,0.02932565,1.08811528
-5.80190095,1.99661017,0.06941882,0.00000000,0.79878144,0.84834922,0.03054909,1.08094120
-5.79589795,1.97199465,0.06845797,0.00000000,0.78952089,0.84106232,0.03179742,1.07163093
-5.78989495,1.94460412,0.06734296,0.00000000,0.77791936,0.83252045,0.03304213,1.06022762
-5.78389195,1.91457033,0.06608691,0.00000000,0.76422270,0.82275685,0.03425369,1.04681830
-5.77788894,1.88208352,0.06470510,0.00000000,0.74870810,0.81182986,0.03540236,1.03152600
-5.77188594,1.84738208,0.06321450,0.00000000,0.73167404,0.79981815,0.03645909,1.01450143
-5.76588294,1.81074192,0.06163351,0.00000000,0.71343062,0.78681589,0.03739634,0.99591460
-5.75987994,1.77246615,0.05998161,0.00000000,0.69429065,0.77292802,0.03818899,0.97594706
