energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,1.94210561,0.00202155,0.28564605,0.68369145,0.20029654,1.22520640,0.69396553,0.83006918,0.00000000
-5.99399700,1.88826781,0.00215585,0.27447322,0.68092903,0.19463418,1.18851841,0.67089935,0.81182157,0.00000000
-5.98799400,1.83368516,0.00234284,0.26302716,0.67840429,0.18910569,1.15044307,0.64740493,0.79348264,0.00000000
-5.98199100,1.77942097,0.00258757,0.25149364,0.67649720,0.18383224,1.11178249,0.62385896,0.77548437,0.00000000
-5.97598799,1.72655776,0.00289517,0.24005871,0.67559705,0.17894072,1.07335762,0.60063878,0.75827077,0.00000000
-5.96998499,1.67617072,0.00327074,0.22890506,0.67608910,0.17456146,1.03598808,0.57811352,0.74228543,0.00000000
-5.96398199,1.62929969,0.00371934,0.21820824,0.67834027,0.17082553,1.00047126,0.55663491,0.72795803,0.00000000
-5.95797899,1.58692064,0.00424586,0.20813322,0.68268489,0.16786161,0.96756163,0.53652851,0.71569024,0.00000000
-5.95197599,1.54991830,0.00485496,0.19883117,0.68941098,0.16579276,0.93795125,0.51808539,0.70584200,0.00000000
-5.94597299,1.51906126,0.00555093,0.19043667,0.69874808,0.16473296,0.91225205,0.50155506,0.69871886,0.00000000
-5.93996998,1.49498074,0.00633757,0.18306546,0.71085711,0.16478385,0.89098096,0.48713965,0.69456103,0.00000000
-5.93396698,1.47815431,0.00721803,0.17681279,0.72582307,0.16603159,0.87454832,0.47499000,0.69353491,0.00000000
-5.92796398,1.46889530,0.00819469,0.17175240,0.74365079,0.16854410,0.86325004,0.46520353,0.69572750,0.00000000
-5.92196098,1.46734847,0.00926900,0.16793617,0.76426427,0.17236883,0.85726389,0.45782432,0.70114412,0.00000000
-5.91595798,1.47349217,0.01044130,0.16539446,0.78750948,0.17753100,0.85664989,0.45284511,0.70970954,0.00000000
-5.90995498,1.48714680,0.01171072,0.16413693,0.81316065,0.18403252,0.86135459,0.45021132,0.72127245,0.00000000
-5.90395198,1.50798901,0.01307506,0.16415405,0.84092964,0.19185169,0.87121906,0.44982672,0.73561315,0.00000000
-5.89794897,1.53557085,0.01453064,0.16541883,0.87047794,0.20094343,0.88598976,0.45156052,0.75245386,0.00000000
-5.89194597,1.56934272,0.01607226,0.16788904,0.90143061,0.21124040,0.90533192,0.45525538,0.77147124,0.00000000
-5.88594297,1.60867888,0.01769313,0.17150942,0.93339146,0.22265460,0.92884436,0.46073601,0.79231033,0.00000000
-5.87993997,1.65290392,0.01938486,0.17621403,0.96595850,0.23507971,0.95607509,0.46781776,0.81459908,0.00000000
-5.87393697,1.70131904,0.02113748,0.18192851,0.99873895,0.24839380,0.98653683,0.47631484,0.83796281,0.00000000
-5.86793397,1.75322637,0.02293951,0.18857203,1.03136285,0.26246258,1.01972154,0.48604761,0.86203764,0.00000000
-5.86193097,1.80795041,0.02477801,0.19605908,1.06349460,0.27714279,1.05511343,0.49684866,0.88648233,0.00000000
-5.85592796,1.86485526,0.02663877,0.20430079,1.09484177,0.29228582,1.09219981,0.50856733,0.91098778,0.00000000
-5.84992496,1.92335704,0.02850641,0.21320589,1.12516084,0.30774130,1.13047940,0.52107241,0.93528386,0.00000000
-5.84392196,1.98293091,0.03036465,0.22268128,1.15425940,0.32336047,1.16946793,0.53425302,0.95914309,0.00000000
-5.83791896,2.04311262,0.03219645,0.23263217,1.18199502,0.33899942,1.20870105,0.54801761,0.98238134,0.00000000
-5.83191596,2.10349478,0.03398431,0.24296194,1.20827077,0.35452169,1.24773467,0.56229122,1.00485542,0.00000000
-5.82591296,2.16371832,0.03571049,0.25357172,1.23302789,0.36980052,1.28614322,0.57701122,1.02645795,0.00000000
-5.81990995,2.22346003,0.03735730,0.26435979,1.25623612,0.38472036,1.32351619,0.59212193,1.04710992,0.00000000
-5.81390695,2.28241718,0.03890735,0.27522098,1.27788231,0.39917771,1.35945381,0.60756836,1.06675157,0.00000000
-5.80790395,2.34029042,0.04034381,0.28604613,1.29795836,0.41308127,1.39356222,0.62328962,1.08533228,0.00000000
-5.80190095,2.39676639,0.04165071,0.29672172,1.31644898,0.42635134,1.42544926,0.63921245,1.10280018,0.00000000
-5.79589795,2.45150126,0.04281315,0.30712977,1.33332052,0.43891860,1.45472112,0.65524530,1.11909223,0.00000000
-5.78989495,2.50410648,0.04381753,0.31714815,1.34851127,0.45072236,1.48098073,0.67127334,1.13412551,0.00000000
-5.78389195,2.55413795,0.04465182,0.32665129,1.36192419,0.46170833,1.50382825,0.68715485,1.14779039,0.00000000
-5.77788894,2.60108954,0.04530569,0.33551142,1.37342256,0.47182619,1.52286393,0.70271928,1.15994601,0.00000000
-5.77188594,2.64439150,0.04577075,0.34360017,1.38282872,0.48102704,1.53769340,0.71776703,1.17041843,0.00000000
-5.76588294,2.68341429,0.04604065,0.35079075,1.38992629,0.48926108,1.54793550,0.73207124,1.17900170,0.00000000
-5.75987994,2.71747782,0.04611123,0.35696040,1.39446561,0.49647551,1.55323204,0.74538145,1.18546183,0.00000000
-5.75387694,2.74586573,0.04598062,0.36199321,1.39617232,0.50261301,1.55325940,0.75742905,1.18954338,0.00000000
-5.74787394,2.76784434,0.04564931,0.36578313,1.39475842,0.50761092,1.54774107,0.76793426,1.19097851,0.00000000
-5.74187094,2.78268525,0.04512015,0.36823695,1.38993537,0.51140116,1.53646056,0.77661438,1.18949777,0.00000000
-5.73586793,2.78969062,0.04439839,0.36927732,1.38142843,0.51391104,1.51927391,0.78319298,1.18484224,0.00000000
-5.72986493,2.78821990,0.04349157,0.36884551,1.36899150,0.51506499,1.49612096,0.78740943,1.17677624,0.00000000
-5.72386193,2.77771672,0.04240952,0.36690378,1.35242156,0.51478705,1.46703481,0.78902861,1.16509989,0.00000000
-5.71785893,2.75773465,0.04116414,0.36343742,1.33157207,0.51300414,1.43214866,0.78785010,1.14966097,0.00000000
-5.71185593,2.72796053,0.03976932,0.35845611,1.30636449,0.50964988,1.39169967,0.78371660,1.13036524,0.00000000
-5.70585293,2.68823443,0.03824064,0.35199479,1.27679745,0.50466883,1.34602960,0.77652122,1.10718490,0.00000000
-5.69984992,2.63856514,0.03659517,0.34411386,1.24295304,0.49802076,1.29558198,0.76621328,1.08016462,0.00000000
-5.69384692,2.57914059,0.03485115,0.33489872,1.20500002,0.48968493,1.24089605,0.75280240,1.04942491,0.00000000
-5.68784392,2.51033293,0.03302772,0.32445877,1.16319376,0.47966395,1.18259767,0.73636083,1.01516277,0.00000000
-5.68184092,2.43269785,0.03114451,0.31292586,1.11787317,0.46798704,1.12138785,0.71702394,0.97764950,0.00000000
-5.67583792,2.34696857,0.02922137,0.30045230,1.06945461,0.45471250,1.05802921,0.69498888,0.93722596,0.00000000
